"","IL1R"
"Thermoplasmata",0.0751283516488482
"Woesearchaeia",-0.0249568575964508
"Nitrososphaeria",-0.168150886372313
"Thermoanaerobaculia",-0.049585696707917
"Acidimicrobiia",-0.0642607015542037
"Actinobacteria",-0.0541867176008532
"Thermoleophilia",-0.0248540358964058
"Bacteroidia",-0.149485334986108
"Rhodothermia",0.0116982290771897
"Chlamydiae",-0.0326919086011441
"Anaerolineae",-0.0780321634182076
"Chloroflexia",0.00694585321696339
"Oxyphotobacteria",-0.0768589638671921
"Dadabacteriia",-0.0432797024888142
"Deinococci",0.181692094323451
"Campylobacteria",0.0368181913970908
"Bacilli",0.196685919947635
"Clostridia",-0.154516133668602
"Erysipelotrichia",0.0137016656109446
"Negativicutes",-0.00333134215326867
"Fusobacteriia",-0.00756350909594361
"OM190",-0.0202394034563455
"Phycisphaerae",-0.0880687080924464
"Planctomycetacia",-0.189527147337514
"Alphaproteobacteria",0.155699183338762
"Deltaproteobacteria",-0.15434633462526
"Gammaproteobacteria",0.158883551873447
"Unclassified Proteobacteria",-0.00494340739101039
"Spirochaetia",-0.0122629067676795
"Mollicutes",0.0246384934251607
"Unclassified Bacteria",-0.0691911628812505
"Verrucomicrobiae",-0.0887910727117033
"Unclassified Unassigned",-0.125327373920852
