"","IL1R"
"Unclassified Woesearchaeia",-0.0315238397276156
"Nitrosopumilaceae",-0.190086383328263
"Thermoanaerobaculaceae",-0.0710509132459131
"Actinomarinaceae",0.0748048013231418
"Bacteria_Actinobacteria_Acidimicrobiia_Actinomarinales_uncultured",-0.0678443050493117
"Microtrichaceae",-0.0757355889443523
"Corynebacteriaceae",0.0466877267183165
"Mycobacteriaceae",0.0108925742642267
"Nocardiaceae",0.0513001833932156
"Micrococcaceae",-0.00277590028881784
"Nocardioidaceae",0.00505769942270278
"Bacteroidaceae",0.00673070608117705
"Porphyromonadaceae",0.0245984125810963
"Prevotellaceae",-0.0261619284637239
"Chitinophagaceae",-0.00885081078197973
"Saprospiraceae",-0.0476998949601965
"Amoebophilaceae",-0.0556809874632546
"Cyclobacteriaceae",-0.0895678936722987
"Unclassified Cytophagales",-0.000878608362168427
"Crocinitomicaceae",0.0115202800068449
"Cryomorphaceae",0.0660688156429811
"Flavobacteriaceae",-0.0985600891144499
"NS9 marine group",0.0199004705909935
"Unclassified Flavobacteriales",-0.00953671243369825
"Simkaniaceae",-0.0388793880883126
"Xenococcaceae",-0.0265798030836204
"Cyanobiaceae",0.00644115660271298
"Bacteria_Dadabacteria_Dadabacteriia_Dadabacteriales_uncultured bacterium",-0.0534757735663354
"Deinococcaceae",0.0765480267129203
"Thermaceae",0.160989272430919
"Alicyclobacillaceae",-0.0144166771896559
"Bacillaceae",0.209322282868211
"Staphylococcaceae",0.176148314684378
"Aerococcaceae",0.045917692605735
"Carnobacteriaceae",0.00707816078630521
"Enterococcaceae",0.114035132130379
"Lactobacillaceae",-0.0164532629783461
"Leuconostocaceae",0.0304588443369375
"Streptococcaceae",-0.0431414022165854
"Clostridiaceae 1",-0.0463209959424911
"Clostridiaceae 4",-0.0206600832001357
"Bacteria_Firmicutes_Clostridia_Clostridiales_Family XI",-0.0298993807051278
"Lachnospiraceae",-0.0681578617756856
"Peptostreptococcaceae",-0.0421057932744403
"Ruminococcaceae",-0.0560393624426872
"Family III",0.0167248877791594
"Erysipelotrichaceae",-0.00776355092705135
"Veillonellaceae",-0.0223234215892828
"Fusobacteriaceae",-0.0297556955136622
"Bacteria_Planctomycetes_OM190_uncultured bacterium_uncultured bacterium",-0.0297061546187358
"Phycisphaeraceae",-0.0820217705326492
"Pirellulaceae",-0.188512507479428
"Rubinisphaeraceae",-0.054178338349401
"Caulobacteraceae",0.309883934205233
"Hyphomonadaceae",-0.00615001054247239
"SAR116 clade",0.0485043832620518
"Beijerinckiaceae",0.0296905160469322
"Hyphomicrobiaceae",-0.0523890334729107
"Rhizobiaceae",-0.124154099056883
"Stappiaceae",-0.0510127463077132
"Unclassified Rhizobiales",0.102219560397221
"Xanthobacteraceae",0.0313628428209913
"Rhodobacteraceae",-0.124145000024813
"AEGEAN-169 marine group",0.0468036537450331
"Terasakiellaceae",0.0213080567353143
"Kiloniellaceae",-0.0652353688385691
"Clade I",0.0808167318544745
"Clade II",0.0724888880633477
"Sphingomonadaceae",0.317940189839571
"Unclassified Alphaproteobacteria",-0.106293252967554
"Bacteria_Proteobacteria_Alphaproteobacteria_uncultured_uncultured bacterium",-0.0439116418935009
"Desulfobulbaceae",-0.00945482598116957
"P3OB-42",-0.034296661549678
"Sandaracinaceae",-0.0170169162729102
"Oligoflexaceae",-0.0080694650663309
"Bacteria_Proteobacteria_Deltaproteobacteria_SAR324 clade(Marine group B)_uncultured bacterium",0.030857252197263
"Unclassified Deltaproteobacteria",-0.0539822406318729
"Alteromonadaceae",0.0105043924735063
"Pseudoalteromonadaceae",0.0281545918617033
"Burkholderiaceae",0.29706559422264
"Neisseriaceae",-0.00981977339749164
"Rhodocyclaceae",0.285029327197662
"Halieaceae",0.0286777033044583
"Enterobacteriaceae",0.0116293993310943
"Bacteria_Proteobacteria_Gammaproteobacteria_Gammaproteobacteria Incertae Sedis_Unknown Family",-0.030639575685014
"Endozoicomonadaceae",-0.107212828740611
"Pasteurellaceae",-0.019476309143148
"Moraxellaceae",0.0850502761364963
"Pseudomonadaceae",0.280314943260118
"Unclassified SAR86 clade",0.0638406667629027
"Bacteria_Proteobacteria_Gammaproteobacteria_SAR86 clade_uncultured bacterium",0.0846059419159262
"Woeseiaceae",-0.0588369681550845
"Unclassified Gammaproteobacteria",-0.135627432822548
"Vibrionaceae",-0.0441723559718455
"Xanthomonadaceae",-0.017645295644778
"Unclassified Proteobacteria",-0.0264086239290063
"Spirochaetaceae",-0.0337281233056754
"Unclassified Bacteria",-0.0906563794192464
"Puniceicoccaceae",0.00431879623961182
"DEV007",-0.0339434442501496
"Rubritaleaceae",-0.0833784690581101
"Unclassified Unassigned",-0.146792590458848
