"","TLR"
"Unclassified Woesearchaeia",-0.0489876560195341
"Nitrosopumilaceae",-0.214890013920548
"Thermoanaerobaculaceae",-0.10036673701048
"Actinomarinaceae",0.0501023820439337
"Bacteria_Actinobacteria_Acidimicrobiia_Actinomarinales_uncultured",-0.113603012386072
"Microtrichaceae",-0.108965833236302
"Corynebacteriaceae",0.0605043300075356
"Mycobacteriaceae",-0.0231459087869348
"Nocardiaceae",0.0448837288910601
"Micrococcaceae",0.0102764916605289
"Nocardioidaceae",0.00269326820129197
"Bacteroidaceae",0.0340732742783495
"Porphyromonadaceae",0.00824832683445032
"Prevotellaceae",-0.0221925958587446
"Chitinophagaceae",-0.00339774467837781
"Saprospiraceae",-0.0511631501579533
"Amoebophilaceae",0.00234442082391975
"Cyclobacteriaceae",-0.00811974809125771
"Unclassified Cytophagales",-0.00592995464085748
"Crocinitomicaceae",0.00322025475430459
"Cryomorphaceae",0.04523746432661
"Flavobacteriaceae",-0.101400585239489
"NS9 marine group",0.00569314405395342
"Unclassified Flavobacteriales",-0.0185328254648088
"Simkaniaceae",-0.0302231250003396
"Xenococcaceae",-0.0131329588541796
"Cyanobiaceae",-0.0209627418890696
"Bacteria_Dadabacteria_Dadabacteriia_Dadabacteriales_uncultured bacterium",-0.0723448924692324
"Deinococcaceae",0.071626608517644
"Thermaceae",0.157464966261999
"Alicyclobacillaceae",-0.0106234257822894
"Bacillaceae",0.193500610881047
"Staphylococcaceae",0.17012748904423
"Aerococcaceae",0.0258854784189635
"Carnobacteriaceae",0.0157451185124654
"Enterococcaceae",0.0971933741047403
"Lactobacillaceae",-0.00593005682911972
"Leuconostocaceae",0.0347291671988585
"Streptococcaceae",-0.0162730435257421
"Clostridiaceae 1",-0.0504749890066133
"Clostridiaceae 4",-0.0237254430022409
"Bacteria_Firmicutes_Clostridia_Clostridiales_Family XI",-0.00194333373846432
"Lachnospiraceae",-0.0539140135546817
"Peptostreptococcaceae",-0.0421783820555768
"Ruminococcaceae",-0.0310246487141187
"Family III",0.0210388601367343
"Erysipelotrichaceae",-0.007421215224006
"Veillonellaceae",-0.0233354663416171
"Fusobacteriaceae",-0.0342372511269591
"Bacteria_Planctomycetes_OM190_uncultured bacterium_uncultured bacterium",-0.0472704472823864
"Phycisphaeraceae",-0.0962624652583067
"Pirellulaceae",-0.225910485390831
"Rubinisphaeraceae",-0.0748540809449262
"Caulobacteraceae",0.30457073781575
"Hyphomonadaceae",-0.0104707034976052
"SAR116 clade",0.0215412968576183
"Beijerinckiaceae",0.0416487453282246
"Hyphomicrobiaceae",-0.0973778470946796
"Rhizobiaceae",-0.174430047169858
"Stappiaceae",-0.0955691119632518
"Unclassified Rhizobiales",0.0797732655755035
"Xanthobacteraceae",0.0240378869995134
"Rhodobacteraceae",-0.154686938391124
"AEGEAN-169 marine group",0.0270396329701693
"Terasakiellaceae",0.0547792144219139
"Kiloniellaceae",-0.0894093240925473
"Clade I",0.0819030062764458
"Clade II",0.0593860040547091
"Sphingomonadaceae",0.314031465996569
"Unclassified Alphaproteobacteria",-0.116424519996703
"Bacteria_Proteobacteria_Alphaproteobacteria_uncultured_uncultured bacterium",-0.0599003476267723
"Desulfobulbaceae",-0.0114442724607389
"P3OB-42",-0.0199896244850266
"Sandaracinaceae",-0.0388695806836991
"Oligoflexaceae",-0.0220076649254245
"Bacteria_Proteobacteria_Deltaproteobacteria_SAR324 clade(Marine group B)_uncultured bacterium",0.0158883892222365
"Unclassified Deltaproteobacteria",-0.0849591883134572
"Alteromonadaceae",-0.0140077692808984
"Pseudoalteromonadaceae",-0.013874895621019
"Burkholderiaceae",0.28582942090429
"Neisseriaceae",0.00551285614419264
"Rhodocyclaceae",0.255208031953538
"Halieaceae",0.0183996532045584
"Enterobacteriaceae",0.0209380675003269
"Bacteria_Proteobacteria_Gammaproteobacteria_Gammaproteobacteria Incertae Sedis_Unknown Family",-0.0476854961591418
"Endozoicomonadaceae",-0.0877210050027319
"Pasteurellaceae",-0.00469636257595001
"Moraxellaceae",0.0943161472480209
"Pseudomonadaceae",0.266400951833102
"Unclassified SAR86 clade",0.0347653271175495
"Bacteria_Proteobacteria_Gammaproteobacteria_SAR86 clade_uncultured bacterium",0.0632212902513896
"Woeseiaceae",-0.0709241585281926
"Unclassified Gammaproteobacteria",-0.163468595640335
"Vibrionaceae",-0.024435336264352
"Xanthomonadaceae",-0.0212839044163589
"Unclassified Proteobacteria",-0.0398393128221228
"Spirochaetaceae",0.0193997289724629
"Unclassified Bacteria",-0.0994159780859789
"Puniceicoccaceae",0.00299848530819721
"DEV007",-0.0402964581549015
"Rubritaleaceae",-0.0933229272645001
"Unclassified Unassigned",-0.115682100200206
