"","W","p_val","q_val","diff_abn"
"Unclassified Woesearchaeia",3.0058766291185,0,0,TRUE
"Nitrosopumilaceae",22.5672087374018,0,0,TRUE
"Thermoanaerobaculaceae",12.4716048624463,0,0,TRUE
"Actinomarinaceae",2.34026359445935,0,0,TRUE
"Bacteria_Actinobacteria_Acidimicrobiia_Actinomarinales_uncultured",14.7791145971229,0,0,TRUE
"Microtrichaceae",15.920231447479,0,0,TRUE
"Corynebacteriaceae",6.69760680103539,0.0193084818900459,0.0579254456701376,FALSE
"Mycobacteriaceae",1.07737939833383,0,0,TRUE
"Nocardiaceae",6.53157080149194,0,0,TRUE
"Micrococcaceae",0.190164562616936,0,0,TRUE
"Nocardioidaceae",0.0419919327292908,0,0,TRUE
"Bacteroidaceae",1.73940980375853,0,0,TRUE
"Porphyromonadaceae",0.162163358938928,0,0,TRUE
"Prevotellaceae",0.315819989204661,0,0,TRUE
"Chitinophagaceae",0.076028467841938,0,0,TRUE
"Saprospiraceae",7.50400967242965,0,0,TRUE
"Amoebophilaceae",0.00286606876383277,0.0853897902535931,0.207375204901583,FALSE
"Cyclobacteriaceae",0.0479320739346877,0.346596998786575,0.577368138341242,FALSE
"Unclassified Cytophagales",0.158647470555306,0,0,TRUE
"Crocinitomicaceae",0.058988097612083,0,0,TRUE
"Cryomorphaceae",2.78529877496889,0,0,TRUE
"Flavobacteriaceae",6.25836579485674,0.0247216348978107,0.0663580726204392,FALSE
"NS9 marine group",0.121636349062225,0,0,TRUE
"Unclassified Flavobacteriales",2.43209130608012,0,0,TRUE
"Simkaniaceae",1.72320078302544,0,0,TRUE
"Xenococcaceae",0.516109218527764,0,0,TRUE
"Cyanobiaceae",0.162052075449748,0.625451588934845,0.742055870878125,FALSE
"Bacteria_Dadabacteria_Dadabacteriia_Dadabacteriales_uncultured bacterium",10.8053864280642,0,0,TRUE
"Deinococcaceae",14.8220369808151,0,0,TRUE
"Thermaceae",29.1644072345896,0,0,TRUE
"Alicyclobacillaceae",0.149639970166631,0.602240693305822,0.742055870878125,FALSE
"Bacillaceae",34.1571827010025,1.01670513956005e-08,3.45679747450418e-07,TRUE
"Staphylococcaceae",21.3061355324334,7.82953023672611e-06,6.65510070121719e-05,TRUE
"Aerococcaceae",2.84113954298141,0,0,TRUE
"Carnobacteriaceae",0.770063843715123,0,0,TRUE
