"","IL1R"
"Thermoplasmata",2.91611696436814
"Woesearchaeia",-0.918769897796056
"Nitrososphaeria",-4.51616270322592
"Thermoanaerobaculia",-2.01331108692293
"Acidimicrobiia",-1.67192927171484
"Actinobacteria",-1.11049726792131
"Thermoleophilia",-1.04705006474529
"Bacteroidia",-2.68332564613414
"Rhodothermia",0.605534098331661
"Chlamydiae",-0.814103206345534
"Anaerolineae",-2.67960473372909
"Chloroflexia",0.324510671161419
"Oxyphotobacteria",-1.54563868635095
"Dadabacteriia",-2.02870175762365
"Deinococci",4.77849382237455
"Campylobacteria",1.36145285135391
"Bacilli",4.85218509296108
"Clostridia",-3.3280861769186
"Erysipelotrichia",0.473665234828557
"Negativicutes",-0.125096862181385
"Fusobacteriia",-0.223043554309656
"OM190",-0.949754510570699
"Phycisphaerae",-3.37511212760106
"Planctomycetacia",-4.98567632688416
"Alphaproteobacteria",4.66392361930351
"Deltaproteobacteria",-4.45053593879708
"Gammaproteobacteria",5.09979618107186
"Unclassified Proteobacteria",-0.179192283563003
"Spirochaetia",-0.370747905877068
"Mollicutes",0.874699665477578
"Unclassified Bacteria",-2.76413578599348
"Verrucomicrobiae",-2.88391677322856
"Unclassified Unassigned",-3.18970956236019
