"","TLR"
"Unclassified Woesearchaeia",-1.53641863021694
"Nitrosopumilaceae",-4.39769635366226
"Thermoanaerobaculaceae",-3.13164189627194
"Actinomarinaceae",1.37719399257742
"Bacteria_Actinobacteria_Acidimicrobiia_Actinomarinales_uncultured",-3.4238921916423
"Microtrichaceae",-3.52200730969341
"Corynebacteriaceae",2.24023920298811
"Mycobacteriaceae",-0.892693441612897
"Nocardiaceae",2.11803741042436
"Micrococcaceae",0.377886862518172
"Nocardioidaceae",0.16058116870782
"Bacteroidaceae",1.15642947526232
"Porphyromonadaceae",0.342087471046206
"Prevotellaceae",-0.514681982752706
"Chitinophagaceae",-0.213004079634103
"Saprospiraceae",-2.29368540044618
"Amoebophilaceae",0.0494387787896419
"Cyclobacteriaceae",-0.19942106968191
"Unclassified Cytophagales",-0.320245780314776
"Crocinitomicaceae",0.190684638111609
"Cryomorphaceae",1.47186710377267
"Flavobacteriaceae",-2.29610202481859
"NS9 marine group",0.285331863868959
"Unclassified Flavobacteriales",-1.19469188726368
"Simkaniaceae",-1.13397199050057
"Xenococcaceae",-0.599415846113026
"Cyanobiaceae",-0.376331101662978
"Bacteria_Dadabacteria_Dadabacteriia_Dadabacteriales_uncultured bacterium",-2.82186061237125
"Deinococcaceae",3.22155603063665
"Thermaceae",4.80267706738304
"Alicyclobacillaceae",-0.341682806859909
"Bacillaceae",5.26710309314436
"Staphylococcaceae",4.20211849669937
"Aerococcaceae",1.36339357430234
"Carnobacteriaceae",0.729906319424549
"Enterococcaceae",2.43729651743345
"Lactobacillaceae",-0.188000558220998
"Leuconostocaceae",1.17699216491348
"Streptococcaceae",-0.355146105920219
"Clostridiaceae 1",-1.58655380334062
"Clostridiaceae 4",-0.80073256756798
"Bacteria_Firmicutes_Clostridia_Clostridiales_Family XI",-0.0559771157370398
"Lachnospiraceae",-1.54554173236463
"Peptostreptococcaceae",-1.05018753872381
"Ruminococcaceae",-0.856128872468056
"Family III",1.27299944838001
"Erysipelotrichaceae",-0.272089488245485
"Veillonellaceae",-0.901815593119238
"Fusobacteriaceae",-1.04913550517201
"Bacteria_Planctomycetes_OM190_uncultured bacterium_uncultured bacterium",-2.20586782942548
"Phycisphaeraceae",-3.33073180202089
"Pirellulaceae",-4.60298265183833
"Rubinisphaeraceae",-3.14200945461099
"Caulobacteraceae",5.54933740404561
"Hyphomonadaceae",-0.592859658158296
"SAR116 clade",0.538016514688269
"Beijerinckiaceae",0.934321309380541
"Hyphomicrobiaceae",-3.32880980209383
"Rhizobiaceae",-4.31366119644899
"Stappiaceae",-1.84553052547829
"Unclassified Rhizobiales",2.03926035756924
"Xanthobacteraceae",0.852889133190336
"Rhodobacteraceae",-3.53390617423585
"AEGEAN-169 marine group",0.909265094304579
"Terasakiellaceae",2.51484435960155
"Kiloniellaceae",-3.00841204282431
"Clade I",1.64111128898526
"Clade II",1.76632465578445
"Sphingomonadaceae",5.31206890495711
"Unclassified Alphaproteobacteria",-3.41601926872871
"Bacteria_Proteobacteria_Alphaproteobacteria_uncultured_uncultured bacterium",-2.22932932291466
"Desulfobulbaceae",-0.70814658980931
"P3OB-42",-0.710890770381608
"Sandaracinaceae",-1.65719693582233
"Oligoflexaceae",-1.04264340221589
"Bacteria_Proteobacteria_Deltaproteobacteria_SAR324 clade(Marine group B)_uncultured bacterium",0.87520956448116
"Unclassified Deltaproteobacteria",-3.03350697206741
"Alteromonadaceae",-0.495122261221353
"Pseudoalteromonadaceae",-0.491850975768746
"Burkholderiaceae",5.10379110581073
"Neisseriaceae",0.188226055455317
"Rhodocyclaceae",5.52730226432374
"Halieaceae",0.93615157814055
"Enterobacteriaceae",0.698957859586799
"Bacteria_Proteobacteria_Gammaproteobacteria_Gammaproteobacteria Incertae Sedis_Unknown Family",-2.04258691683625
"Endozoicomonadaceae",-1.21568644928445
"Pasteurellaceae",-0.135775917846789
"Moraxellaceae",2.74264489446116
"Pseudomonadaceae",4.80453407831487
"Unclassified SAR86 clade",1.18559162581846
"Bacteria_Proteobacteria_Gammaproteobacteria_SAR86 clade_uncultured bacterium",2.22006888478236
"Woeseiaceae",-2.88376473928057
"Unclassified Gammaproteobacteria",-4.2486099837948
"Vibrionaceae",-0.740469097083753
"Xanthomonadaceae",-0.946483928805752
"Unclassified Proteobacteria",-1.4167931597479
"Spirochaetaceae",0.45992907451806
"Unclassified Bacteria",-3.6175405696953
"Puniceicoccaceae",0.179308794973418
"DEV007",-1.89659447138217
"Rubritaleaceae",-3.05347197100112
"Unclassified Unassigned",-2.8807452698035
