"","IL1R"
"Thermoplasmata",0.057583941461221
"Woesearchaeia",0.012927816950912
"Nitrososphaeria",-0.110575164123725
"Acidimicrobiia",0.0611217593961003
"Actinobacteria",-0.184382179470457
"Bacteroidia",-0.0401696456606584
"Rhodothermia",-0.00471234751955857
"Oxyphotobacteria",0.0883532798293209
"Deinococci",0.0428309363564569
"Campylobacteria",-0.0315380682914671
"Bacilli",-0.0152165423148558
"Clostridia",-0.260610553978201
"Erysipelotrichia",-0.0201393185228236
"Fusobacteriia",-0.119711127925027
"Unclassified Marinimicrobia (SAR406 clade)",0.0453075423062527
"Bacteria_Marinimicrobia (SAR406 clade)_uncultured bacterium",0.00116243546721256
"Phycisphaerae",-0.0641279497208386
"Planctomycetacia",-0.0560036837444665
"Alphaproteobacteria",0.0335666346000371
"Deltaproteobacteria",-0.0898752513191074
"Gammaproteobacteria",0.015617651745927
"Unclassified Proteobacteria",-0.0754026921888932
"Mollicutes",-0.0183667310393422
"Verrucomicrobiae",-0.0406101251916397
"Unclassified Unassigned",-0.185528944941001
