"","TLR"
"Thermoplasmata",0.0203424794718056
"Woesearchaeia",0.011154935350127
"Nitrososphaeria",-0.101013069161064
"Acidimicrobiia",0.026536583973382
"Actinobacteria",-0.139897913150996
"Bacteroidia",-0.00146544473187822
"Rhodothermia",-0.0057131739435728
"Oxyphotobacteria",0.0405317537724922
"Deinococci",0.0594797411093639
"Campylobacteria",-0.0259620918904405
"Bacilli",0.0137321001976776
"Clostridia",-0.160191010151137
"Erysipelotrichia",-0.00239847746080137
"Fusobacteriia",-0.125019367172731
"Unclassified Marinimicrobia (SAR406 clade)",0.0444617871168582
"Bacteria_Marinimicrobia (SAR406 clade)_uncultured bacterium",-0.00320989756734368
"Phycisphaerae",-0.0785133572788765
"Planctomycetacia",-0.0680183615524327
"Alphaproteobacteria",0.0319372639835692
"Deltaproteobacteria",-0.104037112462431
"Gammaproteobacteria",0.0403678459072193
"Unclassified Proteobacteria",-0.0727613708678632
"Mollicutes",-0.0352760788689569
"Verrucomicrobiae",-0.0148506585785432
"Unclassified Unassigned",-0.207059773467609
