"","TLR"
"Unclassified Marine Group II",0.0535614800157943
"Archaea_Euryarchaeota_Thermoplasmata_Marine Group II_uncultured archaeon",0.0331065272112397
"Unclassified Woesearchaeia",0.0631853075390731
"Nitrosopumilaceae",-0.0723916596515234
"Actinomarinaceae",0.0846482469856432
"Microtrichaceae",0.00773234592997066
"Corynebacteriaceae",0.00883519757389914
"Mycobacteriaceae",0.00411972607817212
"Nocardiaceae",0.0436233163582734
"Micrococcaceae",-0.0828524817935416
"Bacteroidaceae",0.0318915938902453
"Muribaculaceae",-0.0953472221525083
"Porphyromonadaceae",-0.0315900932575162
"Prevotellaceae",-0.143551270722289
"Unclassified Bacteroidales",-0.00897820254402988
"Saprospiraceae",0.0171947223473825
"Cyclobacteriaceae",0.0242504411603367
"Crocinitomicaceae",-0.00115076101704693
"Cryomorphaceae",0.115147726062855
"Flavobacteriaceae",0.0722672145824263
"NS9 marine group",0.026552208409418
"Cyanobiaceae",0.0731997646229463
"Deinococcaceae",0.0405370707039364
"Thermaceae",0.0835339061651032
"Alicyclobacillaceae",-0.0402632575072383
"Bacillaceae",0.122364107929268
"Staphylococcaceae",0.094858465215803
"Aerococcaceae",0.00770302488468086
"Carnobacteriaceae",0.00391631948101668
"Enterococcaceae",0.00444513426192355
"Lactobacillaceae",-0.0556063902972301
"Leuconostocaceae",0.0512288587418229
"Streptococcaceae",-0.0733587038318616
"Clostridiaceae 1",-0.028430680221569
"Bacteria_Firmicutes_Clostridia_Clostridiales_Family XI",-0.0473969141559325
"Lachnospiraceae",-0.0824107914075116
"Peptostreptococcaceae",-0.0574786710369347
"Ruminococcaceae",-0.0604169587938021
"Family III",0.0357030657607997
"Erysipelotrichaceae",0.0312583890426956
"Fusobacteriaceae",-0.0781721246336238
"Unclassified Marinimicrobia (SAR406 clade)",0.0781186536203552
"Bacteria_Marinimicrobia (SAR406 clade)_uncultured bacterium_uncultured bacterium_uncultured bacterium",0.0304469689361533
"Phycisphaeraceae",-0.0129227843032481
"Pirellulaceae",-0.0137065386183656
"Caulobacteraceae",0.18151424798992
"SAR116 clade",0.0931381403250616
"Beijerinckiaceae",0.114022370932596
"Rhizobiaceae",-0.109060736585851
"Unclassified Rhizobiales",0.176536492987055
"Xanthobacteraceae",0.00706653999482734
"Rhodobacteraceae",0.0363567743680565
"AEGEAN-169 marine group",0.0520985725655029
"S25-593",0.0706863634551175
"Clade I",0.194665341044764
"Clade II",0.106000682557773
"Clade IV",0.00325291312439104
"Sphingomonadaceae",0.16252596284263
"Unclassified Alphaproteobacteria",0.0113354737231971
"Bacteriovoracaceae",-0.012783059479414
"Bdellovibrionaceae",0.0551125105984509
"Oligoflexaceae",-0.0325550334042685
"Bacteria_Proteobacteria_Deltaproteobacteria_SAR324 clade(Marine group B)_uncultured bacterium",0.017782274248414
"Alteromonadaceae",-0.000586323071223711
"Colwelliaceae",-0.0272177571348582
"Pseudoalteromonadaceae",-0.0442253035637732
"Burkholderiaceae",0.118873915329512
"Neisseriaceae",-0.0592149521251947
"Rhodocyclaceae",0.203762893811734
"Halieaceae",0.066424612832478
"Enterobacteriaceae",-0.0340960622370098
"Unclassified HOC36",-0.0243438727109241
"Endozoicomonadaceae",-0.0754813890461028
"Halomonadaceae",-0.0189825382113596
"Pasteurellaceae",-0.0760207524795683
"Moraxellaceae",0.0541031481541765
"Pseudomonadaceae",0.123709695226077
"Unclassified SAR86 clade",0.0738770138930018
"Bacteria_Proteobacteria_Gammaproteobacteria_SAR86 clade_uncultured bacterium",0.140989343628507
"Unclassified UBA10353 marine group",0.00628688198944466
"Unclassified Gammaproteobacteria",-0.0475311657101823
"Vibrionaceae",-0.0478859591323447
"Xanthomonadaceae",-0.0657257918701196
"Unclassified Proteobacteria",-0.0391045043643662
"DEV007",0.021438647838193
"Rubritaleaceae",-0.00275429019947944
"Unclassified Unassigned",-0.173402906964112
