"","W","p_val","q_val","diff_abn"
"Thermoplasmata",0.371901783738483,0,0,TRUE
"Woesearchaeia",0.168315360452014,0,0,TRUE
"Nitrososphaeria",6.77816318294601,0,0,TRUE
"Acidimicrobiia",0.229466349682244,0,0,TRUE
"Actinobacteria",4.2549015895802,0,0,TRUE
"Bacteroidia",0.00048816016707073,0.0352546082828552,0.187003042471458,FALSE
"Rhodothermia",0.0609400878091846,0,0,TRUE
"Oxyphotobacteria",0.238488935800827,0,0,TRUE
"Deinococci",1.08417345747058,0,0,TRUE
"Campylobacteria",0.549703827455151,0.916877470639141,0.916877470639141,FALSE
"Bacilli",0.0687285399232865,0.41360580196286,0.689343003271434,FALSE
"Clostridia",4.71385489771613,0,0,TRUE
"Erysipelotrichia",0.00557046262206952,0.118990594829895,0.297476487074739,FALSE
"Fusobacteriia",6.31133154573769,0,0,TRUE
"Unclassified Marinimicrobia (SAR406 clade)",1.69024497024632,0,0,TRUE
"Bacteria_Marinimicrobia (SAR406 clade)_uncultured bacterium",0.01260221079723,0,0,TRUE
"Phycisphaerae",5.00453202423882,0.05056207482862,0.187003042471458,FALSE
"Planctomycetacia",4.82914590674716,0,0,TRUE
"Alphaproteobacteria",0.631508338245782,0.853605169576954,0.916877470639141,FALSE
"Deltaproteobacteria",4.71500436008304,0,0,TRUE
"Gammaproteobacteria",0.63463463323567,0.851320757601862,0.916877470639141,FALSE
"Unclassified Proteobacteria",2.55384922310306,0.220051805061843,0.458441260545506,FALSE
"Mollicutes",0.95386987281656,0,0,TRUE
"Verrucomicrobiae",0.178258846203358,0,0,TRUE
"Unclassified Unassigned",14.1602394380813,0,0,TRUE
