"","IL1R"
"Thermoplasmata",1.37685398254912
"Woesearchaeia",0.362466035933671
"Nitrososphaeria",-2.62297508646043
"Acidimicrobiia",0.970501636088646
"Actinobacteria",-2.62990222591458
"Bacteroidia",-0.575714377259167
"Rhodothermia",-0.178641864189299
"Oxyphotobacteria",1.0589692399669
"Deinococci",0.724898191369459
"Campylobacteria",-0.834853332345833
"Bacilli",-0.277608381099491
"Clostridia",-3.61698184481025
"Erysipelotrichia",-0.425529441841005
"Fusobacteriia",-2.28862955106988
"Unclassified Marinimicrobia (SAR406 clade)",1.06564675697513
"Bacteria_Marinimicrobia (SAR406 clade)_uncultured bacterium",0.0334350353247585
"Phycisphaerae",-1.64633790231121
"Planctomycetacia",-1.69196449847935
"Alphaproteobacteria",0.830511033630115
"Deltaproteobacteria",-1.77508787009804
"Gammaproteobacteria",0.353491933636097
"Unclassified Proteobacteria",-1.54061976050493
"Mollicutes",-0.447693756984196
"Verrucomicrobiae",-1.043885900861
"Unclassified Unassigned",-3.37283938896787
