"","IL1R"
"Unclassified Marine Group II",2.28051026258322
"Archaea_Euryarchaeota_Thermoplasmata_Marine Group II_uncultured archaeon",1.54727775048116
"Unclassified Woesearchaeia",1.87755294810021
"Nitrosopumilaceae",-2.22098580111501
"Actinomarinaceae",1.80676310127137
"Microtrichaceae",0.935245961755856
"Corynebacteriaceae",-0.938627301266907
"Mycobacteriaceae",0.807930681116557
"Nocardiaceae",0.957008659992544
"Micrococcaceae",-2.46787727166393
"Bacteroidaceae",-0.356913106918368
"Muribaculaceae",-2.03333303105201
"Porphyromonadaceae",-0.374329488028823
"Prevotellaceae",-2.52274637418738
"Unclassified Bacteroidales",-0.544376088834325
"Saprospiraceae",0.379562755661388
"Cyclobacteriaceae",0.129417645145338
"Crocinitomicaceae",0.0176302927612451
"Cryomorphaceae",2.2778719733623
"Flavobacteriaceae",1.28904227845719
"NS9 marine group",0.955715721071264
"Cyanobiaceae",1.43770522521841
"Deinococcaceae",1.2570331974342
"Thermaceae",1.37876088210562
"Alicyclobacillaceae",-1.681188245111
"Bacillaceae",1.80977497056009
"Staphylococcaceae",1.21201057231853
"Aerococcaceae",0.831015756846579
"Carnobacteriaceae",-0.693834981535524
"Enterococcaceae",-0.0166181135699422
"Lactobacillaceae",-2.1178857767208
"Leuconostocaceae",0.357883934731521
"Streptococcaceae",-1.36426987841489
"Clostridiaceae 1",-1.08912216124915
"Bacteria_Firmicutes_Clostridia_Clostridiales_Family XI",-1.78603642182423
"Lachnospiraceae",-2.82278234278895
"Peptostreptococcaceae",-1.75941505112718
"Ruminococcaceae",-2.428805386843
"Family III",0.786004582181843
"Erysipelotrichaceae",0.345561664228192
"Fusobacteriaceae",-1.73141500151495
"Unclassified Marinimicrobia (SAR406 clade)",1.90626558493031
"Bacteria_Marinimicrobia (SAR406 clade)_uncultured bacterium_uncultured bacterium_uncultured bacterium",1.14065920183203
"Phycisphaeraceae",-0.0583673210388773
"Pirellulaceae",-0.243385063460327
"Caulobacteraceae",3.10329412894304
"SAR116 clade",1.97400992995338
"Beijerinckiaceae",1.55260000281483
"Rhizobiaceae",-1.77299566267281
"Unclassified Rhizobiales",3.01407953407471
"Xanthobacteraceae",0.118871789484345
"Rhodobacteraceae",1.01884318684979
"AEGEAN-169 marine group",1.63761195127282
"S25-593",2.02433505017346
"Clade I",1.82037784347518
"Clade II",1.61777712981559
"Clade IV",0.0861064860362916
"Sphingomonadaceae",2.47572724352198
"Unclassified Alphaproteobacteria",0.449928851442447
"Bacteriovoracaceae",-0.280775171254026
"Bdellovibrionaceae",2.09412785348346
"Oligoflexaceae",-0.814466648375147
"Bacteria_Proteobacteria_Deltaproteobacteria_SAR324 clade(Marine group B)_uncultured bacterium",0.978261645097347
"Alteromonadaceae",0.601628910354623
"Colwelliaceae",-0.790436928722147
"Pseudoalteromonadaceae",0.336339581296437
"Burkholderiaceae",1.81534417902423
"Neisseriaceae",-2.20750383725664
"Rhodocyclaceae",3.11333915561898
"Halieaceae",1.96140782609235
"Enterobacteriaceae",-1.23293917800421
"Unclassified HOC36",-0.368554685192474
"Endozoicomonadaceae",-1.29927350747494
"Halomonadaceae",-0.992680864067136
"Pasteurellaceae",-2.74541948469167
"Moraxellaceae",0.47159300590006
"Pseudomonadaceae",1.84084667841751
"Unclassified SAR86 clade",1.93102178372434
"Bacteria_Proteobacteria_Gammaproteobacteria_SAR86 clade_uncultured bacterium",2.83859762325865
"Unclassified UBA10353 marine group",0.206923535048492
"Unclassified Gammaproteobacteria",-1.6184332860823
"Vibrionaceae",-1.16477372416352
"Xanthomonadaceae",-1.64194624571235
"Unclassified Proteobacteria",-0.880553293963942
"DEV007",0.142028469900327
"Rubritaleaceae",-0.480774604491273
"Unclassified Unassigned",-2.87229670914725
