"","TLR"
"Halococcaceae",0.0657478186875287
"Unclassified Woesearchaeia",-0.167598016836468
"Nitrosopumilaceae",-0.375903076992401
"Solibacteraceae (Subgroup 3)",-0.146701360924742
"Unclassified Subgroup 6",-0.00606111059022424
"Bacteria_Acidobacteria_Subgroup 6_uncultured bacterium_uncultured bacterium",-0.0613905821771672
"Unclassified Subgroup 9",-0.0998706401389195
"Thermoanaerobaculaceae",-0.19335104697539
"Unclassified Acidobacteria",0.00736906825514961
"Bacteria_Actinobacteria_Acidimicrobiia_Actinomarinales_uncultured",-0.252143177826358
"Ilumatobacteraceae",-0.0343266986457761
"Microtrichaceae",-0.24340015914739
"Corynebacteriaceae",0.121606527725175
"Mycobacteriaceae",-0.0509823939960383
"Geodermatophilaceae",0.0290527012723601
"Micrococcaceae",0.0840655488145986
"Nocardioidaceae",0.0115665100440372
"Pseudonocardiaceae",0.0275714143186635
"Bacteria_Actinobacteria_Thermoleophilia_Gaiellales_uncultured",-0.0934488143058252
"Solirubrobacteraceae",0.0104488458669766
"Bacteria_AncK6_uncultured bacterium_uncultured bacterium_uncultured bacterium",-0.0712472756999758
"Bacteroidaceae",0.100606943587468
"Prevotellaceae",0.146455321882624
"Chitinophagaceae",0.00296711965298637
"Saprospiraceae",-0.0852275638430509
"Amoebophilaceae",0.0384148395044738
"Cyclobacteriaceae",-0.0620980595323579
"Spirosomaceae",0.00807166617473534
"Unclassified Cytophagales",-0.0355965700170237
"Cryomorphaceae",-0.04258202261952
"Flavobacteriaceae",-0.216102499318993
"Weeksellaceae",0.00325322453244013
"Unclassified Bacteroidia",-0.0287983456484902
"Rhodothermaceae",-0.0932364900135979
"Simkaniaceae",-0.0450167337584275
"Caldilineaceae",-0.206186359261212
"A4b",-0.202446877439097
"Chloroflexaceae",-0.048990989462178
"Unclassified SAR202 clade",-0.13986465790811
"Bacteria_Chloroflexi_Dehalococcoidia_SAR202 clade_uncultured Chloroflexi bacterium",-0.0196967020722155
"Bacteria_Chloroflexi_TK17_uncultured Chloroflexi bacterium_uncultured Chloroflexi bacterium",-0.0768789064602479
"Unclassified Chloroflexi",-0.0495273495227464
"Chroococcidiopsaceae",0.0212514630617442
"Xenococcaceae",0.0220224684049319
"Nodosilineaceae",-0.00595347047008576
"Cyanobiaceae",-0.000507446921010853
"Bacteria_Dadabacteria_Dadabacteriia_Dadabacteriales_uncultured bacterium",-0.181495573226485
"Deinococcaceae",0.100357586136568
"Thermaceae",0.230436297784573
"Entotheonellaceae",-0.0654027741943901
"Alicyclobacillaceae",0.0770106028554221
"Bacillaceae",0.235323974174472
"Staphylococcaceae",0.2570300694045
"Enterococcaceae",0.189438893557297
"Lactobacillaceae",0.0912870383213121
"Streptococcaceae",0.0923036751569676
"Clostridiaceae 1",0.0430596119834546
"Clostridiaceae 4",-0.114693183350943
"Bacteria_Firmicutes_Clostridia_Clostridiales_Family XI",0.0436979295831464
"Lachnospiraceae",0.010735606015763
"Peptococcaceae",0.03482137179911
"Peptostreptococcaceae",0.0407364471875044
"Ruminococcaceae",0.014961143687304
"Unclassified Clostridiales",-0.0240047869003233
"Erysipelotrichaceae",0.0074014513726391
"Veillonellaceae",0.0602893636693605
"Fusobacteriaceae",0.0293144426229144
"Bacteria_Gemmatimonadetes_BD2-11 terrestrial group_uncultured bacterium_uncultured bacterium",-0.117052869791355
"Halanaerobiaceae",0.0279445302735153
"Nitrospiraceae",-0.170592240891242
"Bacteria_PAUC34f_uncultured bacterium_uncultured bacterium_uncultured bacterium",-0.0471353557886765
"Bacteria_Planctomycetes_OM190_uncultured bacterium_uncultured bacterium",-0.0745208800098925
"Phycisphaeraceae",-0.200248060883646
"Pirellulaceae",-0.451343286802073
"Rubinisphaeraceae",-0.111805212641114
"Caulobacteraceae",0.399917425484689
"Hyphomonadaceae",-0.0101746250359892
"Parvularculaceae",-0.0335803065862608
"Beijerinckiaceae",-0.135173312530771
"Devosiaceae",-0.0766268204480818
"Hyphomicrobiaceae",-0.212845235716538
"Methyloligellaceae",-0.177266171700722
"Rhizobiaceae",-0.29718956285366
"Stappiaceae",-0.132941269669209
"Unclassified Rhizobiales",0.0138218425410223
"Xanthobacteraceae",0.0452501435220074
"Rhodobacteraceae",-0.305983715832762
"Terasakiellaceae",0.0765674126770946
"Kiloniellaceae",-0.203215925648518
"Unclassified Rhodovibrionales",-0.016974756975571
"Clade I",0.0160587847173547
"Sphingomonadaceae",0.431117521120049
"Bacteria_Proteobacteria_Alphaproteobacteria_Thalassobaculales_uncultured",-0.0255071795930543
"Unclassified Alphaproteobacteria",-0.268185582635556
"Bacteria_Proteobacteria_Alphaproteobacteria_uncultured_Unclassified uncultured",-0.0418719072864154
"Bacteria_Proteobacteria_Alphaproteobacteria_uncultured_uncultured bacterium",-0.144246385810068
"Desulfobacteraceae",-0.0534255207154735
"Desulfobulbaceae",-0.00577270631406898
"Desulfovibrionaceae",-0.0730617518485991
"bacteriap25",-0.080621215515697
"Haliangiaceae",-0.0917976859279883
"P3OB-42",-0.0446801651205688
"Sandaracinaceae",-0.114255769060774
"Unclassified Myxococcales",-0.0378907421643207
"Unclassified NB1-j",-0.0713051444602316
"Unclassified Deltaproteobacteria",-0.169093635134509
"Alteromonadaceae",0.0102848719088539
"Burkholderiaceae",0.41522367224328
"Rhodocyclaceae",0.319478952684704
"Halieaceae",0.0137568847369965
"Unclassified Cellvibrionales",-0.0467995602576712
"Enterobacteriaceae",0.0582679547273276
"Bacteria_Proteobacteria_Gammaproteobacteria_Gammaproteobacteria Incertae Sedis_Unknown Family",-0.0849804856228902
"Endozoicomonadaceae",0.0957833212888725
"Pasteurellaceae",0.0664562024234443
"Moraxellaceae",0.15590309442712
"Pseudomonadaceae",0.426555008046793
"Woeseiaceae",-0.128128683126099
"Unclassified Gammaproteobacteria",-0.228965761156897
"Vibrionaceae",0.0637208991068597
"Xanthomonadaceae",0.0396393377171629
"Unclassified Proteobacteria",-0.0375143275465401
"Spirochaetaceae",-0.0423455663817502
"Unclassified Bacteria",-0.173730409031275
"Puniceicoccaceae",-0.00630866393780715
"DEV007",-0.0121823574441927
"Rubritaleaceae",-0.129502247912894
"Unclassified Unassigned",-0.0825822041149086
