"","W","p_val","q_val","diff_abn"
"Halobacteria",11.0217084837473,0,0,TRUE
"Woesearchaeia",7.93267803099821,0,0,TRUE
"Nitrososphaeria",13.6538703881846,0,0,TRUE
"Acidobacteriia",4.64967743001991,0,0,TRUE
"Blastocatellia (Subgroup 4)",7.22539311616616,0,0,TRUE
"Subgroup 6",0.301088842929922,0,0,TRUE
"Subgroup 9",1.63428189603281,0,0,TRUE
"Thermoanaerobaculia",2.2528946197471,0,0,TRUE
"Unclassified Acidobacteria",10.0465577574847,0,0,TRUE
"Acidimicrobiia",22.8239589208807,0,0,TRUE
"Actinobacteria",2.26011765974471,0.265487950323252,0.432285668278942,FALSE
"Thermoleophilia",1.53622436218285,0,0,TRUE
"Bacteria_AncK6_uncultured bacterium",0.00437452121298205,0,0,TRUE
"Bacteroidia",1.66174309808725,0.394736277045197,0.556015041819407,FALSE
"Rhodothermia",0.238701369570202,0,0,TRUE
"Chlamydiae",0.968182841625913,0,0,TRUE
"Anaerolineae",18.2632780119315,0,0,TRUE
"Chloroflexia",0.121418382992558,0,0,TRUE
"Dehalococcoidia",7.32745469441894,0,0,TRUE
"JG30-KF-CM66",1.11910995327236,0,0,TRUE
"TK17",1.66180576332545,0,0,TRUE
"Unclassified Chloroflexi",0.0794389377457507,0,0,TRUE
"Oxyphotobacteria",10.4452290292934,0,0,TRUE
"Dadabacteriia",9.17941393610396,0,0,TRUE
"Deinococci",22.5442648383678,0,0,TRUE
"Entotheonellia",0.0153892889751565,0,0,TRUE
"Campylobacteria",1.31264676078965,0,0,TRUE
"Bacilli",55.3956933877127,1.97104264776049e-13,9.26390044447429e-12,TRUE
"Clostridia",0.0851734220584563,0,0,TRUE
"Erysipelotrichia",5.85985112799131,0.0309802082542947,0.0766352519974658,FALSE
"Negativicutes",3.91238572809051,0,0,TRUE
"Fusobacteriia",4.27525426103555,0,0,TRUE
"BD2-11 terrestrial group",1.97189081966754,0,0,TRUE
"Halanaerobiia",1.91250911437225,0,0,TRUE
"Nitrospira",5.21133463533052,0,0,TRUE
"Bacteria_PAUC34f_uncultured bacterium",0.153795516213649,0,0,TRUE
"OM190",0.862307645425293,0,0,TRUE
"Phycisphaerae",14.1969027544433,0,0,TRUE
"Planctomycetacia",51.4373078611608,0,0,TRUE
"Alphaproteobacteria",10.3477610426507,0.00259263644375188,0.0101544927380282,TRUE
"Deltaproteobacteria",23.6929938864297,0,0,TRUE
"Gammaproteobacteria",32.9718606562953,1.87004880383267e-08,2.92974312600452e-07,TRUE
"Unclassified Proteobacteria",3.73471117011709,0,0,TRUE
"Spirochaetia",2.39095859280372,0,0,TRUE
"Unclassified Bacteria",8.87802352484014,0,0,TRUE
"Verrucomicrobiae",1.3402366894449,0,0,TRUE
"Unclassified Unassigned",1.08308756921412,0,0,TRUE
