"","TLR"
"Halobacteria",3.01181005113491
"Woesearchaeia",-2.14254919543268
"Nitrososphaeria",-3.00281890591667
"Acidobacteriia",-1.21113908172237
"Blastocatellia (Subgroup 4)",2.09218228130272
"Subgroup 6",0.077978184820431
"Subgroup 9",-0.942023115792292
"Thermoanaerobaculia",-1.7785722806072
"Unclassified Acidobacteria",2.37901120312587
"Acidimicrobiia",-3.77207739459009
"Actinobacteria",1.30837772509598
"Thermoleophilia",-0.869613383667821
"Bacteria_AncK6_uncultured bacterium",-0.0639530956340084
"Bacteroidia",-0.215674400972029
"Rhodothermia",-0.600392646573772
"Chlamydiae",0.102864194500975
"Anaerolineae",-3.82231465162717
"Chloroflexia",-0.180098161256813
"Dehalococcoidia",-1.78827337056345
"JG30-KF-CM66",-0.157113280145258
"TK17",-0.766817158986503
"Unclassified Chloroflexi",0.499631221851046
"Oxyphotobacteria",-0.468901544405376
"Dadabacteriia",-2.22779567475414
"Deinococci",3.87478263418951
"Entotheonellia",0.0505025287331123
"Campylobacteria",0.960407104116592
"Bacilli",4.31781640548149
"Clostridia",-0.322659635987964
"Erysipelotrichia",1.25355165405745
"Negativicutes",2.3510133595458
"Fusobacteriia",1.69617504638013
"BD2-11 terrestrial group",-0.972181503184449
"Halanaerobiia",1.79976036276916
"Nitrospira",-1.68901507300167
"Bacteria_PAUC34f_uncultured bacterium",0.655848711016506
"OM190",-0.664268765873051
"Phycisphaerae",-2.96639957407854
"Planctomycetacia",-6.79081449870017
"Alphaproteobacteria",1.25080282795435
"Deltaproteobacteria",-2.1570075749966
"Gammaproteobacteria",3.7808103004982
"Unclassified Proteobacteria",0.757342205944889
"Spirochaetia",0.267589636909954
"Unclassified Bacteria",-2.14304592689098
"Verrucomicrobiae",-1.13261422102018
"Unclassified Unassigned",-0.167396974080995
