"","IL1R"
"Halococcaceae",2.30404022988983
"Unclassified Woesearchaeia",-2.4025613289151
"Nitrosopumilaceae",-3.88615332719174
"Solibacteraceae (Subgroup 3)",-2.73600430879945
"Unclassified Subgroup 6",0.457068494584598
"Bacteria_Acidobacteria_Subgroup 6_uncultured bacterium_uncultured bacterium",-1.51619707061741
"Unclassified Subgroup 9",-1.69029922756454
"Thermoanaerobaculaceae",-2.00282166673833
"Unclassified Acidobacteria",1.19548251754343
"Bacteria_Actinobacteria_Acidimicrobiia_Actinomarinales_uncultured",-2.8083637196832
"Ilumatobacteraceae",-0.260823452492299
"Microtrichaceae",-3.28056567509436
"Corynebacteriaceae",3.2949209612899
"Mycobacteriaceae",-0.322093870940012
"Geodermatophilaceae",-0.238439441641831
"Micrococcaceae",0.958608188784316
"Nocardioidaceae",0.244815120772216
"Pseudonocardiaceae",0.982636363285725
"Bacteria_Actinobacteria_Thermoleophilia_Gaiellales_uncultured",-1.24756572736288
"Solirubrobacteraceae",0.421192403772059
"Bacteria_AncK6_uncultured bacterium_uncultured bacterium_uncultured bacterium",-1.3142782470009
"Bacteroidaceae",2.18119844644055
"Prevotellaceae",2.19631122655999
"Chitinophagaceae",-0.235863987885823
"Saprospiraceae",-1.14069067348767
"Amoebophilaceae",-0.532525840340451
"Cyclobacteriaceae",-3.8150442482765
"Spirosomaceae",0.554041646078382
"Unclassified Cytophagales",-1.44131388103234
"Cryomorphaceae",0.100206398262013
"Flavobacteriaceae",-4.119012137424
"Weeksellaceae",1.06724537677265
"Unclassified Bacteroidia",-0.0986835071114715
"Rhodothermaceae",-1.5327913187561
"Simkaniaceae",-0.631186170115839
"Caldilineaceae",-2.95756531832783
"A4b",-3.17748083888851
"Chloroflexaceae",-0.367265207587104
"Unclassified SAR202 clade",-2.44593958287335
"Bacteria_Chloroflexi_Dehalococcoidia_SAR202 clade_uncultured Chloroflexi bacterium",-0.724524950499736
"Bacteria_Chloroflexi_TK17_uncultured Chloroflexi bacterium_uncultured Chloroflexi bacterium",-1.45239268818584
"Unclassified Chloroflexi",-1.20839589194223
"Chroococcidiopsaceae",-0.349175054991439
"Xenococcaceae",-0.518715192871936
"Nodosilineaceae",-0.288649384142641
"Cyanobiaceae",-0.0261422033169651
"Bacteria_Dadabacteria_Dadabacteriia_Dadabacteriales_uncultured bacterium",-3.25490464477467
"Deinococcaceae",2.53808766894236
"Thermaceae",5.09155357606076
"Entotheonellaceae",-1.34227192951479
"Alicyclobacillaceae",1.75622643285504
"Bacillaceae",5.22329047507522
"Staphylococcaceae",3.63223631963312
"Enterococcaceae",3.50546277692965
"Lactobacillaceae",1.35536801287777
"Streptococcaceae",1.35061441421738
"Clostridiaceae 1",1.09805731861569
"Clostridiaceae 4",-1.36372101899065
"Bacteria_Firmicutes_Clostridia_Clostridiales_Family XI",1.27740638603393
"Lachnospiraceae",0.392408959636338
"Peptococcaceae",1.62487962789075
"Peptostreptococcaceae",1.0158957240281
"Ruminococcaceae",0.515510964313766
"Unclassified Clostridiales",-0.13133457924611
"Erysipelotrichaceae",1.10882783192961
"Veillonellaceae",1.08500925324588
"Fusobacteriaceae",1.10063815958399
"Bacteria_Gemmatimonadetes_BD2-11 terrestrial group_uncultured bacterium_uncultured bacterium",-2.13295896883128
"Halanaerobiaceae",0.262704397331649
"Nitrospiraceae",-2.64259166270178
"Bacteria_PAUC34f_uncultured bacterium_uncultured bacterium_uncultured bacterium",-1.76413430941678
"Bacteria_Planctomycetes_OM190_uncultured bacterium_uncultured bacterium",-1.31905701569576
"Phycisphaeraceae",-3.28069516358524
"Pirellulaceae",-6.14337396386028
"Rubinisphaeraceae",-2.35817861744128
"Caulobacteraceae",5.09137214618732
"Hyphomonadaceae",-0.565653550388457
"Parvularculaceae",-1.2759122919019
"Beijerinckiaceae",-0.9027204557758
"Devosiaceae",-1.51631699309112
"Hyphomicrobiaceae",-2.28626073367501
"Methyloligellaceae",-3.3480691840898
"Rhizobiaceae",-2.42220634360216
"Stappiaceae",-1.36510996870136
"Unclassified Rhizobiales",1.26439103445225
"Xanthobacteraceae",1.75186787320368
"Rhodobacteraceae",-3.30975762912843
"Terasakiellaceae",1.45125509654594
"Kiloniellaceae",-2.91209930957415
"Unclassified Rhodovibrionales",-0.440641611220747
"Clade I",0.626656904012733
"Sphingomonadaceae",5.24275007116946
"Bacteria_Proteobacteria_Alphaproteobacteria_Thalassobaculales_uncultured",-0.985572190734332
"Unclassified Alphaproteobacteria",-5.68887054824049
"Bacteria_Proteobacteria_Alphaproteobacteria_uncultured_Unclassified uncultured",-0.524152242572205
"Bacteria_Proteobacteria_Alphaproteobacteria_uncultured_uncultured bacterium",-2.24939592756267
"Desulfobacteraceae",-0.749919682549368
"Desulfobulbaceae",-0.119110826949516
"Desulfovibrionaceae",-1.41649128394298
"bacteriap25",-1.37748615742051
"Haliangiaceae",-0.845826842306589
"P3OB-42",-1.78076527559854
"Sandaracinaceae",-1.5905506860829
"Unclassified Myxococcales",0.40560200373724
"Unclassified NB1-j",-1.10065032339901
"Unclassified Deltaproteobacteria",-2.25140858273802
"Alteromonadaceae",0.726703268260059
"Burkholderiaceae",6.04492219208936
"Rhodocyclaceae",4.87380134394438
"Halieaceae",0.555130262834591
"Unclassified Cellvibrionales",0.422139831030697
"Enterobacteriaceae",1.58771498244838
"Bacteria_Proteobacteria_Gammaproteobacteria_Gammaproteobacteria Incertae Sedis_Unknown Family",-0.930107706773888
"Endozoicomonadaceae",0.686201825581448
"Pasteurellaceae",1.85199530015736
"Moraxellaceae",2.2011201392166
"Pseudomonadaceae",5.27557252995037
"Woeseiaceae",-2.39000648695532
"Unclassified Gammaproteobacteria",-2.41649264394169
"Vibrionaceae",0.67759925362345
"Xanthomonadaceae",1.65703511140984
"Unclassified Proteobacteria",0.000606203870304115
"Spirochaetaceae",-2.18428730892083
"Unclassified Bacteria",-3.3224433603016
"Puniceicoccaceae",0.0519921653282943
"DEV007",0.286094691119609
"Rubritaleaceae",-1.34744988557269
"Unclassified Unassigned",-1.50631490675204
