"","IL1R"
"Woesearchaeia",-0.0326278054728244
"Nitrososphaeria",-0.201523097385859
"Blastocatellia (Subgroup 4)",-0.00582511668088734
"Thermoanaerobaculia",-0.0777440677543977
"Unclassified Acidobacteria",0.0108516325080616
"Acidimicrobiia",-0.128619930977042
"Actinobacteria",-0.074056386999559
"Thermoleophilia",0.00623097906894492
"Bacteroidia",-0.334549627074033
"Rhodothermia",0.0140396765308809
"Chlamydiae",-0.17663045553283
"Anaerolineae",-0.0520709458927604
"KD4-96",-0.0326835837984939
"Melainabacteria",0.00832985287550102
"Oxyphotobacteria",-0.260511749648148
"Dadabacteriia",-0.0248492967041416
"Deinococci",0.218450771485207
"Campylobacteria",0.0554507675604176
"Bacilli",0.204598154612555
"Clostridia",-0.182777142053831
"Erysipelotrichia",-0.0369030607838678
"Negativicutes",-0.00205828272950437
"Fusobacteriia",-0.0123919580233166
"Halanaerobiia",0.0404429364089288
"Kiritimatiellae",0.00376641655640837
"Gracilibacteria",-0.00406148686036138
"Parcubacteria",0.0295454909704975
"OM190",-0.0336585817981124
"Phycisphaerae",-0.0884436150102497
"Planctomycetacia",-0.263646442866684
"Alphaproteobacteria",0.243476987031317
"Deltaproteobacteria",-0.160843452871652
"Gammaproteobacteria",0.165817865121339
"Unclassified Proteobacteria",0.000784593354269933
"Spirochaetia",0.0394593738674997
"Mollicutes",0.0102070401190194
"Unclassified Bacteria",-0.0845691898698779
"Verrucomicrobiae",-0.223382664633679
"Unclassified Unassigned",-0.129159575619003
