"","TLR"
"Unclassified Woesearchaeia",-0.0837413570983141
"Nitrosopumilaceae",-0.255124223701812
"Thermoanaerobaculaceae",-0.131341587161602
"Unclassified Acidobacteria",-0.00356283440474528
"Actinomarinaceae",0.0296334440129607
"Bacteria_Actinobacteria_Acidimicrobiia_Actinomarinales_uncultured",-0.112707001454939
"Ilumatobacteraceae",0.0108165635874237
"Microtrichaceae",-0.13718970853719
"Actinomycetaceae",0.031222979040921
"Corynebacteriaceae",0.0718973648661027
"Mycobacteriaceae",-0.0322869044852008
"Nocardiaceae",0.0483410833805112
"Geodermatophilaceae",-0.0487024104666484
"Micrococcaceae",0.06093533250655
"Pseudonocardiaceae",-0.00490879604085903
"Bacteroidaceae",-0.0214976040994497
"Porphyromonadaceae",0.0128234928052013
"Prevotellaceae",-0.0201619458764572
"Rikenellaceae",-0.00830072981378664
"Saprospiraceae",-0.107632539499091
"Amoebophilaceae",-0.110675845801065
"Cyclobacteriaceae",-0.0236923446544686
"Cryomorphaceae",0.0410269680324494
"Flavobacteriaceae",-0.211169092236321
"Unclassified Flavobacteriales",-0.0533826220349494
"cvE6",-0.0125748500355163
"Simkaniaceae",-0.0846558905026498
"Unclassified Chlamydiales",-0.0485910943671299
"A4b",-0.042767397607049
"Bacteria_Chloroflexi_KD4-96_uncultured bacterium_uncultured bacterium",-0.0965583747806348
"Unclassified Nostocales",-0.0947093426659645
"Xenococcaceae",-0.0814517188285866
"Cyanobiaceae",-0.141744844871542
"Bacteria_Dadabacteria_Dadabacteriia_Dadabacteriales_uncultured bacterium",-0.0764185587225384
"Deinococcaceae",0.0850585956925292
"Thermaceae",0.18869607847121
"Alicyclobacillaceae",-0.053816146386066
"Bacillaceae",0.260581704489861
"Staphylococcaceae",0.193224587514582
"Aerococcaceae",0.0297023694887289
"Carnobacteriaceae",-0.0249291733682265
"Enterococcaceae",0.137974803136749
"Lactobacillaceae",-0.0328044214120621
"Leuconostocaceae",-0.00293669916933328
"Streptococcaceae",-0.0394546480517906
"Unclassified Lactobacillales",-0.0181713242360507
"Christensenellaceae",0.0137417288493485
"Clostridiaceae 1",-0.168250758116869
"Clostridiaceae 4",0.00357198566669835
"Bacteria_Firmicutes_Clostridia_Clostridiales_Family XI",0.0210599234672915
"Lachnospiraceae",-0.07984711743881
"Peptostreptococcaceae",-0.105990754030393
"Ruminococcaceae",-0.0334267756377895
"Unclassified Clostridiales",0.00560576620593752
"Family III",0.0108082622433479
"Erysipelotrichaceae",-0.0693692966928516
"Veillonellaceae",-0.0466860521748475
"Fusobacteriaceae",-0.0357358000285265
"Halanaerobiaceae",0.0320917476938619
"Bacteria_Planctomycetes_OM190_uncultured bacterium_uncultured bacterium",-0.0871768867630742
"Phycisphaeraceae",-0.112239825405064
"Pirellulaceae",-0.301717793784431
"Gimesiaceae",-0.0540876387690794
"Rubinisphaeraceae",-0.130150846007929
"Unclassified Planctomycetales",-0.051521314404172
"Acetobacteraceae",-0.0132991930634961
"Caulobacteraceae",0.394459909107931
"Hyphomonadaceae",-0.0220977184274698
"Micavibrionaceae",-0.0252486023568181
"Beijerinckiaceae",0.11012421404042
"Hyphomicrobiaceae",-0.138972440827814
"Rhizobiaceae",-0.153402336600718
"Stappiaceae",-0.0381943965360199
"Unclassified Rhizobiales",0.0185412832930087
"Xanthobacteraceae",0.0291854133613063
"Rhodobacteraceae",-0.263355165947658
"AEGEAN-169 marine group",-0.0110569370307561
"Terasakiellaceae",0.0579281454723449
"Kiloniellaceae",-0.112441175700379
"Rickettsiaceae",-0.0278893358283363
"Clade I",0.0198315595967265
"Clade II",0.0577769226164479
"Sphingomonadaceae",0.418497596420011
"Unclassified Alphaproteobacteria",-0.146017380639844
"Bacteria_Proteobacteria_Alphaproteobacteria_uncultured_uncultured bacterium",-0.0546119079241077
"Bacteriovoracaceae",-0.042192952574198
"Desulfobulbaceae",-0.05156305981872
"Nannocystaceae",-0.048912324288278
"Sandaracinaceae",-0.0337295911513301
"Oligoflexaceae",-0.0157143442576176
"Unclassified Deltaproteobacteria",-0.0708869716755092
"Alteromonadaceae",-0.052387376321359
"Shewanellaceae",-0.0127419917341149
"Burkholderiaceae",0.39913498906928
"Neisseriaceae",0.071918062600944
"Rhodocyclaceae",0.279310716624144
"Halieaceae",-0.0371232520893789
"Enterobacteriaceae",0.0593499552354394
"Francisellaceae",0.0060283426430634
"Unknown Family",-0.0645576456719561
"Endozoicomonadaceae",-0.262948195800831
"Pasteurellaceae",0.024320355994235
"Moraxellaceae",0.08564627568568
"Pseudomonadaceae",0.321894978081805
"Woeseiaceae",-0.104789289078588
"Unclassified Gammaproteobacteria",-0.253304743578782
"Vibrionaceae",-0.0745091439681112
"Xanthomonadaceae",-0.0193016540062338
"Unclassified Proteobacteria",-0.0417902999048549
"Spirochaetaceae",0.0369624636303856
"Unclassified Bacteria",-0.121466368512847
"Puniceicoccaceae",-0.0353890240502635
"DEV007",-0.144852417090235
"Rubritaleaceae",-0.17615561031758
"Unclassified Verrucomicrobiales",-0.0410655049665654
"Unclassified Unassigned",-0.0830460294384067
