"","W","p_val","q_val","diff_abn"
"Woesearchaeia",0.762996012958091,0,0,TRUE
"Nitrososphaeria",20.2616711679217,0,0,TRUE
"Blastocatellia (Subgroup 4)",0.0524841004598141,0,0,TRUE
"Thermoanaerobaculia",6.20775612851992,0,0,TRUE
"Unclassified Acidobacteria",0.111257704912805,0,0,TRUE
"Acidimicrobiia",10.6979620927887,0,0,TRUE
"Actinobacteria",0.815091360028045,0.733238513998171,0.817037201312248,FALSE
"Thermoleophilia",0.0529063261807564,0,0,TRUE
"Bacteroidia",25.423169495886,9.20711546116266e-07,1.19692500995115e-05,TRUE
"Rhodothermia",0.339014865459712,0.879203174200819,0.923884316959089,FALSE
"Chlamydiae",8.79116475553746,0,0,TRUE
"Anaerolineae",2.90798747983957,0,0,TRUE
"KD4-96",1.84464525254413,0,0,TRUE
"Melainabacteria",0.122712437153807,0,0,TRUE
"Oxyphotobacteria",18.293945135875,0,0,TRUE
"Dadabacteriia",1.20577175889169,0,0,TRUE
"Deinococci",17.990134897912,0,0,TRUE
"Campylobacteria",5.11129243698092,0.0475412122316148,0.0975845935280515,FALSE
"Bacilli",13.6338839644753,0.000444279736070389,0.00157517360970411,TRUE
"Clostridia",6.69385783499303,0,0,TRUE
"Erysipelotrichia",0.570406352891905,0,0,TRUE
"Negativicutes",0.00564766920821407,0,0,TRUE
"Fusobacteriia",0.0664389925711408,0,0,TRUE
"Halanaerobiia",2.25411486547387,0,0,TRUE
"Kiritimatiellae",0.0280418256106073,0,0,TRUE
"Gracilibacteria",0.0153891525098529,0,0,TRUE
"Parcubacteria",1.3839279955248,0.478866396689631,0.602444821641793,FALSE
"OM190",1.63093957940366,0,0,TRUE
"Phycisphaerae",13.904884878467,0,0,TRUE
"Planctomycetacia",20.6356719351905,0,0,TRUE
"Alphaproteobacteria",31.5750870399654,3.83750905511703e-08,7.48314265747821e-07,TRUE
"Deltaproteobacteria",15.3801432036771,0,0,TRUE
"Gammaproteobacteria",22.9751082895365,3.28225275738961e-06,3.20019643845487e-05,TRUE
"Unclassified Proteobacteria",0.000533744903771011,0,0,TRUE
"Spirochaetia",0.389559474275984,0,0,TRUE
"Mollicutes",0.0368962592576062,0,0,TRUE
"Unclassified Bacteria",7.21702098238825,0,0,TRUE
"Verrucomicrobiae",40.2742421923316,0,0,TRUE
"Unclassified Unassigned",6.01476835682172,0,0,TRUE
