"","W","p_val","q_val","diff_abn"
"Unclassified Woesearchaeia",2.93011492355285,0,0,TRUE
"Nitrosopumilaceae",18.0107883516487,0,0,TRUE
"Thermoanaerobaculaceae",7.70128229409819,0,0,TRUE
"Unclassified Acidobacteria",0.0330407652834743,0,0,TRUE
"Actinomarinaceae",1.164321545763,0.561142179135879,0.804594807344547,FALSE
"Bacteria_Actinobacteria_Acidimicrobiia_Actinomarinales_uncultured",4.38893643180808,0,0,TRUE
"Ilumatobacteraceae",2.09210650754197,0,0,TRUE
"Microtrichaceae",11.0612578121978,0,0,TRUE
"Actinomycetaceae",2.69370964429393,0,0,TRUE
"Corynebacteriaceae",4.66067383126185,0,0,TRUE
"Mycobacteriaceae",0.220746099431981,0,0,TRUE
"Nocardiaceae",5.30823106588349,0.0424497931680762,0.129583579144654,FALSE
"Geodermatophilaceae",0.470410014494074,0,0,TRUE
"Micrococcaceae",7.77096907783705,0,0,TRUE
"Pseudonocardiaceae",0.876296759206404,0,0,TRUE
"Bacteroidaceae",0.894819315816729,0,0,TRUE
"Porphyromonadaceae",1.16265997995667,0.561829132714727,0.804594807344547,FALSE
"Prevotellaceae",0.0234678000931929,0,0,TRUE
"Rikenellaceae",0.0870415888353887,0,0,TRUE
"Saprospiraceae",9.85537088843145,0,0,TRUE
"Amoebophilaceae",5.49297625221847,0,0,TRUE
"Cyclobacteriaceae",1.54415158885441,0,0,TRUE
"Cryomorphaceae",6.17078603630564,0.0259753781352898,0.100438128789787,FALSE
"Flavobacteriaceae",23.0234189729442,0,0,TRUE
"Unclassified Flavobacteriales",2.49621849793028,0,0,TRUE
"cvE6",0.0706206093244453,0.419129384008066,0.714985419778466,FALSE
"Simkaniaceae",3.6072321050828,0,0,TRUE
"Unclassified Chlamydiales",0.187880274987412,0.670626534082219,0.858586228262367,FALSE
"A4b",0.267677503665433,0,0,TRUE
"Bacteria_Chloroflexi_KD4-96_uncultured bacterium_uncultured bacterium",3.43878658636771,0,0,TRUE
"Unclassified Nostocales",3.67133773822267,0,0,TRUE
"Xenococcaceae",2.66410779405028,0,0,TRUE
"Cyanobiaceae",5.06445415447883,0,0,TRUE
"Bacteria_Dadabacteria_Dadabacteriia_Dadabacteriales_uncultured bacterium",3.12216991878107,0,0,TRUE
"Deinococcaceae",8.1341684850559,0,0,TRUE
"Thermaceae",16.5164834020832,0,0,TRUE
"Alicyclobacillaceae",2.44753881625534,0,0,TRUE
"Bacillaceae",43.3995964928765,8.92560312493284e-11,2.58842490623052e-09,TRUE
"Staphylococcaceae",12.4066500343416,0.000855615256520573,0.00620321060977415,TRUE
"Aerococcaceae",7.77134375432291,0,0,TRUE
"Carnobacteriaceae",0.182945468902154,0.662291848290943,0.858586228262367,FALSE
"Enterococcaceae",9.63754856452514,0,0,TRUE
"Lactobacillaceae",0.000391182607241042,0,0,TRUE
"Leuconostocaceae",0.235288022971864,0.744739477534503,0.872624034282852,FALSE
"Streptococcaceae",1.16442918377685,0,0,TRUE
"Unclassified Lactobacillales",0.0903033406708048,0.472416251117999,0.750688837392985,FALSE
"Christensenellaceae",0.000316878123969178,0,0,TRUE
"Clostridiaceae 1",22.5698995500173,0,0,TRUE
"Clostridiaceae 4",1.66681652489636,0.393370955631598,0.691379255352505,FALSE
"Bacteria_Firmicutes_Clostridia_Clostridiales_Family XI",0.0529735914298956,0,0,TRUE
"Lachnospiraceae",5.07850033981879,0,0,TRUE
"Peptostreptococcaceae",7.70875428197633,0,0,TRUE
"Ruminococcaceae",0.510018985738577,0,0,TRUE
"Unclassified Clostridiales",0.771816404686374,0,0,TRUE
"Family III",0.194084806941682,0,0,TRUE
"Erysipelotrichaceae",1.35439629484054,0,0,TRUE
"Veillonellaceae",0.520096725356963,0,0,TRUE
"Fusobacteriaceae",0.56235086216303,0,0,TRUE
"Halanaerobiaceae",1.29717962699023,0,0,TRUE
"Bacteria_Planctomycetes_OM190_uncultured bacterium_uncultured bacterium",1.86303217767328,0,0,TRUE
"Phycisphaeraceae",13.5601872066798,0,0,TRUE
"Pirellulaceae",18.0070122423778,0,0,TRUE
"Gimesiaceae",0.213956349677954,0,0,TRUE
"Rubinisphaeraceae",4.69011285571264,0,0,TRUE
"Unclassified Planctomycetales",0.280097205481105,0,0,TRUE
"Acetobacteraceae",0.300425367549758,0,0,TRUE
"Caulobacteraceae",48.1626227073201,7.84590833736402e-12,6.75787639304384e-10,TRUE
"Hyphomonadaceae",0.346601004380509,0,0,TRUE
"Micavibrionaceae",0.668629840618502,0.827059430273189,0.911331289477556,FALSE
"Beijerinckiaceae",0.536020351535354,0,0,TRUE
"Hyphomicrobiaceae",7.98273301896004,0,0,TRUE
"Rhizobiaceae",5.98410677714384,0,0,TRUE
"Stappiaceae",0.000464993444274329,0,0,TRUE
"Unclassified Rhizobiales",1.31490908211123,0,0,TRUE
"Xanthobacteraceae",1.60962693480861,0,0,TRUE
"Rhodobacteraceae",26.9019374058582,0,0,TRUE
"AEGEAN-169 marine group",0.163861531224738,0.628748202457983,0.858586228262367,FALSE
"Terasakiellaceae",0.311665326180981,0,0,TRUE
"Kiloniellaceae",2.05899719517204,0,0,TRUE
"Rickettsiaceae",0.333359047377009,0,0,TRUE
"Clade I",0.314409263006688,0,0,TRUE
"Clade II",4.25038011209618,0,0,TRUE
"Sphingomonadaceae",47.3873458135471,1.16515110224894e-11,6.75787639304384e-10,TRUE
