"","TLR"
"Woesearchaeia",-0.00146920282896443
"Nitrososphaeria",-2.94980637284608
"Blastocatellia (Subgroup 4)",0.157030855049885
"Thermoanaerobaculia",-1.57900626225615
"Unclassified Acidobacteria",1.48325349038884
"Acidimicrobiia",-2.49003225215928
"Actinobacteria",-0.31345518566609
"Thermoleophilia",0.00901043611926452
"Bacteroidia",-2.13093107376827
"Rhodothermia",1.01889735097639
"Chlamydiae",-1.44797906575935
"Anaerolineae",-1.11552765364126
"KD4-96",-0.84061769003244
"Melainabacteria",0.424914543605756
"Oxyphotobacteria",-2.6610151758317
"Dadabacteriia",-0.302936080963042
"Deinococci",4.68138923058556
"Campylobacteria",1.48904752032342
"Bacilli",3.3067185827512
"Clostridia",-0.639900486225923
"Erysipelotrichia",-0.0438922747773219
"Negativicutes",0.488377457514777
"Fusobacteriia",0.582005078997793
"Halanaerobiia",2.6124110552156
"Kiritimatiellae",0.915685753745691
"Gracilibacteria",-0.118302789330091
"Parcubacteria",1.15493323188942
"OM190",-0.920833805885511
"Phycisphaerae",-1.46928363709464
"Planctomycetacia",-3.09224597611218
"Alphaproteobacteria",4.50396286280278
"Deltaproteobacteria",-2.78303851037069
"Gammaproteobacteria",2.03042033243194
"Unclassified Proteobacteria",0.584537122400573
"Spirochaetia",1.25229374986776
"Mollicutes",0.858480598516804
"Unclassified Bacteria",-1.33865520959029
"Verrucomicrobiae",-3.28674109167347
"Unclassified Unassigned",-0.265313197593603
