"","IL1R"
"Unclassified Woesearchaeia",-1.56018095452026
"Nitrosopumilaceae",-3.93933361163835
"Thermoanaerobaculaceae",-2.50129268684208
"Unclassified Acidobacteria",-0.162492048820956
"Actinomarinaceae",0.999295615576591
"Bacteria_Actinobacteria_Acidimicrobiia_Actinomarinales_uncultured",-1.83954236577068
"Ilumatobacteraceae",1.20006768883471
"Microtrichaceae",-2.96023905864947
"Actinomycetaceae",1.44312233625372
"Corynebacteriaceae",1.96087948880635
"Mycobacteriaceae",0.408932210929287
"Nocardiaceae",2.06655562804041
"Geodermatophilaceae",-0.602334855725129
"Micrococcaceae",2.47488744477448
"Pseudonocardiaceae",0.806146115779266
"Bacteroidaceae",-0.861800132087852
"Porphyromonadaceae",0.888160734025412
"Prevotellaceae",0.144060496088425
"Rikenellaceae",-0.268428251142901
"Saprospiraceae",-2.84459506121508
"Amoebophilaceae",-2.1869151132218
"Cyclobacteriaceae",-1.14338704915029
"Cryomorphaceae",2.13193019629152
"Flavobacteriaceae",-4.47010052172329
"Unclassified Flavobacteriales",-1.35881614168615
"cvE6",-0.244405272405647
"Simkaniaceae",-1.78635494154309
"Unclassified Chlamydiales",0.389319824228342
"A4b",-0.437983557641129
"Bacteria_Chloroflexi_KD4-96_uncultured bacterium_uncultured bacterium",-1.62651462940843
"Unclassified Nostocales",-1.73733430753647
"Xenococcaceae",-1.48913333260877
"Cyanobiaceae",-2.12279608999472
"Bacteria_Dadabacteria_Dadabacteriia_Dadabacteriales_uncultured bacterium",-1.5248748231261
"Deinococcaceae",2.60477628469491
"Thermaceae",3.75897829894189
"Alicyclobacillaceae",-1.46309624806029
"Bacillaceae",6.07781254133578
"Staphylococcaceae",3.30035525179358
"Aerococcaceae",2.42010133692434
"Carnobacteriaceae",-0.374726574222627
"Enterococcaceae",2.91670453558866
"Lactobacillaceae",0.0183032524024373
"Leuconostocaceae",0.43551116854011
"Streptococcaceae",-1.01832870746618
"Unclassified Lactobacillales",-0.264856448709577
"Christensenellaceae",-0.0162332469563887
"Clostridiaceae 1",-4.27036902901743
"Clostridiaceae 4",1.12860781921577
"Bacteria_Firmicutes_Clostridia_Clostridiales_Family XI",-0.212447107623378
"Lachnospiraceae",-2.07017266286488
"Peptostreptococcaceae",-2.49388292360811
"Ruminococcaceae",-0.677531021982968
"Unclassified Clostridiales",0.738951532301131
"Family III",0.381996327119555
"Erysipelotrichaceae",-1.07659585614347
"Veillonellaceae",-0.630312454726993
"Fusobacteriaceae",-0.691025805283483
"Halanaerobiaceae",0.972304883220647
"Bacteria_Planctomycetes_OM190_uncultured bacterium_uncultured bacterium",-1.19169049772899
"Phycisphaeraceae",-3.20598912567403
"Pirellulaceae",-4.00807630613066
"Gimesiaceae",-0.404294901099548
"Rubinisphaeraceae",-1.97786421643273
"Unclassified Planctomycetales",-0.441637050574535
"Acetobacteraceae",0.489756946651482
"Caulobacteraceae",6.49962827983971
"Hyphomonadaceae",0.498711265879503
"Micavibrionaceae",0.673221515524903
"Beijerinckiaceae",0.699559283232554
"Hyphomicrobiaceae",-2.46941627926897
"Rhizobiaceae",-2.27880421605025
"Stappiaceae",-0.0196704778722367
"Unclassified Rhizobiales",1.07506225452488
"Xanthobacteraceae",1.16345741000867
"Rhodobacteraceae",-4.82315264863563
"AEGEAN-169 marine group",0.372905221278726
"Terasakiellaceae",0.497195560149193
"Kiloniellaceae",-1.31217858590656
"Rickettsiaceae",-0.485762417594389
"Clade I",0.531304807045219
"Clade II",1.88024928006701
"Sphingomonadaceae",6.47968147627484
"Unclassified Alphaproteobacteria",-2.81147239350809
"Bacteria_Proteobacteria_Alphaproteobacteria_uncultured_uncultured bacterium",-0.899195873907201
"Bacteriovoracaceae",-0.66635409693275
"Desulfobulbaceae",-1.00859444353394
"Nannocystaceae",-0.375688058808502
"Sandaracinaceae",0.449038815736773
"Oligoflexaceae",0.613847498076178
"Unclassified Deltaproteobacteria",-1.42090752426676
"Alteromonadaceae",-0.381448098760811
"Shewanellaceae",0.228828801322047
"Burkholderiaceae",6.39055014410042
"Neisseriaceae",1.70736334351214
"Rhodocyclaceae",5.83387306019261
"Halieaceae",0.0545211627133477
"Enterobacteriaceae",1.08678613960501
"Francisellaceae",0.890547074471427
"Unknown Family",-0.792694798357225
"Endozoicomonadaceae",-1.89842855773314
"Pasteurellaceae",0.87125229690485
"Moraxellaceae",1.38211668727736
"Pseudomonadaceae",5.75226820587024
"Woeseiaceae",-2.17813194459151
"Unclassified Gammaproteobacteria",-3.65908068522245
"Vibrionaceae",-2.14378241832315
"Xanthomonadaceae",-0.371219129287217
"Unclassified Proteobacteria",-0.394807594364874
"Spirochaetaceae",0.339023917887503
"Unclassified Bacteria",-2.84197490802413
"Puniceicoccaceae",-0.201794322872198
"DEV007",-3.03499283385975
"Rubritaleaceae",-4.41103716258219
"Unclassified Verrucomicrobiales",-0.401773620055546
"Unclassified Unassigned",-2.54310745484355
