"","TLR"
"Unclassified Woesearchaeia",-1.60836406823266
"Nitrosopumilaceae",-3.34262145711983
"Thermoanaerobaculaceae",-3.08744693184963
"Unclassified Acidobacteria",-0.0925310676130504
"Actinomarinaceae",0.557669143824269
"Bacteria_Actinobacteria_Acidimicrobiia_Actinomarinales_uncultured",-3.00925244443373
"Ilumatobacteraceae",0.416545984228864
"Microtrichaceae",-3.47162968569253
"Actinomycetaceae",0.848507932859966
"Corynebacteriaceae",1.82010444160302
"Mycobacteriaceae",-0.886605664052459
"Nocardiaceae",1.35449419286718
"Geodermatophilaceae",-1.43219894179381
"Micrococcaceae",1.66677726178093
"Pseudonocardiaceae",-0.158781061451659
"Bacteroidaceae",-0.368623360817759
"Porphyromonadaceae",0.465100558630547
"Prevotellaceae",-0.298115754731408
"Rikenellaceae",-0.167038188464743
"Saprospiraceae",-2.65476463246223
"Amoebophilaceae",-1.87998164548469
"Cyclobacteriaceae",-0.412341597156839
"Cryomorphaceae",1.46154523332012
"Flavobacteriaceae",-3.26379666895454
"Unclassified Flavobacteriales",-1.66115386189598
"cvE6",-0.217386373315609
"Simkaniaceae",-1.34734854431987
"Unclassified Chlamydiales",-1.06963516340995
"A4b",-1.4484277253926
"Bacteria_Chloroflexi_KD4-96_uncultured bacterium_uncultured bacterium",-2.68048086808078
"Unclassified Nostocales",-2.09985649324238
"Xenococcaceae",-1.66995230469111
"Cyanobiaceae",-1.87255767629765
"Bacteria_Dadabacteria_Dadabacteriia_Dadabacteriales_uncultured bacterium",-2.49166050255901
"Deinococcaceae",1.91616004739104
"Thermaceae",3.93407685361974
"Alicyclobacillaceae",-0.861996055158982
"Bacillaceae",5.06035775780673
"Staphylococcaceae",3.16029274313714
"Aerococcaceae",0.965401768771455
"Carnobacteriaceae",-0.591280653104056
"Enterococcaceae",2.05711273297844
"Lactobacillaceae",-0.503925090093139
"Leuconostocaceae",-0.0598104843117101
"Streptococcaceae",-0.505121881780002
"Unclassified Lactobacillales",-0.527417371015506
"Christensenellaceae",0.26713725884966
"Clostridiaceae 1",-3.31692024091629
"Clostridiaceae 4",0.0816138188189046
"Bacteria_Firmicutes_Clostridia_Clostridiales_Family XI",0.39604676021274
"Lachnospiraceae",-1.27408125272138
"Peptostreptococcaceae",-2.02874552765449
"Ruminococcaceae",-0.424324091438225
"Unclassified Clostridiales",0.200225919127314
"Family III",0.333664220653539
"Erysipelotrichaceae",-1.1746857182682
"Veillonellaceae",-1.24261240175272
"Fusobacteriaceae",-0.640040530016089
"Halanaerobiaceae",1.09284426626029
"Bacteria_Planctomycetes_OM190_uncultured bacterium_uncultured bacterium",-2.18459322966457
"Phycisphaeraceae",-3.09143749992368
"Pirellulaceae",-3.56719605925164
"Gimesiaceae",-1.54402897390334
"Rubinisphaeraceae",-2.68893791093496
"Unclassified Planctomycetales",-1.851271656998
"Acetobacteraceae",-0.361179524399811
"Caulobacteraceae",4.96349853482502
"Hyphomonadaceae",-0.765831377140754
"Micavibrionaceae",-0.963209572752934
"Beijerinckiaceae",1.49002697515005
"Hyphomicrobiaceae",-3.38038224779399
"Rhizobiaceae",-2.40332633759758
"Stappiaceae",-0.844980234458847
"Unclassified Rhizobiales",0.284564971536643
"Xanthobacteraceae",0.590804558052768
"Rhodobacteraceae",-3.87815335302516
"AEGEAN-169 marine group",-0.212476349486686
"Terasakiellaceae",1.39996779204909
"Kiloniellaceae",-2.38005319933138
"Rickettsiaceae",-0.953551918512653
"Clade I",0.274228472420412
"Clade II",1.45609850526746
"Sphingomonadaceae",4.72064035437258
"Unclassified Alphaproteobacteria",-2.95402104967748
"Bacteria_Proteobacteria_Alphaproteobacteria_uncultured_uncultured bacterium",-1.77888067458077
"Bacteriovoracaceae",-1.76314167353975
"Desulfobulbaceae",-1.82996856026954
"Nannocystaceae",-1.2046136703416
"Sandaracinaceae",-0.832696233148336
"Oligoflexaceae",-0.625417121752274
"Unclassified Deltaproteobacteria",-2.06350283208321
"Alteromonadaceae",-1.49846920495873
"Shewanellaceae",-0.498354936315179
"Burkholderiaceae",4.72286411304477
"Neisseriaceae",1.59306180669139
"Rhodocyclaceae",3.53212626733466
"Halieaceae",-1.19594825808653
"Enterobacteriaceae",1.13415093149663
"Francisellaceae",0.223240352612175
"Unknown Family",-2.17355819203343
"Endozoicomonadaceae",-1.63154310473346
"Pasteurellaceae",0.471862468237623
"Moraxellaceae",1.60211404509149
"Pseudomonadaceae",3.7454188970457
"Woeseiaceae",-2.5583482862584
"Unclassified Gammaproteobacteria",-3.3723428887053
"Vibrionaceae",-1.37594090815769
"Xanthomonadaceae",-0.631983595252277
"Unclassified Proteobacteria",-1.00225490406097
"Spirochaetaceae",0.456921518817662
"Unclassified Bacteria",-2.93936599956381
"Puniceicoccaceae",-1.11875638565809
"DEV007",-3.82443785093912
"Rubritaleaceae",-3.31899167905657
"Unclassified Verrucomicrobiales",-1.21276081415584
"Unclassified Unassigned",-1.26596698640394
