Immune_Trait,Diversity_Trait,N_Microbiomes,N_Genomes,Model_1,pVal_Model_1,Rsquared_Model_1,AIC_Model_1,AICc_Model_1,Model_2,pVal_Model_2,Rsquared_Model_2,AIC_Model_2,AICc_Model_2,Model_3,pVal_Model_3,Rsqared_Model_3,AIC_Model_3,AICc_Model_3,Model_4,pVal_Model_4,Rsquared_Model_4,AIC_Model_4,AICc_Model_4,Minimum_AIC,Minimum_AICc,PIC_Model,pVal_PIC,Rsquared_PIC
ln_asvs,TIR_total_unique,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.107234753,-0.287846046,62.38525031,65.81382174,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.409588243,0.493715553,54.1153455,60.78201217,"pgls(x_trait~y_trait, data=comp.data)",0.107234753,0.262333818,67.26191823,68.76191823,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.399350756,0.080003449,55.57580414,57.07580414,Model_2_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.064588705,0.329916218
gini_index,TIR_total_unique,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.122876067,0.288443891,55.85925726,59.28782868,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.078241879,0.702683495,48.26002992,54.92669659,"pgls(x_trait~y_trait, data=comp.data)",0.122876067,0.24359166,67.53790789,69.03790789,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.057667437,0.344474962,52.95705626,54.45705626,Model_2_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.009552078,0.544271092
gini_index,TIR_total,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.017350929,0.286827942,70.10046794,73.52903937,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.089125666,0.756957757,60.25910611,66.92577278,"pgls(x_trait~y_trait, data=comp.data)",0.017350929,0.484533592,84.94383206,86.44383206,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.091330381,0.284137774,68.40955983,69.90955983,Model_2_AIC,Model_2_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.008279045,0.557643368
ln_asvs,TIR_total,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.005142439,-0.071422787,74.57768843,78.00625986,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.00489884,0.738812871,61.05112649,67.71779316,"pgls(x_trait~y_trait, data=comp.data)",0.005142439,0.599649356,82.16378705,83.66378705,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.010379866,0.536336372,63.36427312,64.86427312,Model_2_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.021276404,0.462630035
ln_asvs,LRR_total,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.000632691,0.624683289,148.6049655,152.033537,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",1.57E-06,0.957773172,126.5731064,133.239773,"pgls(x_trait~y_trait, data=comp.data)",0.000632691,0.744010118,172.6415702,174.1415702,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.013812807,0.508117799,149.580129,151.080129,Model_2_AIC,Model_2_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.504291398,0.051007941
gini_index,LRR_total,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.020549624,0.629480819,148.4634503,151.8920218,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.856146263,0.919375061,133.6873812,140.3540479,"pgls(x_trait~y_trait, data=comp.data)",0.020549624,0.466417171,180.7208105,182.2208105,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.862831637,0.003499516,157.3462431,158.8462431,Model_2_AIC,Model_2_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.25533713,0.140879695
gini_index,LRR_total_unique,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.068352243,0.766115331,130.493236,133.9218074,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.009105982,0.92756615,119.5995376,126.2662043,"pgls(x_trait~y_trait, data=comp.data)",0.068352243,0.322561601,158.7572152,160.2572152,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.966295552,0.000209673,144.4731348,145.9731348,Model_2_AIC,Model_2_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.721174212,0.014846667
ln_asvs,LRR_total_unique,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",6.39E-05,0.87038895,124.0000451,127.4286165,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.000458646,0.874317573,125.6614679,132.3281346,"pgls(x_trait~y_trait, data=comp.data)",6.39E-05,0.844498922,142.5688896,144.0688896,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.537179128,0.04372779,143.9836021,145.4836021,Model_1_AIC,Model_1_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.871107858,0.003086991
ln_asvs,IL1R,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.000352406,0.116059771,59.28747473,62.71604616,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",1.67E-11,0.697724489,49.48391861,56.15058528,"pgls(x_trait~y_trait, data=comp.data)",0.000352406,0.774439051,63.47574808,64.97574808,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.012292852,0.519808183,50.57523831,52.07523831,Model_2_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),5.14E-05,0.851735553
gini_index,IL1R,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.114234287,-0.273624642,63.30503463,66.73360606,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.118997639,0.664468267,50.63207272,57.29873939,"pgls(x_trait~y_trait, data=comp.data)",0.114234286,0.253656271,76.63830245,78.13830245,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.157935878,0.208564029,56.07153502,57.57153502,Model_2_AIC,Model_2_AICc,lm(y_trait_positive ~ x_trait_positive -1),2.30E-05,0.87562726
