	observed_features
10895.E9.19.Ech.aspe.1.20150820.S	2304
10895.E9.17.Lep.phry.1.20150818.S	470
10895.E4.10.Sty.pist.1.20150309.S	85
10895.E3.15.Dip.heli.3.20150123.S	3646
10895.E4.Rob.Unk.spec.1.20150325.S	705
10895.E5.21.Sco.sp.4.20150306.S	750
10895.E4.7.Pav.vari.1.20150311.S	2180
10895.E4.2.Tub.cocc.2.20150312.S	1603
10895.E9.11.Fun.sp.1.20150823.S	809
10895.E9.3.Por.mont.1.20150819.S	628
10895.E4.15.Dip.heli.2.20150325.S	3095
10895.E3.5.Gal.astr.2.20150124.S	1903
10895.E9.7.Pav.vari.1.20150823.S	1207
10895.E9.Out.Lob.sp.1.20150823.S	236
10895.E4.3.Por.lute.1.20150309.S	1358
10895.E9.10.Poc.dami.1.20150824.S	630
10895.E3.17.Ech.mamm.1.20150129.S	86
10895.E1.11.Psa.digi.1.20140807.S	1849
10895.E4.17.Gon.sp.1.20150311.S	678
10895.E4.2.Den.sp.1.20150325.S	2139
10895.E1.19.Lob.sp.1.20140730.S	3829
10895.E1.5.Gal.astr.1.20140905.S	2881
10895.E1.15.Dip.heli.1.20140809.S	5527
10895.E9.7.Pav.sp.1.20150817.S	1409
10895.E4.11.Cos.moni.1.20150310.S	1310
10895.E4.11.Cte.echi.1.20150325.S	265
10895.E9.Out.Mil.sp.1.20150821.S	1145
10895.E4.20.Aca.echi.1.20150309.S	1889
10895.E5.21.Sco.sp.2.20150306.S	1074
10895.E4.19.Oxy.lace.1.20150312.S	1666
10895.E4.11.Fun.sp.1.20150310.S	161
10895.E3.15.Dip.heli.2.20150105.S	1677
10895.E4.14.Ple.sinu.2.20150312.S	363
10895.E4.2.Tur.stel.1.20150312.S	5979
10895.E4.19.Lob.hemp.1.20150310.S	2673
10895.E9.2.Tub.sp.1.20150824.S	631
10895.E3.15.Dip.heli.1.20150123.S	2298
