"ln_asvs_skeleton" "TLR" "TIR_total_unique" "IL1R"
"ACR_Acropora_hyacinthus" 3.421000009 8 16 11
"ACR_Acropora_cytherea" 3.784189634 7 17 10
"POC_Pocillopora_damicornis" 4.588101572 5 14 6
"POC_Pocillopora_verrucosa" 4.428830661 7 17 7
"MER_Orbicella_faveolata" 4.185859671 6 15 7
"POC_Stylophora" 4.224840958 6 16 8
"OCU_Galaxea_fascicularis" 5.59471138 1 15 3
"POR_Porites_lutea" 4.127134385 8 24 14
"FUN_Fungia_fungites" 3.737669618 8 17 7
"ACR_Montipora_capitata" 4.418840608 1 18 5
"POR_Porites_rus" 5.21166956 2 21 6
