"IL1R" "ln_asvs_skeleton" "ln_asvs_tissue" "ln_asvs_mucus" "Complete_Single_copy_Busco"
"ACR_Acropora_hyacinthus" 11 3.421000009 3.739651772 3.917010547 92.2
"ACR_Acropora_cytherea" 10 3.784189634 3.286534473 3.737669618 89.8
"POC_Pocillopora_damicornis" 6 4.588101572 4.386480985 3.678829118 91.4
"POC_Pocillopora_verrucosa" 7 4.428830661 4.454347296 4.070734697 92.9
"MER_Orbicella_faveolata" 7 4.185859671 4.895349164 4.060443011 85.1
"POC_Stylophora" 8 4.224840958 3.917720941 4.509288416 92.2
"OCU_Galaxea_fascicularis" 3 5.59471138 5.558274891 4.318968351 88.6
"POR_Porites_lutea" 14 4.127134385 4.164072719 3.784189634 96.5
"FUN_Fungia_fungites" 7 3.737669618 4.454347296 4.290459441 91.8
"ACR_Montipora_capitata" 5 4.418840608 3.33220451 3.878120764 85.1
"POR_Porites_rus" 6 5.21166956 4.442651256 4.309455942 65.9
