"","W","p_val","q_val","diff_abn"
"Thermoplasmata",16.9516261700978,0,0,TRUE
"Woesearchaeia",0.00572967299498396,0,0,TRUE
"Nitrososphaeria",12.614533390891,0,0,TRUE
"Thermoanaerobaculia",1.30243811240521,0,0,TRUE
"Acidimicrobiia",3.47204961250458,0.124827861072124,0.205965970769005,FALSE
"Actinobacteria",0.0473423763912609,0.34449198954271,0.516737984314064,FALSE
"Thermoleophilia",0.00501752976237607,0,0,TRUE
"Bacteroidia",0.0217686572280144,0.234591620234611,0.368643974654389,FALSE
"Rhodothermia",6.24945838015354,0,0,TRUE
"Chlamydiae",0.249399634183481,0,0,TRUE
"Anaerolineae",4.01433344922937,0,0,TRUE
"Chloroflexia",5.80469744904378,0,0,TRUE
"Oxyphotobacteria",0.101816249157197,0.500678289025757,0.577541771551837,FALSE
"Dadabacteriia",1.15685365074429,0,0,TRUE
"Deinococci",45.0756233552666,0,0,TRUE
"Campylobacteria",8.92793566062634,0,0,TRUE
"Bacilli",28.3409280927564,2.03444778222448e-07,3.3568388406704e-06,TRUE
"Clostridia",0.983061096220118,0.642888475062454,0.684365150872935,FALSE
"Erysipelotrichia",6.3759647499439,0,0,TRUE
"Negativicutes",3.7584203267906,0,0,TRUE
"Fusobacteriia",1.39072669716669,0.476564832446923,0.577541771551837,FALSE
"OM190",0.313076888642132,0,0,TRUE
"Phycisphaerae",5.54679188850652,0.0370291828672086,0.0814642023078589,FALSE
"Planctomycetacia",19.2763072509407,2.26202310572706e-05,0.000149293524977986,TRUE
"Alphaproteobacteria",26.2546212719983,5.98475805273562e-07,6.58323385800918e-06,TRUE
"Deltaproteobacteria",7.57227730079274,0.0118545693780089,0.0434667543860326,TRUE
"Gammaproteobacteria",22.2918921172893,4.68386691382212e-06,3.86419020390325e-05,TRUE
"Unclassified Proteobacteria",1.65376133392775,0,0,TRUE
"Spirochaetia",6.1628244870609,0.026092544561771,0.0662349208106495,FALSE
"Mollicutes",6.49767755886179,0,0,TRUE
"Unclassified Bacteria",1.65795694413364,0,0,TRUE
"Verrucomicrobiae",1.77395852456269,0.365785876445153,0.523902101256244,FALSE
"Unclassified Unassigned",1.58206439629991,0.416927168634652,0.529176790959366,FALSE
