"","IL1R"
"Unclassified Woesearchaeia",-1.31617331268156
"Nitrosopumilaceae",-5.15161223001917
"Thermoanaerobaculaceae",-3.01832808272261
"Actinomarinaceae",2.19419758717206
"Bacteria_Actinobacteria_Acidimicrobiia_Actinomarinales_uncultured",-3.02506226160001
"Microtrichaceae",-3.03765114870403
"Corynebacteriaceae",1.80953936895669
"Mycobacteriaceae",0.474504661038832
"Nocardiaceae",2.42611015914815
"Micrococcaceae",-0.119352671254817
"Nocardioidaceae",0.356575694822056
"Bacteroidaceae",0.222329793760688
"Porphyromonadaceae",1.17920703265288
"Prevotellaceae",-0.683946020733926
"Chitinophagaceae",-0.65009614413232
"Saprospiraceae",-2.57131136693453
"Amoebophilaceae",-1.04607268492029
"Cyclobacteriaceae",-2.75820415179894
"Unclassified Cytophagales",-0.0711993194737069
"Crocinitomicaceae",0.854680439621705
"Cryomorphaceae",2.38372394183
"Flavobacteriaceae",-2.47582171943658
"NS9 marine group",1.1522302120887
"Unclassified Flavobacteriales",-0.76689743406685
"Simkaniaceae",-1.53171926395753
"Xenococcaceae",-1.43025251729838
"Cyanobiaceae",0.130816573585674
"Bacteria_Dadabacteria_Dadabacteriia_Dadabacteriales_uncultured bacterium",-2.62421623692568
"Deinococcaceae",3.39177475316129
"Thermaceae",5.31971318773282
"Alicyclobacillaceae",-0.438207994254551
"Bacillaceae",6.43895562625472
"Staphylococcaceae",4.57099675937065
"Aerococcaceae",2.93129843774545
"Carnobacteriaceae",0.399673704205433
"Enterococcaceae",3.27766452944229
"Lactobacillaceae",-0.622026455937824
"Leuconostocaceae",1.24934601119204
"Streptococcaceae",-0.993074925455237
"Clostridiaceae 1",-1.74995555029993
"Clostridiaceae 4",-0.920031531064177
"Bacteria_Firmicutes_Clostridia_Clostridiales_Family XI",-1.05421604195859
"Lachnospiraceae",-2.532041398852
"Peptostreptococcaceae",-1.33679257352074
"Ruminococcaceae",-1.79552841641035
"Family III",1.09814220507517
"Erysipelotrichaceae",-0.322773306993615
"Veillonellaceae",-1.05552230335946
"Fusobacteriaceae",-1.0705140341676
"Bacteria_Planctomycetes_OM190_uncultured bacterium_uncultured bacterium",-1.74435769905459
"Phycisphaeraceae",-3.47390396302311
"Pirellulaceae",-4.93424156560059
"Rubinisphaeraceae",-2.71861652367799
"Caulobacteraceae",7.15826648643515
"Hyphomonadaceae",-0.417547499180261
"SAR116 clade",1.27796500908123
"Beijerinckiaceae",0.678462537845652
"Hyphomicrobiaceae",-2.64573770042848
"Rhizobiaceae",-3.8345061798835
"Stappiaceae",-1.37578854864267
"Unclassified Rhizobiales",2.90479321230389
"Xanthobacteraceae",1.17972365687635
"Rhodobacteraceae",-2.86202302431385
"AEGEAN-169 marine group",1.78682045801422
"Terasakiellaceae",1.00657440093715
"Kiloniellaceae",-2.68677235839329
"Clade I",1.69404385658968
"Clade II",2.23611534160132
"Sphingomonadaceae",6.79888891633284
"Unclassified Alphaproteobacteria",-3.94208694103666
"Bacteria_Proteobacteria_Alphaproteobacteria_uncultured_uncultured bacterium",-2.19300910496735
"Desulfobulbaceae",-0.774418855028926
"P3OB-42",-1.30096984624288
"Sandaracinaceae",-0.919281270146521
"Oligoflexaceae",-0.552633352140568
"Bacteria_Proteobacteria_Deltaproteobacteria_SAR324 clade(Marine group B)_uncultured bacterium",1.93415218370532
"Unclassified Deltaproteobacteria",-2.95823638869102
"Alteromonadaceae",0.477056496089259
"Pseudoalteromonadaceae",0.832338010488677
"Burkholderiaceae",6.86643919265469
"Neisseriaceae",-0.378428838516123
"Rhodocyclaceae",7.22863555941068
"Halieaceae",1.5533909651609
"Enterobacteriaceae",0.420624526673788
"Bacteria_Proteobacteria_Gammaproteobacteria_Gammaproteobacteria Incertae Sedis_Unknown Family",-1.67542204356485
"Endozoicomonadaceae",-1.77343735206013
"Pasteurellaceae",-0.651168949971872
"Moraxellaceae",2.26300686741893
"Pseudomonadaceae",6.54073074134093
"Unclassified SAR86 clade",2.39898833877335
"Bacteria_Proteobacteria_Gammaproteobacteria_SAR86 clade_uncultured bacterium",3.00336704103676
"Woeseiaceae",-2.87542767905911
"Unclassified Gammaproteobacteria",-4.30796999329935
"Vibrionaceae",-1.52605282331487
"Xanthomonadaceae",-0.817218810476143
"Unclassified Proteobacteria",-1.0816066491853
"Spirochaetaceae",-1.10560694688671
"Unclassified Bacteria",-4.02548809050239
"Puniceicoccaceae",0.307163044352568
"DEV007",-1.95126065038399
"Rubritaleaceae",-3.44041038728885
"Unclassified Unassigned",-3.95981104683281
