"","IL1R"
"Unclassified Marine Group II",0.0742705601320837
"Archaea_Euryarchaeota_Thermoplasmata_Marine Group II_uncultured archaeon",0.0474347582082446
"Unclassified Woesearchaeia",0.0578176742608819
"Nitrosopumilaceae",-0.0799707305251644
"Actinomarinaceae",0.113510215121804
"Microtrichaceae",0.023004965193089
"Corynebacteriaceae",-0.0386028059111699
"Mycobacteriaceae",0.0356185316660954
"Nocardiaceae",0.0315973418783249
"Micrococcaceae",-0.0884159679492023
"Bacteroidaceae",-0.0198575120209918
"Muribaculaceae",-0.0901740311101845
"Porphyromonadaceae",-0.0156375403805211
"Prevotellaceae",-0.153392804386042
"Unclassified Bacteroidales",-0.00942771556737959
"Saprospiraceae",0.00677056550600887
"Cyclobacteriaceae",0.00330614685245351
"Crocinitomicaceae",0.000416741624775433
"Cryomorphaceae",0.125607749386473
"Flavobacteriaceae",0.0930076038585956
"NS9 marine group",0.0290737231050946
"Cyanobiaceae",0.122863647601034
"Deinococcaceae",0.0335110031628984
"Thermaceae",0.0687824189214274
"Alicyclobacillaceae",-0.0406609447788127
"Bacillaceae",0.0875119349911472
"Staphylococcaceae",0.0691270496215916
"Aerococcaceae",0.0209581697459369
"Carnobacteriaceae",-0.0176165299238595
"Enterococcaceae",-0.000900072508749768
"Lactobacillaceae",-0.0790433549091672
"Leuconostocaceae",0.0178504519702582
"Streptococcaceae",-0.108572732677414
"Clostridiaceae 1",-0.0290849471534009
"Bacteria_Firmicutes_Clostridia_Clostridiales_Family XI",-0.0927940242284644
"Lachnospiraceae",-0.103051463888398
"Peptostreptococcaceae",-0.0780031509229703
"Ruminococcaceae",-0.105622530109941
"Family III",0.0215199414540054
"Erysipelotrichaceae",0.0133492295704944
"Fusobacteriaceae",-0.0770033632998984
"Unclassified Marinimicrobia (SAR406 clade)",0.0787960903995706
"Bacteria_Marinimicrobia (SAR406 clade)_uncultured bacterium_uncultured bacterium_uncultured bacterium",0.0346509835605305
"Phycisphaeraceae",-0.00102090558313355
"Pirellulaceae",-0.00593042885548286
"Caulobacteraceae",0.138506213110398
"SAR116 clade",0.123195444932564
"Beijerinckiaceae",0.0960168021254899
"Rhizobiaceae",-0.087386060511163
"Unclassified Rhizobiales",0.159906163577687
"Xanthobacteraceae",0.00597439668173962
"Rhodobacteraceae",0.0706852421786164
"AEGEAN-169 marine group",0.0775928236008493
"S25-593",0.07212691418219
"Clade I",0.156774433444425
"Clade II",0.100244934444643
"Clade IV",0.00141027530548341
"Sphingomonadaceae",0.131848610523752
"Unclassified Alphaproteobacteria",0.0125961421554842
"Bacteriovoracaceae",-0.00696268239299567
"Bdellovibrionaceae",0.0650407036048264
"Oligoflexaceae",-0.0241787827462768
"Bacteria_Proteobacteria_Deltaproteobacteria_SAR324 clade(Marine group B)_uncultured bacterium",0.0294831890330064
"Alteromonadaceae",0.0257788130633532
"Colwelliaceae",-0.0148249452921382
"Pseudoalteromonadaceae",0.024887675721344
"Burkholderiaceae",0.0866406635888158
"Neisseriaceae",-0.0941284273998632
"Rhodocyclaceae",0.167165828505099
"Halieaceae",0.0698155315293555
"Enterobacteriaceae",-0.0525681492049898
"Unclassified HOC36",-0.0120556314948763
"Endozoicomonadaceae",-0.0956036657850328
"Halomonadaceae",-0.0231764263429686
"Pasteurellaceae",-0.136767599014672
"Moraxellaceae",0.0242637596828667
"Pseudomonadaceae",0.0867638459255628
"Unclassified SAR86 clade",0.104316164221142
"Bacteria_Proteobacteria_Gammaproteobacteria_SAR86 clade_uncultured bacterium",0.154547570332549
"Unclassified UBA10353 marine group",0.00457545130448143
"Unclassified Gammaproteobacteria",-0.0589398968424523
"Vibrionaceae",-0.0587085682446429
"Xanthomonadaceae",-0.0624543043427033
"Unclassified Proteobacteria",-0.0419141440955752
"DEV007",0.0031157417777766
"Rubritaleaceae",-0.0110194306086629
"Unclassified Unassigned",-0.152040396847683
