"","W","p_val","q_val","diff_abn"
"Unclassified Marine Group II",3.2505351851545,0,0,TRUE
"Archaea_Euryarchaeota_Thermoplasmata_Marine Group II_uncultured archaeon",1.50939326454535,0,0,TRUE
"Unclassified Woesearchaeia",6.25671762248865,0,0,TRUE
"Nitrosopumilaceae",3.76737220756223,0,0,TRUE
"Actinomarinaceae",1.94420572763669,0,0,TRUE
"Microtrichaceae",0.100311220518895,0,0,TRUE
"Corynebacteriaceae",0.0422238986389157,0,0,TRUE
"Mycobacteriaceae",0.00998394206398929,0,0,TRUE
"Nocardiaceae",2.25210465210696,0,0,TRUE
"Micrococcaceae",4.20090086889198,0,0,TRUE
"Bacteroidaceae",0.554222884034551,0,0,TRUE
"Muribaculaceae",4.1802531016499,0,0,TRUE
"Porphyromonadaceae",0.539930915286787,0,0,TRUE
"Prevotellaceae",4.80873767523268,0,0,TRUE
"Unclassified Bacteroidales",0.305048240000881,0.838530400474237,0.935899607754424,FALSE
"Saprospiraceae",0.859372858046453,0,0,TRUE
"Cyclobacteriaceae",1.03067248644746,0,0,TRUE
"Crocinitomicaceae",0.0021566398461911,0.0740803097005194,0.309399178951348,FALSE
"Cryomorphaceae",6.21568074961163,0,0,TRUE
"Flavobacteriaceae",1.14018345124211,0,0,TRUE
"NS9 marine group",0.862227707164273,0,0,TRUE
"Cyanobiaceae",0.636668020703795,0,0,TRUE
"Deinococcaceae",2.46207564505087,0,0,TRUE
"Thermaceae",2.56730231015243,0,0,TRUE
"Alicyclobacillaceae",1.28306849960246,0,0,TRUE
"Bacillaceae",5.68058501832333,0.0343072945629905,0.248727885581681,FALSE
"Staphylococcaceae",2.68925676017602,0.202053855590205,0.532687437465086,FALSE
"Aerococcaceae",0.0687831664806651,0,0,TRUE
"Carnobacteriaceae",0.024377039975813,0,0,TRUE
"Enterococcaceae",0.00550653561598614,0,0,TRUE
"Lactobacillaceae",1.94744856343267,0,0,TRUE
"Leuconostocaceae",0.947329062203025,0,0,TRUE
"Streptococcaceae",1.03188140351028,0,0,TRUE
"Clostridiaceae 1",0.864293700200843,0,0,TRUE
"Bacteria_Firmicutes_Clostridia_Clostridiales_Family XI",0.60587740852485,0,0,TRUE
"Lachnospiraceae",3.96132182715589,0,0,TRUE
"Peptostreptococcaceae",1.21290109465889,0,0,TRUE
"Ruminococcaceae",1.45116950987957,0,0,TRUE
"Family III",2.27659052015162,0,0,TRUE
"Erysipelotrichaceae",1.24778478508037,0.527951986886731,0.798507610480192,FALSE
"Fusobacteriaceae",2.78293221508078,0,0,TRUE
"Unclassified Marinimicrobia (SAR406 clade)",4.4063670822156,0,0,TRUE
"Bacteria_Marinimicrobia (SAR406 clade)_uncultured bacterium_uncultured bacterium_uncultured bacterium",1.21690822294842,0,0,TRUE
"Phycisphaeraceae",0.416096974904047,0.962217938214888,0.962217938214888,FALSE
"Pirellulaceae",0.198924661528661,0.68881953628527,0.872619722042619,FALSE
"Caulobacteraceae",10.115139384581,0.00294112623420369,0.085292660791907,FALSE
"SAR116 clade",2.60643448900983,0,0,TRUE
"Beijerinckiaceae",4.5731402644251,0,0,TRUE
"Rhizobiaceae",5.73469902548042,0,0,TRUE
"Unclassified Rhizobiales",12.2607381973389,0,0,TRUE
"Xanthobacteraceae",0.0223065487539049,0,0,TRUE
"Rhodobacteraceae",0.329396311662135,0,0,TRUE
"AEGEAN-169 marine group",1.17681620964259,0,0,TRUE
"S25-593",5.20133330623759,0,0,TRUE
"Clade I",5.71219606917437,0.0336949016555918,0.248727885581681,FALSE
"Clade II",3.25328929194375,0,0,TRUE
"Clade IV",0.0319450471710864,0.283703362892866,0.587671251706652,FALSE
"Sphingomonadaceae",6.52776185779857,0.0212407017677935,0.244805729371815,FALSE
"Unclassified Alphaproteobacteria",0.139532087377685,0,0,TRUE
"Bacteriovoracaceae",0.281861442711305,0.809032502319308,0.926129311865523,FALSE
"Bdellovibrionaceae",4.3842211542617,0,0,TRUE
"Oligoflexaceae",0.723270091757625,0.790146700345015,0.926129311865523,FALSE
"Bacteria_Proteobacteria_Deltaproteobacteria_SAR324 clade(Marine group B)_uncultured bacterium",0.4012697760301,0,0,TRUE
"Alteromonadaceae",0.000121993573073305,0,0,TRUE
"Colwelliaceae",2.34109229416327,0.252002350366624,0.562159089279391,FALSE
"Pseudoalteromonadaceae",0.76072199573867,0,0,TRUE
"Burkholderiaceae",4.21324413656993,0.0802191161624225,0.309399178951348,FALSE
"Neisseriaceae",1.43904271240882,0,0,TRUE
"Rhodocyclaceae",12.5815674634099,0.000779139728828941,0.0402451975539442,TRUE
"Halieaceae",4.36999390298424,0,0,TRUE
"Enterobacteriaceae",0.584758077430711,0,0,TRUE
"Unclassified HOC36",0.552925908216795,0.914249256124285,0.946685605078307,FALSE
"Endozoicomonadaceae",0.702433998670108,0.803934084175233,0.926129311865523,FALSE
"Halomonadaceae",0.834119528336596,0,0,TRUE
"Pasteurellaceae",1.73776066772318,0,0,TRUE
"Moraxellaceae",1.21639420090687,0,0,TRUE
"Pseudomonadaceae",4.44255290947879,0.0701075864749684,0.309399178951348,FALSE
"Unclassified SAR86 clade",1.96333575503172,0,0,TRUE
"Bacteria_Proteobacteria_Gammaproteobacteria_SAR86 clade_uncultured bacterium",9.12592319397086,0,0,TRUE
"Unclassified UBA10353 marine group",0.0747325910576597,0.430866409674322,0.747966949733296,FALSE
"Unclassified Gammaproteobacteria",1.60745254715679,0,0,TRUE
"Vibrionaceae",0.877540768516358,0,0,TRUE
"Xanthomonadaceae",3.46373843619059,0,0,TRUE
"Unclassified Proteobacteria",0.636821108818624,0.849728538739927,0.935899607754424,FALSE
"DEV007",0.834759851878226,0.721799538786057,0.872619722042619,FALSE
