"","TLR"
"Thermoplasmata",0.49446059660538
"Woesearchaeia",0.318955897590519
"Nitrososphaeria",-2.16847080906396
"Acidimicrobiia",0.42001262968334
"Actinobacteria",-1.8503817181767
"Bacteroidia",-0.0197738551272808
"Rhodothermia",-0.184731723007098
"Oxyphotobacteria",0.446481708673498
"Deinococci",0.916374505406299
"Campylobacteria",-0.606587480376559
"Bacilli",0.228244894856051
"Clostridia",-1.96395618202353
"Erysipelotrichia",-0.0600829997721488
"Fusobacteriia",-2.17244728415903
"Unclassified Marinimicrobia (SAR406 clade)",1.05905694915989
"Bacteria_Marinimicrobia (SAR406 clade)_uncultured bacterium",-0.0882395888802598
"Phycisphaerae",-1.83100713125213
"Planctomycetacia",-1.75596058680156
"Alphaproteobacteria",0.665739336172561
"Deltaproteobacteria",-1.86795052104757
"Gammaproteobacteria",0.690565743804342
"Unclassified Proteobacteria",-1.36476727942438
"Mollicutes",-0.803508868631372
"Verrucomicrobiae",-0.345706582063023
"Unclassified Unassigned",-3.29667946649221
