"","TLR"
"Unclassified Marine Group II",1.59014678651457
"Archaea_Euryarchaeota_Thermoplasmata_Marine Group II_uncultured archaeon",1.07063382650161
"Unclassified Woesearchaeia",2.16123142927888
"Nitrosopumilaceae",-1.75402062911244
"Actinomarinaceae",1.30865550888605
"Microtrichaceae",0.272370217809268
"Corynebacteriaceae",0.188094447460255
"Mycobacteriaceae",0.0911330589429876
"Nocardiaceae",1.32016418037692
"Micrococcaceae",-1.86609838281421
"Bacteroidaceae",0.681244701767235
"Muribaculaceae",-1.88397214518528
"Porphyromonadaceae",-0.672606760608438
"Prevotellaceae",-2.06734282428506
"Unclassified Bacteroidales",-0.443786213176332
"Saprospiraceae",0.763410895612204
"Cyclobacteriaceae",0.870373419339475
"Crocinitomicaceae",-0.0400195735110209
"Cryomorphaceae",2.29554866884438
"Flavobacteriaceae",1.00855460561732
"NS9 marine group",0.815229897359971
"Cyanobiaceae",0.764775448975589
"Deinococcaceae",1.35985564205179
"Thermaceae",1.48876246138637
"Alicyclobacillaceae",-1.01878944162906
"Bacillaceae",2.21211513645305
"Staphylococcaceae",1.53444352142681
"Aerococcaceae",0.23100061888734
"Carnobacteriaceae",0.134772659008313
"Enterococcaceae",0.0695880533004597
"Lactobacillaceae",-1.26891846039719
"Leuconostocaceae",0.90495992193405
"Streptococcaceae",-0.962816366137319
"Clostridiaceae 1",-0.822728343506635
"Bacteria_Firmicutes_Clostridia_Clostridiales_Family XI",-0.730679719848142
"Lachnospiraceae",-1.81596328728112
"Peptostreptococcaceae",-1.0233704233164
"Ruminococcaceae",-1.11617504185255
"Family III",1.29181682500491
"Erysipelotrichaceae",0.978096247384975
"Fusobacteriaceae",-1.53776015282732
"Unclassified Marinimicrobia (SAR406 clade)",1.89654742647111
"Bacteria_Marinimicrobia (SAR406 clade)_uncultured bacterium_uncultured bacterium_uncultured bacterium",0.964255494400746
"Phycisphaeraceae",-0.53825131646108
"Pirellulaceae",-0.394924647856406
"Caulobacteraceae",2.97333002397868
"SAR116 clade",1.51037143992345
"Beijerinckiaceae",1.99011586932085
"Rhizobiaceae",-2.20247546991925
"Unclassified Rhizobiales",3.24562484430466
"Xanthobacteraceae",0.137777938363842
"Rhodobacteraceae",0.54004116713619
"AEGEAN-169 marine group",1.00188223587339
"S25-593",2.02138423581235
"Clade I",2.2788002385954
"Clade II",1.68941260114599
"Clade IV",0.146691427771186
"Sphingomonadaceae",2.40467612465826
"Unclassified Alphaproteobacteria",0.330274988887053
"Bacteriovoracaceae",-0.455674533574264
"Bdellovibrionaceae",1.8191148178688
"Oligoflexaceae",-0.770444301755374
"Bacteria_Proteobacteria_Deltaproteobacteria_SAR324 clade(Marine group B)_uncultured bacterium",0.554881748346342
"Alteromonadaceae",-0.0102755833309903
"Colwelliaceae",-1.25059239610374
"Pseudoalteromonadaceae",-0.808786489311586
"Burkholderiaceae",1.92077456350683
"Neisseriaceae",-1.11019482486793
"Rhodocyclaceae",3.31748117693135
"Halieaceae",1.85800711905571
"Enterobacteriaceae",-0.702098935357116
"Unclassified HOC36",-0.663076078151086
"Endozoicomonadaceae",-0.802683422969797
"Halomonadaceae",-0.766668756803244
"Pasteurellaceae",-1.2332313995696
"Moraxellaceae",1.02022750607983
"Pseudomonadaceae",1.97403658811274
"Unclassified SAR86 clade",1.30295277037094
"Bacteria_Proteobacteria_Gammaproteobacteria_SAR86 clade_uncultured bacterium",2.7838022278113
"Unclassified UBA10353 marine group",0.233082978329006
"Unclassified Gammaproteobacteria",-1.14630391298258
"Vibrionaceae",-0.869179057838655
"Xanthomonadaceae",-1.67281342111628
"Unclassified Proteobacteria",-0.73813115387223
"DEV007",0.781291114486173
"Rubritaleaceae",-0.0783491659131026
"Unclassified Unassigned",-2.79252659119738
