"","IL1R"
"Halococcaceae",0.0793116686546437
"Unclassified Woesearchaeia",-0.0986000920587869
"Nitrosopumilaceae",-0.305752715508148
"Solibacteraceae (Subgroup 3)",-0.116099673254066
"Unclassified Subgroup 6",0.0111278801999174
"Bacteria_Acidobacteria_Subgroup 6_uncultured bacterium_uncultured bacterium",-0.0472403480131753
"Unclassified Subgroup 9",-0.0682630052324179
"Thermoanaerobaculaceae",-0.0989804005613836
"Unclassified Acidobacteria",0.0219708304514556
"Bacteria_Actinobacteria_Acidimicrobiia_Actinomarinales_uncultured",-0.142613028778947
"Ilumatobacteraceae",-0.00679486788276318
"Microtrichaceae",-0.166761129141337
"Corynebacteriaceae",0.141189192195743
"Mycobacteriaceae",-0.0107369815825661
"Geodermatophilaceae",-0.00834035196174258
"Micrococcaceae",0.0386190650621979
"Nocardioidaceae",0.0068796158216026
"Pseudonocardiaceae",0.0232681673782572
"Bacteria_Actinobacteria_Thermoleophilia_Gaiellales_uncultured",-0.038479113964424
"Solirubrobacteraceae",0.0108559136403331
"Bacteria_AncK6_uncultured bacterium_uncultured bacterium_uncultured bacterium",-0.0397834057205794
"Bacteroidaceae",0.104285885305745
"Prevotellaceae",0.122342482198962
"Chitinophagaceae",-0.00633744368214163
"Saprospiraceae",-0.0324431667688616
"Amoebophilaceae",-0.0741217029481428
"Cyclobacteriaceae",-0.238740735341856
"Spirosomaceae",0.0390499955443885
"Unclassified Cytophagales",-0.0355174544156292
"Cryomorphaceae",0.00372900245149947
"Flavobacteriaceae",-0.195162911034295
"Weeksellaceae",0.0398551417657721
"Unclassified Bacteroidia",-0.00298032483675838
"Rhodothermaceae",-0.0433766606622829
"Simkaniaceae",-0.0205138008189091
"Caldilineaceae",-0.14267124222921
"A4b",-0.156916304043674
"Chloroflexaceae",-0.0120187484483609
"Unclassified SAR202 clade",-0.117817816214777
"Bacteria_Chloroflexi_Dehalococcoidia_SAR202 clade_uncultured Chloroflexi bacterium",-0.0170133722018986
"Bacteria_Chloroflexi_TK17_uncultured Chloroflexi bacterium_uncultured Chloroflexi bacterium",-0.0495340478123643
"Unclassified Chloroflexi",-0.03516531253865
"Chroococcidiopsaceae",-0.012040251791099
"Xenococcaceae",-0.018913966598572
"Nodosilineaceae",-0.0106377204899024
"Cyanobiaceae",-0.00130538282621125
"Bacteria_Dadabacteria_Dadabacteriia_Dadabacteriales_uncultured bacterium",-0.13300902945757
"Deinococcaceae",0.115471551815444
"Thermaceae",0.269883226510207
"Entotheonellaceae",-0.0448585855838042
"Alicyclobacillaceae",0.116657446330585
"Bacillaceae",0.296043639365989
"Staphylococcaceae",0.311285067851995
"Enterococcaceae",0.215466329175189
"Lactobacillaceae",0.0648802611215318
"Streptococcaceae",0.0853522154373885
"Clostridiaceae 1",0.0672476164889444
"Clostridiaceae 4",-0.0773123707200336
"Bacteria_Firmicutes_Clostridia_Clostridiales_Family XI",0.0492923013733032
"Lachnospiraceae",0.0218275012233957
"Peptococcaceae",0.0368148568564432
"Peptostreptococcaceae",0.0752577634900077
"Ruminococcaceae",0.0206149904461714
"Unclassified Clostridiales",-0.00377188406836897
"Erysipelotrichaceae",0.0283585360333781
"Veillonellaceae",0.035373936896286
"Fusobacteriaceae",0.052381252902642
"Bacteria_Gemmatimonadetes_BD2-11 terrestrial group_uncultured bacterium_uncultured bacterium",-0.0768754125783909
"Halanaerobiaceae",0.00849694247628267
"Nitrospiraceae",-0.119746242662615
"Bacteria_PAUC34f_uncultured bacterium_uncultured bacterium_uncultured bacterium",-0.0360470563524155
"Bacteria_Planctomycetes_OM190_uncultured bacterium_uncultured bacterium",-0.047609516165289
"Phycisphaeraceae",-0.162940263326122
"Pirellulaceae",-0.328604613505433
"Rubinisphaeraceae",-0.074388910567671
"Caulobacteraceae",0.473844997250362
"Hyphomonadaceae",-0.0196985023318929
"Parvularculaceae",-0.0374909858402323
"Beijerinckiaceae",-0.0669656386456338
"Devosiaceae",-0.0655406702254676
"Hyphomicrobiaceae",-0.0965698901983036
"Methyloligellaceae",-0.112857511513466
"Rhizobiaceae",-0.148769016835394
"Stappiaceae",-0.0765152942757026
"Unclassified Rhizobiales",0.0822954604765718
"Xanthobacteraceae",0.0593235575644092
"Rhodobacteraceae",-0.239554283507269
"Terasakiellaceae",0.0727973458110277
"Kiloniellaceae",-0.149379877600715
"Unclassified Rhodovibrionales",-0.0116498382746798
"Clade I",0.018666835688584
"Sphingomonadaceae",0.480045949434611
"Bacteria_Proteobacteria_Alphaproteobacteria_Thalassobaculales_uncultured",-0.0294792203839925
"Unclassified Alphaproteobacteria",-0.236069621819183
"Bacteria_Proteobacteria_Alphaproteobacteria_uncultured_Unclassified uncultured",-0.0134401139689781
"Bacteria_Proteobacteria_Alphaproteobacteria_uncultured_uncultured bacterium",-0.103840076128543
"Desulfobacteraceae",-0.0234236537108148
"Desulfobulbaceae",-0.00332696761847477
"Desulfovibrionaceae",-0.0464840868999371
"bacteriap25",-0.0594117287566232
"Haliangiaceae",-0.0427743255487898
"P3OB-42",-0.110147544364667
"Sandaracinaceae",-0.0609290888400882
"Unclassified Myxococcales",0.00810849715774985
"Unclassified NB1-j",-0.0310885604786593
"Unclassified Deltaproteobacteria",-0.0866410856820599
"Alteromonadaceae",0.0247081845342389
"Burkholderiaceae",0.488544388065651
"Rhodocyclaceae",0.400737278129293
"Halieaceae",0.013852912332078
"Unclassified Cellvibrionales",0.0134885417573976
"Enterobacteriaceae",0.0678700813072619
"Bacteria_Proteobacteria_Gammaproteobacteria_Gammaproteobacteria Incertae Sedis_Unknown Family",-0.0425894320985717
"Endozoicomonadaceae",0.067315867346063
"Pasteurellaceae",0.0868304169141401
"Moraxellaceae",0.183480324308291
"Pseudomonadaceae",0.478219882054801
"Woeseiaceae",-0.0926070429955145
"Unclassified Gammaproteobacteria",-0.152612407162783
"Vibrionaceae",0.0345959267276849
"Xanthomonadaceae",0.0528516968073981
"Unclassified Proteobacteria",1.50240000408794e-05
"Spirochaetaceae",-0.128738376673529
"Unclassified Bacteria",-0.140371380434944
"Puniceicoccaceae",0.00110011930108475
"DEV007",0.00650310604737037
"Rubritaleaceae",-0.0603765795529737
"Unclassified Unassigned",-0.121098959901808
