"","W","p_val","q_val","diff_abn"
"Halobacteria",17.04967412473,0,0,TRUE
"Woesearchaeia",6.48845617006063,0,0,TRUE
"Nitrososphaeria",11.689270549464,0,0,TRUE
"Acidobacteriia",2.26391833590355,0,0,TRUE
"Blastocatellia (Subgroup 4)",9.62135473961168,0.00384655616151354,0.0153522984787229,TRUE
"Subgroup 6",0.0115984958988728,0,0,TRUE
"Subgroup 9",1.33354274064449,0,0,TRUE
"Thermoanaerobaculia",4.6074799501421,0,0,TRUE
"Unclassified Acidobacteria",14.6617996824596,0.000257253752115394,0.00151136579367794,TRUE
"Acidimicrobiia",19.8311920057477,0,0,TRUE
"Actinobacteria",2.31771526307077,0.255815548627925,0.444548288674675,FALSE
"Thermoleophilia",1.18258656966867,0,0,TRUE
"Bacteria_AncK6_uncultured bacterium",0.00754540004787616,0,0,TRUE
"Bacteroidia",0.0575708318240659,0.379245256926418,0.524250796339461,FALSE
"Rhodothermia",0.604594281247062,0,0,TRUE
"Chlamydiae",0.0151739746379847,0,0,TRUE
"Anaerolineae",20.6888582826779,0,0,TRUE
"Chloroflexia",0.04651381882416,0,0,TRUE
"Dehalococcoidia",4.84272638403856,0,0,TRUE
"JG30-KF-CM66",0.043710221735343,0,0,TRUE
"TK17",1.12841709301034,0,0,TRUE
"Unclassified Chloroflexi",0.540260880413632,0,0,TRUE
"Oxyphotobacteria",0.304345194596805,0,0,TRUE
"Dadabacteriia",8.52951608528255,0,0,TRUE
"Deinococci",21.5544965149577,0,0,TRUE
"Entotheonellia",0.00406802265853239,0,0,TRUE
"Campylobacteria",1.32214027706678,0,0,TRUE
"Bacilli",25.0189930842583,1.13536692497218e-06,2.66811227368462e-05,TRUE
"Clostridia",0.134386855520427,0.572147469642415,0.644824843134643,FALSE
"Erysipelotrichia",2.45197995631662,0.234753458310788,0.424362020792579,FALSE
"Negativicutes",9.58674774927078,0,0,TRUE
"Fusobacteriia",4.30555134669805,0,0,TRUE
"BD2-11 terrestrial group",1.54605003245805,0,0,TRUE
"Halanaerobiia",5.36602419891503,0,0,TRUE
"Nitrospira",4.44637951389752,0,0,TRUE
"Bacteria_PAUC34f_uncultured bacterium",1.09389600274043,0,0,TRUE
"OM190",0.749139929043289,0,0,TRUE
"Phycisphaerae",13.1243294557299,0,0,TRUE
"Planctomycetacia",71.3515230038923,0,0,TRUE
"Alphaproteobacteria",2.17201263504682,0.281084384303934,0.455550553871893,FALSE
"Deltaproteobacteria",6.09071155636683,0.0271788696310467,0.0798379295411998,FALSE
"Gammaproteobacteria",20.750558348038,1.04632646422594e-05,0.000101575409572567,TRUE
"Unclassified Proteobacteria",1.15784579059495,0.563825505809332,0.644824843134643,FALSE
"Spirochaetia",0.0933328962436929,0.480035856188478,0.618936318181705,FALSE
"Unclassified Bacteria",8.0565296630181,0,0,TRUE
"Verrucomicrobiae",1.81376846583683,0.356113654771958,0.507192174978243,FALSE
"Unclassified Unassigned",0.0380184932390706,0.309187981185184,0.484394503856788,FALSE
