"","W","p_val","q_val","diff_abn"
"Halococcaceae",6.76004851727295,0,0,TRUE
"Unclassified Woesearchaeia",6.99946648911884,0,0,TRUE
"Nitrosopumilaceae",15.4008272296786,0,0,TRUE
"Solibacteraceae (Subgroup 3)",6.80869652787736,0,0,TRUE
"Unclassified Subgroup 6",0.0583684056128942,0.381812845540137,0.537055431089423,FALSE
"Bacteria_Acidobacteria_Subgroup 6_uncultured bacterium_uncultured bacterium",3.44148626332663,0,0,TRUE
"Unclassified Subgroup 9",2.86684358213628,0,0,TRUE
"Thermoanaerobaculaceae",8.46014735429586,0,0,TRUE
"Unclassified Acidobacteria",0.214856013544331,0.714024710097608,0.830865117204489,FALSE
"Bacteria_Actinobacteria_Acidimicrobiia_Actinomarinales_uncultured",12.4031666066685,0,0,TRUE
"Ilumatobacteraceae",0.885024674104765,0,0,TRUE
"Microtrichaceae",18.1838748474202,0,0,TRUE
"Corynebacteriaceae",12.3066496872223,0,0,TRUE
"Mycobacteriaceae",1.88247800585291,0,0,TRUE
"Geodermatophilaceae",0.443038386192633,0,0,TRUE
"Micrococcaceae",6.3168373950945,0,0,TRUE
"Nocardioidaceae",0.16994113551018,0,0,TRUE
"Pseudonocardiaceae",1.37646279601942,0,0,TRUE
"Bacteria_Actinobacteria_Thermoleophilia_Gaiellales_uncultured",4.13451121653092,0,0,TRUE
"Solirubrobacteraceae",0.135096672099837,0,0,TRUE
"Bacteria_AncK6_uncultured bacterium_uncultured bacterium_uncultured bacterium",3.36840195798144,0,0,TRUE
"Bacteroidaceae",10.172804476969,0,0,TRUE
"Prevotellaceae",12.5203308036312,0,0,TRUE
"Chitinophagaceae",0.0177047107794948,0,0,TRUE
"Saprospiraceae",4.32490541872618,0,0,TRUE
"Amoebophilaceae",0.103209377636799,0,0,TRUE
"Cyclobacteriaceae",0.476287844647137,0,0,TRUE
"Spirosomaceae",0.0227444644650978,0,0,TRUE
"Unclassified Cytophagales",0.977985842522399,0,0,TRUE
"Cryomorphaceae",0.526241598507799,0,0,TRUE
"Flavobacteriaceae",9.57693017901815,0,0,TRUE
"Weeksellaceae",0.00557639305479084,0.119053800350748,0.262739421463719,FALSE
"Unclassified Bacteroidia",0.666468872204857,0,0,TRUE
"Rhodothermaceae",4.27311241562267,0,0,TRUE
"Simkaniaceae",1.44061732929851,0,0,TRUE
"Caldilineaceae",13.3964556345473,0,0,TRUE
"A4b",14.5564931396624,0,0,TRUE
"Chloroflexaceae",0.684816792817359,0.815865994068391,0.900265924489259,FALSE
"Unclassified SAR202 clade",5.56989947632223,0,0,TRUE
"Bacteria_Chloroflexi_Dehalococcoidia_SAR202 clade_uncultured Chloroflexi bacterium",0.505944590530401,0,0,TRUE
"Bacteria_Chloroflexi_TK17_uncultured Chloroflexi bacterium_uncultured Chloroflexi bacterium",4.1689554274774,0,0,TRUE
"Unclassified Chloroflexi",2.52111106547706,0,0,TRUE
"Chroococcidiopsaceae",0.204609934047147,0,0,TRUE
"Xenococcaceae",0.421958542053106,0,0,TRUE
"Nodosilineaceae",0.0602760768661919,0,0,TRUE
"Cyanobiaceae",0.00010218463659758,0,0,TRUE
"Bacteria_Dadabacteria_Dadabacteriia_Dadabacteriales_uncultured bacterium",15.0750940408087,0,0,TRUE
"Deinococcaceae",9.75440718777074,0,0,TRUE
"Thermaceae",26.1016955982156,0,0,TRUE
"Entotheonellaceae",2.36211452225814,0,0,TRUE
"Alicyclobacillaceae",3.45739319200786,0,0,TRUE
"Bacillaceae",15.6424155302518,0,0,TRUE
"Staphylococcaceae",12.2170778968048,0,0,TRUE
"Enterococcaceae",10.6934389809663,0,0,TRUE
"Lactobacillaceae",6.08996954262432,0,0,TRUE
"Streptococcaceae",3.06258408132068,0,0,TRUE
"Clostridiaceae 1",0.50262649346342,0,0,TRUE
"Clostridiaceae 4",2.76627246083393,0,0,TRUE
"Bacteria_Firmicutes_Clostridia_Clostridiales_Family XI",2.0429098809953,0,0,TRUE
"Lachnospiraceae",0.0291158334731349,0,0,TRUE
"Peptococcaceae",3.05719054886058,0.160761076440639,0.31177905733942,FALSE
"Peptostreptococcaceae",0.230644708521112,0,0,TRUE
"Ruminococcaceae",0.178783833572574,0,0,TRUE
"Unclassified Clostridiales",0.554668113877054,0,0,TRUE
"Erysipelotrichaceae",0.030567254068866,0.27758132420843,0.433297676813158,FALSE
"Veillonellaceae",4.91066398025629,0,0,TRUE
"Fusobacteriaceae",0.373664052494744,0.917972423217079,0.97107826588253,FALSE
"Bacteria_Gemmatimonadetes_BD2-11 terrestrial group_uncultured bacterium_uncultured bacterium",5.30636253565923,0,0,TRUE
"Halanaerobiaceae",0.61601834544019,0,0,TRUE
"Nitrospiraceae",8.84542439642916,0,0,TRUE
"Bacteria_PAUC34f_uncultured bacterium_uncultured bacterium_uncultured bacterium",3.98514947690045,0,0,TRUE
"Bacteria_Planctomycetes_OM190_uncultured bacterium_uncultured bacterium",3.97817262855913,0,0,TRUE
"Phycisphaeraceae",12.5814194059326,0,0,TRUE
"Pirellulaceae",65.2649133044281,0,0,TRUE
"Rubinisphaeraceae",10.366908994684,0,0,TRUE
"Caulobacteraceae",14.5204860629141,0,0,TRUE
