"","IL1R"
"Halobacteria",2.58857431410067
"Woesearchaeia",-2.22898938947502
"Nitrososphaeria",-3.21186945297403
"Acidobacteriia",-1.63577825608669
"Blastocatellia (Subgroup 4)",1.82270150824414
"Subgroup 6",-0.394360602302111
"Subgroup 9",-0.981169363495203
"Thermoanaerobaculia",-1.18443589674509
"Unclassified Acidobacteria",2.09314747667413
"Acidimicrobiia",-3.89568943975986
"Actinobacteria",1.30097126628278
"Thermoleophilia",-0.942649604776266
"Bacteria_AncK6_uncultured bacterium",0.045784732104912
"Bacteroidia",-1.18837531962886
"Rhodothermia",-0.349458001320896
"Chlamydiae",0.866559600277672
"Anaerolineae",-3.53305753138834
"Chloroflexia",-0.270252016041875
"Dehalococcoidia",-2.15176170024235
"JG30-KF-CM66",0.716478302746533
"TK17",-0.910758429258537
"Unclassified Chloroflexi",0.19161665407937
"Oxyphotobacteria",-2.70222790067302
"Dadabacteriia",-2.2622714772488
"Deinococci",4.05014547891294
"Entotheonellia",-0.0912803041168408
"Campylobacteria",0.969588284738126
"Bacilli",6.31097092651881
"Clostridia",-0.25849815097386
"Erysipelotrichia",1.78418446663937
"Negativicutes",1.53979807244018
"Fusobacteriia",1.72104960226484
"BD2-11 terrestrial group",-1.01382940327476
"Halanaerobiia",1.07169029825276
"Nitrospira",-1.75759397989808
"Bacteria_PAUC34f_uncultured bacterium",0.222194965632531
"OM190",-0.709764556251995
"Phycisphaerae",-3.03968475495631
"Planctomycetacia",-5.85800775471491
"Alphaproteobacteria",2.70519955576939
"Deltaproteobacteria",-4.13879515708365
"Gammaproteobacteria",4.81148091466505
"Unclassified Proteobacteria",1.30563210733524
"Spirochaetia",-1.30862625678671
"Unclassified Bacteria",-2.27651890993403
"Verrucomicrobiae",-0.947577513703403
"Unclassified Unassigned",-0.917796379736176
