"","IL1R"
"Unclassified Woesearchaeia",-0.0655388698305178
"Nitrosopumilaceae",-0.204176052781728
"Thermoanaerobaculaceae",-0.0942945097607866
"Unclassified Acidobacteria",-0.00569880949832734
"Actinomarinaceae",0.0502990242708523
"Bacteria_Actinobacteria_Acidimicrobiia_Actinomarinales_uncultured",-0.056120448963079
"Ilumatobacteraceae",0.0262102073334133
"Microtrichaceae",-0.100167802941523
"Actinomycetaceae",0.0444674954380127
"Corynebacteriaceae",0.079536929060076
"Mycobacteriaceae",0.0117345491340226
"Nocardiaceae",0.0746016077494823
"Geodermatophilaceae",-0.0183971546560095
"Micrococcaceae",0.0820538144022396
"Pseudonocardiaceae",0.0215993441502172
"Bacteroidaceae",-0.0360363777323953
"Porphyromonadaceae",0.0187385452855215
"Prevotellaceae",0.00898983433777632
"Rikenellaceae",-0.01107456949916
"Saprospiraceae",-0.112705501474534
"Amoebophilaceae",-0.121595840875196
"Cyclobacteriaceae",-0.0532493114798222
"Cryomorphaceae",0.0559367858108216
"Flavobacteriaceae",-0.243117012099103
"Unclassified Flavobacteriales",-0.0361140343307969
"cvE6",-0.01132124663989
"Simkaniaceae",-0.111766574106112
"Unclassified Chlamydiales",0.0142236324031547
"A4b",-0.0106169911649812
"Bacteria_Chloroflexi_KD4-96_uncultured bacterium_uncultured bacterium",-0.0492340258048829
"Unclassified Nostocales",-0.0692772065950955
"Xenococcaceae",-0.0631912407101405
"Cyanobiaceae",-0.139222308834995
"Bacteria_Dadabacteria_Dadabacteriia_Dadabacteriales_uncultured bacterium",-0.0413997387105305
"Deinococcaceae",0.111755802445459
"Thermaceae",0.186270748867853
"Alicyclobacillaceae",-0.0839971514537825
"Bacillaceae",0.29202079473888
"Staphylococcaceae",0.194824279093044
"Aerococcaceae",0.0682663964520914
"Carnobacteriaceae",-0.0112501345314557
"Enterococcaceae",0.179408796820607
"Lactobacillaceae",0.000912884447346815
"Leuconostocaceae",0.0158575794266309
"Streptococcaceae",-0.0672747647363748
"Unclassified Lactobacillales",-0.00830488233831338
"Christensenellaceae",-0.000685596965758817
"Clostridiaceae 1",-0.157084379396738
"Clostridiaceae 4",0.0333653847947438
"Bacteria_Firmicutes_Clostridia_Clostridiales_Family XI",-0.0102685119541164
"Lachnospiraceae",-0.0946316914340901
"Peptostreptococcaceae",-0.0911463320906217
"Ruminococcaceae",-0.0491425879480288
"Unclassified Clostridiales",0.0173008172586781
"Family III",0.0106908248387564
"Erysipelotrichaceae",-0.0534535027902567
"Veillonellaceae",-0.0186087247358933
"Fusobacteriaceae",-0.0327403578967636
"Halanaerobiaceae",0.0247204296884894
"Bacteria_Planctomycetes_OM190_uncultured bacterium_uncultured bacterium",-0.0349255262376544
"Phycisphaeraceae",-0.0921750389906052
"Pirellulaceae",-0.268770843118747
"Gimesiaceae",-0.0119401711948578
"Rubinisphaeraceae",-0.0848400886028035
"Unclassified Planctomycetales",-0.00992442539531711
"Acetobacteraceae",0.0171117554311426
"Caulobacteraceae",0.381073063998198
"Hyphomonadaceae",0.0121326050712284
"Micavibrionaceae",0.0141732247117264
"Beijerinckiaceae",0.0584854352094158
"Hyphomicrobiaceae",-0.0729100614876796
"Rhizobiaceae",-0.12384093585976
"Stappiaceae",-0.000833393051025012
"Unclassified Rhizobiales",0.0640155419271887
"Xanthobacteraceae",0.0521665261216762
"Rhodobacteraceae",-0.255957096126474
"AEGEAN-169 marine group",0.0176058662017936
"Terasakiellaceae",0.0169054627713093
"Kiloniellaceae",-0.0570613629629528
"Rickettsiaceae",-0.0113880988167384
"Clade I",0.0376706824957492
"Clade II",0.0794908100471211
"Sphingomonadaceae",0.410525860371403
"Unclassified Alphaproteobacteria",-0.116323112168765
"Bacteria_Proteobacteria_Alphaproteobacteria_uncultured_uncultured bacterium",-0.0231649736027451
"Bacteriovoracaceae",-0.012944522133086
"Desulfobulbaceae",-0.0222921773252902
"Nannocystaceae",-0.013434077747278
"Sandaracinaceae",0.0144628606349833
"Oligoflexaceae",0.0141065338443487
"Unclassified Deltaproteobacteria",-0.0382959017970923
"Alteromonadaceae",-0.0113410759340276
"Shewanellaceae",0.00490178899745608
"Burkholderiaceae",0.388919170484271
"Neisseriaceae",0.0797126536176871
"Rhodocyclaceae",0.331665709445344
"Halieaceae",0.00141162496007195
"Enterobacteriaceae",0.0585298544641365
"Francisellaceae",0.0213027675478108
"Unknown Family",-0.0229163970858003
"Endozoicomonadaceae",-0.251858006558563
"Pasteurellaceae",0.0401039369434944
"Moraxellaceae",0.0866851349052619
"Pseudomonadaceae",0.344275106812779
"Woeseiaceae",-0.0771271529935905
"Unclassified Gammaproteobacteria",-0.198511484095225
"Vibrionaceae",-0.089063973611655
"Xanthomonadaceae",-0.0115994841570907
"Unclassified Proteobacteria",-0.015765848652119
"Spirochaetaceae",0.0229089318611107
"Unclassified Bacteria",-0.101119631876267
"Puniceicoccaceae",-0.00532890013098951
"DEV007",-0.103293791971743
"Rubritaleaceae",-0.17876995259897
"Unclassified Verrucomicrobiales",-0.0106493933366808
"Unclassified Unassigned",-0.145710017625392
