"","W","p_val","q_val","diff_abn"
"Woesearchaeia",2.85748340139324e-06,0,0,TRUE
"Nitrososphaeria",10.7187212216206,0,0,TRUE
"Blastocatellia (Subgroup 4)",0.0376377634569947,0,0,TRUE
"Thermoanaerobaculia",3.61559537275434,0,0,TRUE
"Unclassified Acidobacteria",3.14497093156695,0,0,TRUE
"Acidimicrobiia",8.47449130714348,0,0,TRUE
"Actinobacteria",0.114009981910668,0.528751573354459,0.672970406096279,FALSE
"Thermoleophilia",0.00011924378824727,0,0,TRUE
"Bacteroidia",5.49187690441062,0.0382100451830769,0.114630135549231,FALSE
"Rhodothermia",1.54167954311398,0.428735963165848,0.619285280128446,FALSE
"Chlamydiae",2.58928677271351,0,0,TRUE
"Anaerolineae",1.83445368255969,0,0,TRUE
"KD4-96",1.09073429872059,0,0,TRUE
"Melainabacteria",0.276254624788032,0.801666714439911,0.893285767518758,FALSE
"Oxyphotobacteria",8.53803630691276,0,0,TRUE
"Dadabacteriia",0.148742982369178,0,0,TRUE
"Deinococci",28.162349311163,0,0,TRUE
"Campylobacteria",3.29499377547464,0,0,TRUE
"Bacilli",13.1987284941171,0.000560278229470729,0.00546271273733961,TRUE
"Clostridia",0.482835782986838,0.974281247101237,0.976239859797737,FALSE
"Erysipelotrichia",0.00243320773315022,0.0786834797677468,0.204577047396142,FALSE
"Negativicutes",0.346666697538463,0,0,TRUE
"Fusobacteriia",0.430221931166074,0,0,TRUE
"Halanaerobiia",10.183021645809,0,0,TRUE
"Kiritimatiellae",1.3052557113856,0,0,TRUE
"Gracilibacteria",0.0179139876473357,0.212946782419311,0.381451106002252,FALSE
"Parcubacteria",1.98530651854764,0.317664980982921,0.516205594097246,FALSE
"OM190",1.22971435045785,0,0,TRUE
"Phycisphaerae",3.22646331132223,0,0,TRUE
"Planctomycetacia",11.4839493997502,0,0,TRUE
"Alphaproteobacteria",24.8677978692364,1.22799081484626e-06,2.39458208895021e-05,TRUE
"Deltaproteobacteria",10.320683671732,0,0,TRUE
"Gammaproteobacteria",5.18885208217588,0.0454644532783988,0.126650976989825,FALSE
"Unclassified Proteobacteria",0.488693076542353,0,0,TRUE
"Spirochaetia",1.86938675120443,0,0,TRUE
"Mollicutes",0.909584398646368,0,0,TRUE
"Unclassified Bacteria",2.59905521824225,0,0,TRUE
"Verrucomicrobiae",14.337160092161,0,0,TRUE
"Unclassified Unassigned",0.0893015522868694,0,0,TRUE
