"","W","p_val","q_val","diff_abn"
"Unclassified Woesearchaeia",3.21535787324929,0,0,TRUE
"Nitrosopumilaceae",12.9266011330703,0,0,TRUE
"Thermoanaerobaculaceae",12.4823567915621,0,0,TRUE
"Unclassified Acidobacteria",0.0115588376667408,0,0,TRUE
"Actinomarinaceae",0.384771843217657,0,0,TRUE
"Bacteria_Actinobacteria_Acidimicrobiia_Actinomarinales_uncultured",12.3370218521057,0,0,TRUE
"Ilumatobacteraceae",0.275650831427934,0,0,TRUE
"Microtrichaceae",16.1364411965367,0,0,TRUE
"Actinomycetaceae",0.986728702679395,0,0,TRUE
"Corynebacteriaceae",4.43595857411988,0,0,TRUE
"Mycobacteriaceae",1.08118579291118,0,0,TRUE
"Nocardiaceae",2.54129938642239,0,0,TRUE
"Geodermatophilaceae",2.89169521794712,0,0,TRUE
"Micrococcaceae",3.81601262460606,0,0,TRUE
"Pseudonocardiaceae",0.036911356579748,0,0,TRUE
"Bacteroidaceae",0.164813644102957,0,0,TRUE
"Porphyromonadaceae",0.333476266458713,0.872761458537534,0.928810359544531,FALSE
"Prevotellaceae",0.104848659876086,0,0,TRUE
"Rikenellaceae",0.0350646518501883,0.297079500547269,0.502854931645748,FALSE
"Saprospiraceae",9.36154323110611,0,0,TRUE
"Amoebophilaceae",4.27867937697722,0,0,TRUE
"Cyclobacteriaceae",0.206852530909441,0,0,TRUE
"Cryomorphaceae",3.26489592865787,0,0,TRUE
"Flavobacteriaceae",12.6659024091021,0,0,TRUE
"Unclassified Flavobacteriales",3.97633847121578,0,0,TRUE
"cvE6",0.0574132318354693,0.378735681725416,0.570562845196731,FALSE
"Simkaniaceae",2.17014751934375,0,0,TRUE
"Unclassified Chlamydiales",1.47108577844488,0.450348920885182,0.631315560509277,FALSE
"A4b",3.13312269237256,0,0,TRUE
"Bacteria_Chloroflexi_KD4-96_uncultured bacterium_uncultured bacterium",9.91986712392732,0,0,TRUE
"Unclassified Nostocales",5.68047144647653,0,0,TRUE
"Xenococcaceae",3.52069666168688,0,0,TRUE
"Cyanobiaceae",4.06187014826658,0,0,TRUE
"Bacteria_Dadabacteria_Dadabacteriia_Dadabacteriales_uncultured bacterium",9.12017495465238,0,0,TRUE
"Deinococcaceae",4.75065487393185,0,0,TRUE
"Thermaceae",19.6210303289288,0,0,TRUE
"Alicyclobacillaceae",0.889321771092535,0,0,TRUE
"Bacillaceae",31.9103171348935,0,0,TRUE
"Staphylococcaceae",12.0013070159601,0,0,TRUE
"Aerococcaceae",1.36728952093816,0.484556255834974,0.641994053798856,FALSE
"Carnobacteriaceae",0.459000456121016,0.996182964286515,0.996182964286515,FALSE
"Enterococcaceae",4.9995789198272,0,0,TRUE
"Lactobacillaceae",0.301607834667319,0,0,TRUE
"Leuconostocaceae",0.00450883540550704,0.107072017446238,0.264262851569439,FALSE
"Streptococcaceae",0.294173226567161,0,0,TRUE
"Unclassified Lactobacillales",0.390248399302228,0.935662277112877,0.968579796761362,FALSE
"Christensenellaceae",0.0889495374773249,0.468966254409933,0.640001006018262,FALSE
"Clostridiaceae 1",13.7585632383177,0,0,TRUE
"Clostridiaceae 4",0.00865205727399799,0.148218991628731,0.317826171024787,FALSE
"Bacteria_Firmicutes_Clostridia_Clostridiales_Family XI",0.1940325290585,0,0,TRUE
"Lachnospiraceae",1.94147635845858,0,0,TRUE
"Peptostreptococcaceae",5.11181626040823,0,0,TRUE
"Ruminococcaceae",0.207330701040188,0,0,TRUE
"Unclassified Clostridiales",0.0613516456957311,0,0,TRUE
"Family III",0.159920501113741,0,0,TRUE
"Erysipelotrichaceae",1.66946127511936,0.392661415502011,0.57656612909156,FALSE
"Veillonellaceae",2.1014098464909,0,0,TRUE
"Fusobacteriaceae",0.501381266019137,0,0,TRUE
"Halanaerobiaceae",1.78797420541629,0,0,TRUE
"Bacteria_Planctomycetes_OM190_uncultured bacterium_uncultured bacterium",6.37025204504511,0,0,TRUE
"Phycisphaeraceae",13.1587176045308,0,0,TRUE
"Pirellulaceae",14.5069621967151,0,0,TRUE
"Gimesiaceae",3.32436893618337,0,0,TRUE
"Rubinisphaeraceae",9.14552667092825,0,0,TRUE
"Unclassified Planctomycetales",5.25971543347648,0,0,TRUE
"Acetobacteraceae",0.178745601592981,0,0,TRUE
"Caulobacteraceae",28.3327385068055,2.04307282994666e-07,1.18498224136906e-05,TRUE
"Hyphomonadaceae",0.885024282699509,0,0,TRUE
"Micavibrionaceae",1.46675371150424,0.451717168295431,0.631315560509277,FALSE
"Beijerinckiaceae",2.5813606282441,0,0,TRUE
"Hyphomicrobiaceae",15.1146359695588,0,0,TRUE
"Rhizobiaceae",6.88475005656517,0,0,TRUE
"Stappiaceae",0.91926783261668,0,0,TRUE
"Unclassified Rhizobiales",0.0961619269625736,0,0,TRUE
"Xanthobacteraceae",0.439290608946377,0,0,TRUE
"Rhodobacteraceae",17.7312249671859,0,0,TRUE
"AEGEAN-169 marine group",0.0561222363907899,0.374533311340174,0.570562845196731,FALSE
"Terasakiellaceae",2.5873914982958,0,0,TRUE
"Kiloniellaceae",7.20910732781226,0,0,TRUE
"Rickettsiaceae",1.36368423521361,0,0,TRUE
"Clade I",0.0877367488793947,0,0,TRUE
"Clade II",2.83508406405747,0,0,TRUE
"Sphingomonadaceae",25.2479856083567,1.00824387580286e-06,2.92390723982828e-05,TRUE
"Unclassified Alphaproteobacteria",10.9805956107722,0,0,TRUE
"Bacteria_Proteobacteria_Alphaproteobacteria_uncultured_uncultured bacterium",4.64661400287197,0,0,TRUE
"Bacteriovoracaceae",5.16507140688688,0,0,TRUE
"Desulfobulbaceae",5.1092814294814,0,0,TRUE
"Nannocystaceae",1.92660185875845,0,0,TRUE
"Sandaracinaceae",0.921273478880645,0.674281640658252,0.798653935092365,FALSE
"Oligoflexaceae",0.632380059331985,0,0,TRUE
"Unclassified Deltaproteobacteria",5.98014913713373,0,0,TRUE
"Alteromonadaceae",3.13333460458716,0,0,TRUE
"Shewanellaceae",0.397786075098968,0,0,TRUE
"Burkholderiaceae",25.4320958826602,0,0,TRUE
"Neisseriaceae",3.26860066412258,0,0,TRUE
"Rhodocyclaceae",14.3581775859962,0.000302243780820447,0.00292168988126432,TRUE
"Halieaceae",2.09050469777477,0,0,TRUE
"Enterobacteriaceae",1.59698052612144,0,0,TRUE
