"","IL1R"
"Woesearchaeia",-0.753404052511803
"Nitrososphaeria",-3.97292723929503
"Blastocatellia (Subgroup 4)",-0.185626668708643
"Thermoanaerobaculia",-2.09229416138795
"Unclassified Acidobacteria",0.281952002333859
"Acidimicrobiia",-2.84066668793083
"Actinobacteria",-0.841726280089628
"Thermoleophilia",0.188568023487344
"Bacteroidia",-4.62693500683583
"Rhodothermia",0.466948254259609
"Chlamydiae",-2.69557401545238
"Anaerolineae",-1.42702492194512
"KD4-96",-1.08878593371736
"Melainabacteria",0.280154729141902
"Oxyphotobacteria",-3.89626169465219
"Dadabacteriia",-0.8693453904881
"Deinococci",3.80195200819768
"Campylobacteria",1.8191943378825
"Bacilli",3.33414227370957
"Clostridia",-2.38614221723392
"Erysipelotrichia",-0.673217470790976
"Negativicutes",-0.0617311171112185
"Fusobacteriia",-0.229352930680294
"Halanaerobiia",1.22958959044567
"Kiritimatiellae",0.132406188205004
"Gracilibacteria",-0.104964253211818
"Parcubacteria",0.950959162910996
"OM190",-1.04174158393232
"Phycisphaerae",-2.98067626375517
"Planctomycetacia",-4.11998444326478
"Alphaproteobacteria",4.94030769661026
"Deltaproteobacteria",-3.42458881648133
"Gammaproteobacteria",4.08940000309647
"Unclassified Proteobacteria",0.0196566723137939
"Spirochaetia",0.570425303393452
"Mollicutes",0.172729886775644
"Unclassified Bacteria",-2.25915677407992
"Verrucomicrobiae",-5.42803354612301
"Unclassified Unassigned",-2.20339362109019
