"TLR" "ln_asvs_skeleton" "ln_asvs_tissue" "ln_asvs_mucus"
"ACR_Acropora_hyacinthus" 8 3.421000009 3.739651772 3.917010547
"ACR_Acropora_cytherea" 7 3.784189634 3.286534473 3.737669618
"POC_Pocillopora_damicornis" 5 4.588101572 4.386480985 3.678829118
"POC_Pocillopora_verrucosa" 7 4.428830661 4.454347296 4.070734697
"MER_Orbicella_faveolata" 6 4.185859671 4.895349164 4.060443011
"POC_Stylophora" 6 4.224840958 3.917720941 4.509288416
"OCU_Galaxea_fascicularis" 1 5.59471138 5.558274891 4.318968351
"POR_Porites_lutea" 8 4.127134385 4.164072719 3.784189634
"FUN_Fungia_fungites" 8 3.737669618 4.454347296 4.290459441
"ACR_Montipora_capitata" 1 4.418840608 3.33220451 3.878120764
"POR_Porites_rus" 2 5.21166956 4.442651256 4.309455942
