#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g56810.t1            -          PF13519_full         -                  0 1440.4  94.4   3.5e-11   45.7   0.4  52.2  47   5   5  52  52  52  46 -
g64206.t1            -          PF13519_full         -           5.1e-163  543.0  91.8   8.9e-15   57.5   0.2  20.2  20   0   0  20  20  20  20 -
g73270.t2            -          PF13519_full         -            2.9e-84  285.1  11.3   9.1e-16   60.8   0.0   6.7   7   0   0   7   7   6   6 -
g36322.t1            -          PF13519_full         -            2.4e-80  272.2  24.9   6.5e-16   61.2   0.6   7.2   7   0   0   7   7   7   7 -
g69580.t2            -          PF13519_full         -            3.3e-80  271.8  26.1   1.5e-12   50.2   0.0   7.2   7   0   0   7   7   7   7 -
g69580.t1            -          PF13519_full         -            5.6e-77  261.2  26.2   1.5e-12   50.2   0.0   7.2   7   0   0   7   7   7   7 -
g5695.t1             -          PF13519_full         -            1.4e-70  240.3   0.6   2.3e-16   62.7   0.0   5.1   5   0   0   5   5   5   5 -
g73271.t1            -          PF13519_full         -            1.1e-68  234.1  12.4   9.8e-15   57.4   0.3   5.3   5   0   0   5   5   5   5 -
g73270.t3            -          PF13519_full         -            1.2e-63  217.5   6.0   4.2e-16   61.9   0.0   4.2   4   0   0   4   4   4   4 -
g36321.t2            -          PF13519_full         -              7e-62  211.8  21.7   3.9e-16   62.0   0.6   5.1   5   0   0   5   5   5   5 -
g76353.t1            -          PF13519_full         -            8.3e-62  211.5  21.9     4e-16   61.9   0.6   5.1   5   0   0   5   5   5   5 -
g64898.t1            -          PF13519_full         -            3.7e-56  193.0   4.0   1.5e-09   40.4   0.0   5.1   5   0   0   5   5   5   5 -
g36321.t1            -          PF13519_full         -            7.6e-53  182.2  16.0   2.9e-16   62.4   0.7   4.1   4   0   0   4   4   4   4 -
g59643.t1            -          PF13519_full         -            1.4e-51  178.0  15.9   1.1e-10   44.0   0.1   6.5   6   1   0   6   6   6   6 -
g62089.t1            -          PF13519_full         -            4.8e-49  169.7   0.0   1.2e-11   47.3   0.0   4.9   4   0   0   4   4   4   4 -
g62089.t2            -          PF13519_full         -            4.9e-49  169.7   0.0   1.1e-11   47.3   0.0   4.9   4   0   0   4   4   4   4 -
g18509.t1            -          PF13519_full         -            9.2e-49  168.8   0.0   1.1e-15   60.5   0.0   3.2   3   0   0   3   3   3   3 -
g62089.t3            -          PF13519_full         -            6.3e-48  166.1   7.0   9.2e-12   47.6   0.0   5.5   4   1   1   5   5   4   4 -
g22293.t1            -          PF13519_full         -            1.5e-47  164.8   0.0     2e-13   53.1   0.0   4.2   4   0   0   4   4   4   4 -
g67184.t1            -          PF13519_full         -            9.9e-47  162.2   0.0   3.6e-11   45.7   0.0   5.2   5   0   0   5   5   5   5 -
g55829.t1            -          PF13519_full         -            3.4e-46  160.4  23.8   2.6e-12   49.5   1.7   6.2   6   0   0   6   6   6   6 -
g68906.t1            -          PF13519_full         -            2.3e-42  147.9   3.1   5.6e-09   38.5   0.2   4.2   3   1   1   4   4   4   4 -
g12235.t1            -          PF13519_full         -            3.5e-40  140.7   0.6   1.6e-05   27.2   0.0   5.3   5   0   0   5   5   5   5 -
