#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g9633.t1             -          PF00560_full         -            9.4e-35  119.6 100.7   2.8e-05   25.1   5.8  18.2   3   3  12  16  16  16   7 -
g9309.t1             -          PF00560_full         -            1.7e-18   67.5  51.8    0.0017   19.3   0.8   9.9   1   1   5   8   8   7   4 -
g22214.t1            -          PF00560_full         -            2.5e-18   66.9  36.6   2.8e-05   25.0   0.7   9.2   4   3   3   8   8   8   4 -
g14954.t1            -          PF00560_full         -            8.5e-16   58.8  52.3   7.4e-06   26.9   0.0   9.4   4   3   5   9   9   8   3 -
g20010.t1            -          PF00560_full         -              1e-15   58.5  53.3     9e-06   26.6   0.1   9.2   4   3   5   9   9   8   3 -
g3286.t1             -          PF00560_full         -            1.1e-13   52.0  88.5   0.00034   21.6   8.4  10.1   2   2   9  11  11  11   4 -
g2427.t1             -          PF00560_full         -            1.4e-13   51.7  21.3     0.025   15.6   0.1   7.0   1   1   5   6   6   6   4 -
g2886.t1             -          PF00560_full         -            4.1e-09   37.4  15.2     0.023   15.7   6.8   5.2   1   1   4   5   5   5   2 -
g23165.t1            -          PF00560_full         -            5.3e-09   37.0  25.0     0.026   15.5   7.4   4.9   1   1   3   4   4   4   3 -
g18176.t2            -          PF00560_full         -            7.1e-09   36.6  28.0     0.077   14.0   1.3   6.8   1   1   5   6   6   6   3 -
g1440.t1             -          PF00560_full         -            7.1e-09   36.6  24.1      0.18   12.8   0.7   6.6   3   1   4   7   7   5   3 -
g5606.t1             -          PF00560_full         -            1.1e-08   36.0  33.5   1.2e-06   29.4   9.8   5.1   3   1   2   5   5   3   2 -
g24655.t1            -          PF00560_full         -            1.7e-08   35.3  22.7    0.0038   18.2   5.5   4.5   1   1   2   4   4   4   3 -
g18624.t1            -          PF00560_full         -              2e-08   35.1  15.2   0.00067   20.6   1.8   5.1   1   1   2   4   4   4   2 -
g18176.t1            -          PF00560_full         -            4.6e-08   34.0  22.2       0.1   13.6   1.6   6.2   1   1   5   6   6   6   3 -
g9244.t1             -          PF00560_full         -            8.1e-07   30.0  38.1       0.1   13.6   3.2   6.8   1   1   5   6   6   6   2 -
g19234.t5            -          PF00560_full         -              1e-06   29.7  51.3       0.1   13.6   7.2   7.3   1   1   6   7   7   7   2 -
g5971.t1             -          PF00560_full         -              1e-06   29.6  53.1   0.00058   20.8   6.7   7.8   3   2   3   7   7   6   3 -
g16816.t1            -          PF00560_full         -            1.2e-06   29.4  18.2    0.0021   19.0   1.2   4.6   1   1   4   5   5   5   2 -
g6356.t1             -          PF00560_full         -            1.4e-06   29.2  49.2      0.22   12.5   0.6   9.6   2   2   8  10  10  10   4 -
g19234.t4            -          PF00560_full         -            1.7e-06   28.9  55.3     0.089   13.8   6.8   8.1   1   1   6   7   7   7   2 -
