#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g39399.t2      -          PF13306_full         -            6.5e-58  198.2   5.2   3.8e-16   60.6   0.7   4.1   1   1   3   4   4   4   4 -
anno1.g42582.t1      -          PF13306_full         -            4.3e-54  185.6  34.1   1.3e-13   52.2   3.5   8.4   2   1   5   8   8   8   8 -
anno1.g18887.t1      -          PF13306_full         -            2.1e-44  153.8 107.4   0.00012   22.8   3.7  14.9   2   2  13  16  16  16  16 -
anno1.g11219.t1      -          PF13306_full         -            1.5e-36  127.8  30.5     2e-16   61.5   5.2   3.8   2   1   2   4   4   4   3 -
anno1.g23047.t1      -          PF13306_full         -            6.6e-29  102.7  37.4   1.3e-13   52.2   2.0   4.8   3   2   1   4   4   3   3 -
anno1.g35771.t1      -          PF13306_full         -            7.5e-29  102.5  60.0   1.3e-06   29.2   1.3   9.3   1   1   9  11  11  11  11 -
anno1.g43955.t1      -          PF13306_full         -            2.9e-26   94.0   1.7   5.4e-12   46.9   0.0   2.3   1   1   1   2   2   2   2 -
anno1.g32871.t1      -          PF13306_full         -            3.8e-26   93.6  21.2   3.6e-22   80.5   7.5   2.8   2   1   1   3   3   2   2 -
anno1.g40802.t1      -          PF13306_full         -            5.1e-24   86.5   3.1   8.3e-14   52.9   0.1   2.3   1   1   1   2   2   2   2 -
anno1.g5266.t1       -          PF13306_full         -            1.2e-22   82.0  20.8   6.5e-20   73.0  13.6   3.2   2   1   1   3   3   2   2 -
anno1.g33583.t1      -          PF13306_full         -            1.4e-22   81.8   0.2   2.1e-22   81.2   0.2   1.1   1   0   0   1   1   1   1 -
anno1.g9226.t1       -          PF13306_full         -            3.1e-22   80.7   4.9   3.1e-22   80.7   4.9   2.5   2   1   0   2   2   1   1 -
anno1.g8749.t1       -          PF13306_full         -            2.8e-21   77.5   1.6   4.7e-14   53.7   1.4   2.2   1   1   1   2   2   2   2 -
anno1.g11699.t1      -          PF13306_full         -            3.7e-21   77.1  27.3   7.4e-12   46.5   5.7   3.3   2   1   1   3   3   3   2 -
anno1.g48500.t1      -          PF13306_full         -            1.8e-20   74.8   3.1     2e-20   74.7   3.1   1.1   1   0   0   1   1   1   1 -
anno1.g8767.t1       -          PF13306_full         -            1.5e-19   71.9   4.3   7.1e-12   46.5   0.8   2.2   1   1   1   2   2   2   2 -
anno1.g18891.t1      -          PF13306_full         -            1.1e-17   65.7  40.0   2.9e-08   34.6   3.3   5.8   1   1   3   5   5   5   5 -
anno1.g35768.t1      -          PF13306_full         -            1.5e-17   65.2  18.8   2.7e-07   31.4   1.0   4.1   1   1   3   4   4   4   4 -
anno1.g30318.t1      -          PF13306_full         -            1.8e-15   58.3   3.8   2.9e-15   57.7   3.8   1.2   1   0   0   1   1   1   1 -
anno1.g2336.t1       -          PF13306_full         -            1.7e-14   55.2   0.6   1.9e-14   55.0   0.6   1.0   1   0   0   1   1   1   1 -
