#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g11572.t1      -          PF13927_seed         -                  0 2131.9 197.7   6.1e-13   51.0   0.0  58.4  57   0   0  57  57  57  56 -
anno1.g27488.t1      -          PF13927_seed         -                  0 1710.2 240.5   5.2e-16   60.9   1.3  38.3  38   0   0  38  38  38  38 -
anno1.g17035.t1      -          PF13927_seed         -                  0 1516.9  23.3   9.5e-16   60.0   0.1  37.4  37   0   0  37  37  37  37 -
anno1.g27477.t1      -          PF13927_seed         -                  0 1246.0 202.4   5.5e-16   60.8   1.2  32.9  33   1   0  33  33  31  30 -
anno1.g2832.t1       -          PF13927_seed         -                  0 1106.2 133.3   6.4e-13   51.0   0.2  27.5  27   0   0  27  27  27  27 -
anno1.g17039.t2      -          PF13927_seed         -                  0 1080.1   0.1   9.9e-16   60.0   0.1  23.4  23   0   0  23  23  23  23 -
anno1.g57885.t1      -          PF13927_seed         -                  0 1066.9 108.2   8.4e-13   50.6   0.0  31.0  30   0   0  30  30  30  29 -
anno1.g27482.t1      -          PF13927_seed         -           1.3e-259  841.5 129.6     1e-16   63.1   2.1  21.2  20   1   1  21  21  21  18 -
anno1.g11563.t1      -          PF13927_seed         -           6.7e-239  775.1  61.9   2.1e-13   52.5   0.0  22.2  21   1   1  22  22  21  21 -
anno1.g50149.t1      -          PF13927_seed         -           1.6e-196  639.3  61.4   6.6e-17   63.7   0.3  18.5  18   1   1  19  19  17  16 -
anno1.g49463.t1      -          PF13927_seed         -           1.3e-173  565.9  20.0   5.3e-15   57.6   0.0  12.4  12   0   0  12  12  12  12 -
anno1.g40416.t1      -          PF13927_seed         -           1.3e-163  533.9  12.2     6e-15   57.5   0.1  12.0  11   0   0  11  11  11  11 -
anno1.g16715.t1      -          PF13927_seed         -           2.4e-125  411.2  28.9   3.1e-17   64.8   0.3   9.9   9   0   0   9   9   9   9 -
anno1.g3400.t1       -          PF13927_seed         -           2.6e-118  388.7   9.7   2.3e-15   58.8   0.0  11.8   9   3   0   9   9   9   9 -
anno1.g1037.t1       -          PF13927_seed         -           2.4e-107  353.5  27.0   7.1e-16   60.4   0.2  11.0  11   0   0  11  11   9   9 -
anno1.g17036.t1      -          PF13927_seed         -           1.5e-104  344.5   0.0   1.6e-15   59.3   0.0   8.1   8   0   0   8   8   8   7 -
anno1.g34881.t1      -          PF13927_seed         -           1.6e-103  341.2  59.8   3.1e-11   45.6   0.3  12.8  12   0   0  12  12  12  12 -
anno1.g9794.t1       -          PF13927_seed         -            1.1e-96  319.3  41.9   1.1e-14   56.7   1.9   8.4   8   0   0   8   8   8   8 -
anno1.g65228.t1      -          PF13927_seed         -            2.7e-95  314.9   1.3   1.2e-11   46.9   0.0  10.3  10   1   0  10  10   9   8 -
anno1.g27479.t1      -          PF13927_seed         -            4.6e-94  311.0  41.7   1.3e-14   56.4   1.5   9.2   9   0   0   9   9   8   8 -
anno1.g67911.t1      -          PF13927_seed         -            3.2e-93  308.3   9.3   1.5e-14   56.2   0.0   9.8   8   2   0   8   8   8   8 -
anno1.g17037.t1      -          PF13927_seed         -            3.7e-93  308.1   0.0   1.3e-17   66.0   0.0   6.1   6   0   0   6   6   6   6 -
