#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g4901.t1       -          PF00560_full         -            6.9e-42  142.7 110.9   3.3e-05   25.0   6.1  15.6   2   2  10  13  13  13  10 -
anno1.g24717.t1      -          PF00560_full         -            1.3e-18   68.1  74.5     0.012   16.7  10.8  13.6   1   1  11  12  12  12   5 -
anno1.g5798.t1       -          PF00560_full         -            5.1e-17   62.9  74.8   0.00035   21.7   3.2   9.6   2   2   6   8   8   8   4 -
anno1.g2197.t1       -          PF00560_full         -              8e-16   59.1  27.6   1.8e-05   25.8   0.4   7.5   2   2   5   7   7   7   5 -
anno1.g2792.t1       -          PF00560_full         -            6.6e-14   52.9  18.8   2.6e-05   25.3   0.3   5.4   1   1   3   4   4   4   4 -
anno1.g43460.t1      -          PF00560_full         -            1.9e-13   51.4  32.4   7.3e-06   27.1   0.8   7.8   4   3   3   7   7   6   3 -
anno1.g4898.t1       -          PF00560_full         -            4.4e-13   50.3  22.9   2.5e-05   25.4   0.3   6.0   1   1   3   4   4   4   3 -
anno1.g22271.t1      -          PF00560_full         -            2.4e-11   44.7  20.6     0.022   15.9   0.1   7.4   2   1   6   8   8   7   2 -
anno1.g20549.t1      -          PF00560_full         -            1.2e-10   42.4  82.4      0.43   11.8   4.0  12.3   1   1  10  11  11  10   4 -
anno1.g2195.t1       -          PF00560_full         -              2e-10   41.8  27.4    0.0009   20.4   1.7   6.7   3   3   3   6   6   6   2 -
anno1.g25974.t1      -          PF00560_full         -            1.1e-09   39.4  25.2     0.023   15.8   0.3   6.6   2   2   4   6   6   6   2 -
anno1.g14812.t1      -          PF00560_full         -            2.2e-09   38.4  14.4     0.021   16.0   6.7   5.1   1   1   4   5   5   5   3 -
anno1.g28979.t1      -          PF00560_full         -            2.3e-09   38.3  52.5   0.00018   22.6   6.7   7.6   3   2   3   7   7   7   3 -
anno1.g15274.t1      -          PF00560_full         -            1.7e-08   35.5  47.9    0.0014   19.8   0.4   9.8   1   1  11  12  12  12   3 -
