#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g24541.t1            -          PF13516_full         -            2.9e-83  274.5  89.9   1.6e-06   28.8   0.4  16.6   1   1  15  16  16  16  16 -
g24285.t1            -          PF13516_full         -            1.5e-80  265.8 127.1   9.8e-08   32.7   1.4  20.5   4   3  18  22  22  19  15 -
g24286.t1            -          PF13516_full         -            3.4e-79  261.5 126.2   1.1e-07   32.5   1.3  20.3   4   3  18  22  22  18  15 -
g24551.t2            -          PF13516_full         -            7.6e-74  244.4  67.1   1.1e-06   29.3   0.7  16.1   1   1  15  16  16  16  13 -
g30271.t1            -          PF13516_full         -            1.8e-73  243.2  92.8   1.6e-08   35.2   0.8  14.1   1   1  13  14  14  14  13 -
g24551.t1            -          PF13516_full         -              1e-72  240.7  66.5     1e-06   29.4   0.5  16.1   1   1  15  16  16  16  13 -
g8111.t1             -          PF13516_full         -              1e-70  234.3  59.4   5.6e-06   27.1   0.1  16.2   1   1  15  16  16  16  14 -
g30926.t1            -          PF13516_full         -            1.1e-59  199.1  51.0   2.1e-07   31.7   1.8  11.2   1   1  10  11  11  11  11 -
g28742.t1            -          PF13516_full         -            1.4e-54  182.7  37.2   3.5e-05   24.5   0.1  11.5   1   1  10  11  11  11  11 -
g24542.t1            -          PF13516_full         -              5e-54  180.9  53.8   4.6e-07   30.5   0.2  10.8   1   1   9  10  10  10  10 -
g24656.t1            -          PF13516_full         -            8.7e-51  170.5  89.2   2.1e-05   25.2   2.6  11.7   2   1  10  12  12  11  11 -
g27031.t1            -          PF13516_full         -            1.9e-49  166.2  59.3   2.1e-05   25.3   0.4  12.3   1   1  11  12  12  12  12 -
g11991.t1            -          PF13516_full         -            2.9e-47  159.3  66.3   1.5e-06   28.9   2.3  10.6   1   1   9  10  10  10   9 -
g25021.t1            -          PF13516_full         -            6.8e-46  154.9  35.0   0.00014   22.6   0.0  11.9   1   1  10  11  11  11  10 -
g4583.t1             -          PF13516_full         -            8.3e-44  148.2  74.9   1.2e-05   26.0   4.3  14.5   7   3   8  15  15  13  10 -
g10990.t1            -          PF13516_full         -            9.1e-43  144.9  62.0   6.1e-07   30.2   1.1   9.6   1   1   8   9   9   9   8 -
g22278.t1            -          PF13516_full         -            1.7e-42  144.0  33.8   9.3e-06   26.4   1.3   8.5   1   1   7   8   8   8   8 -
g28914.t1            -          PF13516_full         -            2.4e-42  143.5  57.3   0.00014   22.6   0.0  14.2   5   5   9  14  14  13   8 -
g25027.t1            -          PF13516_full         -            1.6e-41  140.8  35.5   2.4e-05   25.1   0.1  12.3   1   1  11  12  12  12   7 -
g27928.t1            -          PF13516_full         -            4.3e-40  136.3  16.0   1.7e-05   25.5   0.3   7.4   1   1   6   7   7   7   7 -
g8111.t2             -          PF13516_full         -              2e-39  134.2  20.4   1.2e-06   29.3   0.1   6.1   1   1   5   6   6   6   6 -
g27038.t1            -          PF13516_full         -            2.2e-39  134.0  52.1   4.4e-06   27.4   0.4  12.5   3   3   9  12  12  12   8 -
g17839.t1            -          PF13516_full         -              1e-37  128.7  41.0   1.7e-06   28.7   0.9   9.4   2   2   7   9   9   9   8 -
g7811.t1             -          PF13516_full         -            1.2e-37  128.5  56.4   1.3e-06   29.1   1.8   9.9   1   1   8   9   9   9   8 -
g24549.t1            -          PF13516_full         -            3.7e-37  126.9  21.2   5.3e-06   27.2   0.1   7.6   1   1   6   7   7   7   6 -
g29353.t1            -          PF13516_full         -            4.6e-37  126.6  56.0   0.00013   22.7   0.2  14.2   4   3  11  15  15  12   9 -
g23874.t1            -          PF13516_full         -            1.5e-36  125.0  44.7   2.4e-06   28.2   0.3  12.7   2   2  11  13  13  12   8 -
g31183.t1            -          PF13516_full         -            5.5e-36  123.1  63.4   0.00025   21.8   1.3  13.7   4   1  10  14  14  13  10 -
g8321.t1             -          PF13516_full         -            4.5e-35  120.2  53.7   4.2e-07   30.7   1.6  11.3   4   1   7  11  11   9   6 -
g28915.t1            -          PF13516_full         -            5.1e-35  120.0  50.7   1.8e-06   28.7   0.7  13.0   4   3  10  14  14  12   8 -
g7132.t1             -          PF13516_full         -            5.6e-35  119.9  21.9   0.00088   20.0   0.0  10.3   3   3   7  10  10   9   7 -
g26717.t1            -          PF13516_full         -            8.3e-35  119.4  21.2   6.4e-07   30.1   0.3   6.9   2   1   5   7   7   6   5 -
g19936.t1            -          PF13516_full         -            2.5e-34  117.8   9.1     3e-05   24.7   0.3   8.3   1   1   7   8   8   8   6 -
