#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g9633.t1       -          PF00560_full         -            5.8e-35  120.1 100.2   2.4e-05   25.1   5.8  18.2   3   3  12  16  16  16   8 -
anno1.g9309.t1       -          PF00560_full         -            1.4e-18   67.5  51.8    0.0015   19.3   0.8   9.9   1   1   5   8   8   7   4 -
anno1.g22214.t1      -          PF00560_full         -            2.1e-18   67.0  36.6   2.4e-05   25.0   0.7   9.2   4   3   3   8   8   8   4 -
anno1.g14954.t1      -          PF00560_full         -            7.3e-16   58.8  52.3   6.4e-06   26.9   0.0   9.4   4   3   5   9   9   8   3 -
anno1.g20010.t1      -          PF00560_full         -            8.3e-16   58.6  53.2   7.8e-06   26.6   0.1   9.2   4   3   5   9   9   8   3 -
anno1.g3286.t1       -          PF00560_full         -            9.4e-14   52.0  88.5   0.00029   21.6   8.4  10.1   2   2   9  11  11  11   4 -
anno1.g2427.t1       -          PF00560_full         -            1.2e-13   51.7  21.3     0.022   15.6   0.1   7.0   1   1   5   6   6   6   4 -
anno1.g2886.t1       -          PF00560_full         -            3.5e-09   37.4  15.2      0.02   15.7   6.8   5.2   1   1   4   5   5   5   2 -
anno1.g23165.t1      -          PF00560_full         -            4.6e-09   37.0  25.0     0.023   15.5   7.4   4.9   1   1   3   4   4   4   3 -
anno1.g1440.t1       -          PF00560_full         -            6.1e-09   36.6  24.1      0.15   12.8   0.7   6.6   3   1   4   7   7   5   3 -
anno1.g18176.t2      -          PF00560_full         -            6.2e-09   36.6  28.0     0.067   14.0   1.3   6.8   1   1   5   6   6   6   3 -
anno1.g5606.t1       -          PF00560_full         -            9.6e-09   36.0  33.5     1e-06   29.5   9.8   5.1   3   1   2   5   5   3   2 -
anno1.g24655.t1      -          PF00560_full         -            1.6e-08   35.2  22.8    0.0033   18.2   5.4   4.5   1   1   2   4   4   4   3 -
anno1.g18624.t1      -          PF00560_full         -            1.9e-08   35.0  15.3   0.00059   20.6   1.9   5.1   1   1   2   4   4   4   2 -
anno1.g9244.t1       -          PF00560_full         -            8.1e-07   29.8  38.3     0.086   13.7   3.1   6.8   1   1   5   6   6   6   3 -
anno1.g5971.t1       -          PF00560_full         -            8.9e-07   29.6  53.1   0.00051   20.8   6.7   7.8   3   2   3   7   7   6   3 -
anno1.g16816.t1      -          PF00560_full         -              1e-06   29.5  18.2    0.0018   19.1   1.2   4.6   1   1   4   5   5   5   2 -
anno1.g6356.t1       -          PF00560_full         -            1.1e-06   29.4  49.1      0.19   12.5   0.5   9.6   2   2   8  10  10  10   4 -
anno1.g22345.t1      -          PF00560_full         -            2.1e-06   28.4  17.7     0.016   16.0   0.0   6.1   3   2   3   6   6   5   2 -
anno1.g1930.t1       -          PF00560_full         -              3e-06   28.0  23.3    0.0036   18.1   6.8   4.3   1   1   3   4   4   4   2 -
anno1.g10591.t1      -          PF00560_full         -            3.5e-06   27.8  73.1     0.023   15.5   1.7   9.9   1   1   9  10  10  10   4 -
anno1.g15497.t1      -          PF00560_full         -            3.6e-06   27.7  19.3     0.019   15.7   0.3   5.6   4   2   2   6   6   4   2 -
anno1.g18178.t1      -          PF00560_full         -            4.7e-06   27.3  34.1    0.0029   18.4   4.1   6.3   2   1   4   7   7   6   4 -
anno1.g13881.t1      -          PF00560_full         -            1.5e-05   25.7   8.4     0.068   14.0   0.2   4.0   2   1   2   4   4   3   2 -
anno1.g23700.t1      -          PF00560_full         -            1.7e-05   25.5  20.8      0.27   12.1   3.7   4.2   1   1   3   4   4   4   3 -
anno1.g14555.t1      -          PF00560_full         -            2.2e-05   25.2   6.3   2.2e-05   25.2   6.3   6.7   3   3   3   6   6   4   2 -
anno1.g15896.t1      -          PF00560_full         -            3.1e-05   24.7  17.2   0.00098   19.9   1.9   4.2   1   1   3   4   4   3   1 -
anno1.g13060.t1      -          PF00560_full         -              4e-05   24.3  23.5     0.044   14.6   0.1   7.8   5   1   4   9   9   7   1 -
anno1.g15532.t1      -          PF00560_full         -            6.1e-05   23.8  50.1     0.031   15.1   3.2   8.4   3   2   3   7   7   7   3 -
anno1.g16250.t1      -          PF00560_full         -            6.2e-05   23.7  11.2      0.63   10.9   0.2   5.8   5   1   1   6   6   5   1 -
anno1.g3932.t1       -          PF00560_full         -            9.7e-05   23.1  42.3   0.00025   21.8   1.6   6.8   2   2   4   7   7   5   2 -
anno1.g18289.t1      -          PF00560_full         -            9.7e-05   23.1  27.0      0.42   11.4   2.2   6.5   1   1   4   5   5   5   2 -
anno1.g33359.t1      -          PF00560_full         -             0.0001   23.0  19.6      0.18   12.6   7.0   3.7   1   1   2   3   3   3   2 -
anno1.g1689.t1       -          PF00560_full         -            0.00017   22.3  25.6    0.0011   19.7   2.9   4.5   1   1   2   4   4   4   2 -
anno1.g17923.t1      -          PF00560_full         -            0.00019   22.1  27.8       2.5    9.0   0.0   9.1   1   1   9  10  10   8   1 -
anno1.g34147.t1      -          PF00560_full         -             0.0002   22.1  12.6       2.7    8.9   5.6   5.6   1   1   4   5   5   5   1 -
anno1.g19234.t1      -          PF00560_full         -            0.00021   22.0  56.1      0.12   13.2   6.5   7.9   1   1   7   8   8   8   1 -
anno1.g27728.t1      -          PF00560_full         -            0.00023   21.9  12.2       1.7    9.5   0.2   5.7   1   1   6   7   7   6   1 -
anno1.g17613.t1      -          PF00560_full         -            0.00024   21.8   4.0   0.00024   21.8   4.0   5.4   1   1   6   7   7   7   1 -
anno1.g17460.t1      -          PF00560_full         -            0.00027   21.7  18.0     0.012   16.4   2.5   4.2   1   1   1   3   3   3   1 -
anno1.g1438.t1       -          PF00560_full         -            0.00028   21.7  31.6       0.3   11.9   0.3   6.4   1   1   4   6   6   6   1 -
anno1.g8980.t1       -          PF00560_full         -             0.0003   21.6  18.5      0.42   11.4   0.3   4.2   1   1   1   3   3   3   2 -
anno1.g12514.t1      -          PF00560_full         -            0.00034   21.4  28.9      0.59   11.0   8.0   4.6   1   1   3   4   4   4   2 -
anno1.g24486.t1      -          PF00560_full         -            0.00035   21.3   2.4       2.1    9.2   0.1   4.1   3   1   1   4   4   3   1 -
anno1.g11958.t1      -          PF00560_full         -            0.00037   21.2  13.4    0.0035   18.1   0.2   3.7   1   1   2   3   3   3   1 -
anno1.g22605.t1      -          PF00560_full         -            0.00075   20.3  23.1     0.039   14.7   0.8   6.5   1   1   4   6   6   6   1 -
anno1.g7499.t1       -          PF00560_full         -            0.00075   20.3  14.7      0.79   10.6   3.6   4.3   2   1   1   3   3   3   2 -
anno1.g20762.t2      -          PF00560_full         -            0.00097   19.9  37.0       1.6    9.5   4.8   6.5   1   1   5   6   6   5   1 -
anno1.g31629.t1      -          PF00560_full         -             0.0014   19.4  14.6      0.42   11.4   7.8   3.0   2   1   1   3   3   3   2 -
anno1.g18145.t1      -          PF00560_full         -             0.0015   19.3  13.9       1.6    9.5   0.1   4.8   3   1   2   5   5   4   1 -
anno1.g18137.t1      -          PF00560_full         -             0.0015   19.3  13.4       1.7    9.5   0.1   4.8   3   1   2   5   5   4   1 -
anno1.g24268.t2      -          PF00560_full         -             0.0016   19.2  33.5      0.02   15.7   3.0   4.9   2   1   2   5   5   4   2 -
anno1.g11452.t3      -          PF00560_full         -             0.0019   19.0  30.6      0.44   11.4   6.9   4.8   2   2   3   5   5   4   1 -
anno1.g5563.t1       -          PF00560_full         -             0.0021   18.8  11.3    0.0024   18.6   3.0   3.1   1   1   2   3   3   3   1 -
anno1.g18620.t1      -          PF00560_full         -             0.0023   18.7   8.8         1   10.2   0.3   4.2   1   1   3   4   4   4   1 -
anno1.g22396.t1      -          PF00560_full         -             0.0027   18.5   5.6         2    9.3   0.1   4.3   4   1   1   5   5   3   1 -
anno1.g17991.t2      -          PF00560_full         -             0.0028   18.4  16.6      0.32   11.8   0.1   5.0   1   1   3   4   4   4   1 -
anno1.g14076.t2      -          PF00560_full         -             0.0028   18.4  22.5       0.2   12.5   3.8   5.8   1   1   3   4   4   4   1 -
anno1.g12730.t1      -          PF00560_full         -             0.0031   18.3  18.9      0.16   12.8   2.4   4.0   2   1   2   4   4   3   2 -
anno1.g3833.t1       -          PF00560_full         -              0.004   17.9  27.4       1.9    9.4   0.4   6.9   2   2   5   7   7   7   1 -
anno1.g3284.t1       -          PF00560_full         -             0.0042   17.9  15.9       2.8    8.8   0.6   4.6   2   2   2   4   4   4   0 -
anno1.g16328.t1      -          PF00560_full         -              0.005   17.6  26.7     0.065   14.0   3.6   4.5   1   1   3   4   4   4   1 -
anno1.g28229.t1      -          PF00560_full         -             0.0054   17.5  23.8     0.015   16.1   1.9   5.5   1   1   3   5   5   4   1 -
anno1.g19861.t1      -          PF00560_full         -             0.0057   17.4  27.8        28    5.6   0.1   9.2   4   2   6  10  10  10   0 -
anno1.g28228.t1      -          PF00560_full         -             0.0065   17.3   1.0    0.0065   17.3   1.0   7.1   1   1   4   7   7   6   2 -
anno1.g26183.t1      -          PF00560_full         -             0.0073   17.1  16.4       2.5    8.9   0.5   4.6   2   2   2   4   4   4   1 -
anno1.g33239.t1      -          PF00560_full         -             0.0084   16.9   7.4     0.036   14.9   0.4   2.8   1   1   1   2   2   2   1 -
anno1.g1071.t2       -          PF00560_full         -             0.0088   16.8  37.2       2.2    9.1   0.1   8.6   2   1   6   9   9   8   1 -
anno1.g3543.t1       -          PF00560_full         -             0.0098   16.7  29.9     0.068   14.0   3.6   4.9   1   1   3   4   4   4   1 -
anno1.g2085.t1       -          PF00560_full         -              0.011   16.5  14.0      0.33   11.8   1.2   3.6   1   1   2   3   3   3   0 -
anno1.g34086.t1      -          PF00560_full         -              0.014   16.1  30.3      0.39   11.6   0.1   8.2   4   3   6  10  10   9   0 -
anno1.g1557.t1       -          PF00560_full         -              0.021   15.6  17.7      0.62   10.9   4.1   3.5   1   1   2   3   3   3   0 -
anno1.g33643.t1      -          PF00560_full         -              0.023   15.5   0.5     0.023   15.5   0.5   2.8   1   1   1   2   2   2   0 -
anno1.g8055.t1       -          PF00560_full         -              0.024   15.4  21.7      0.98   10.3   3.3   4.4   1   1   3   4   4   4   0 -
anno1.g18205.t1      -          PF00560_full         -              0.026   15.3   1.5     0.026   15.3   1.5   4.8   4   2   2   6   6   3   0 -
anno1.g19362.t1      -          PF00560_full         -              0.026   15.3   2.4     0.062   14.1   2.4   1.6   1   0   0   1   1   1   0 -
anno1.g8329.t1       -          PF00560_full         -              0.028   15.2  23.5       1.3    9.8   5.9   3.9   2   1   2   4   4   3   0 -
anno1.g21354.t1      -          PF00560_full         -              0.029   15.2   9.2      0.83   10.5   0.6   3.0   1   1   1   2   2   2   0 -
anno1.g7820.t1       -          PF00560_full         -              0.029   15.2   1.0     0.029   15.2   1.0   7.1   1   1   5   7   7   6   0 -
anno1.g1449.t1       -          PF00560_full         -               0.03   15.1  25.1       2.1    9.2   0.1   5.9   1   1   4   5   5   5   0 -
anno1.g17992.t2      -          PF00560_full         -              0.031   15.1   5.4       1.4    9.7   1.2   3.3   1   1   1   2   2   2   0 -
anno1.g25884.t1      -          PF00560_full         -              0.033   15.0   2.0     0.033   15.0   2.0   3.9   1   1   2   3   3   3   0 -
anno1.g24413.t1      -          PF00560_full         -              0.039   14.8  12.0      0.35   11.7   0.9   3.6   1   1   2   3   3   3   0 -
anno1.g533.t1        -          PF00560_full         -              0.044   14.6   5.2       3.3    8.6   0.2   3.3   2   1   1   3   3   2   0 -
anno1.g7818.t2       -          PF00560_full         -              0.046   14.5   0.5     0.046   14.5   0.5   7.4   4   3   5   9   9   7   0 -
anno1.g790.t1        -          PF00560_full         -              0.049   14.4  18.8       4.2    8.2   0.2   5.9   4   2   1   5   5   5   0 -
anno1.g11431.t1      -          PF00560_full         -              0.059   14.2   0.7     0.059   14.2   0.7   5.4   2   1   3   5   5   4   0 -
anno1.g33037.t1      -          PF00560_full         -              0.061   14.1   1.6       0.2   12.5   1.6   1.9   1   0   0   1   1   1   0 -
anno1.g17990.t1      -          PF00560_full         -              0.062   14.1  24.6       0.5   11.2   7.5   4.7   1   1   1   3   3   3   0 -
anno1.g32663.t1      -          PF00560_full         -              0.077   13.8   1.0     0.077   13.8   1.0   2.7   1   1   1   2   2   2   0 -
anno1.g19860.t1      -          PF00560_full         -              0.079   13.8   0.2     0.079   13.8   0.2   7.6   3   2   4   9   9   7   0 -
anno1.g33706.t1      -          PF00560_full         -              0.084   13.7  23.3       1.6    9.6   1.6   5.5   1   1   3   5   5   5   0 -
anno1.g8545.t1       -          PF00560_full         -              0.086   13.6  86.9      0.63   10.9   2.1  10.7   2   2   8  10  10   9   0 -
anno1.g5605.t1       -          PF00560_full         -                0.1   13.4  28.8      0.69   10.7   1.5   5.4   2   2   3   5   5   5   0 -
anno1.g13376.t1      -          PF00560_full         -               0.12   13.1   0.5      0.12   13.1   0.5   3.0   3   0   0   3   3   2   0 -
anno1.g8872.t1       -          PF00560_full         -               0.14   13.0   0.1      0.27   12.1   0.1   1.4   1   0   0   1   1   1   0 -
anno1.g25859.t1      -          PF00560_full         -               0.19   12.5   0.5      0.42   11.4   0.5   1.6   1   0   0   1   1   1   0 -
anno1.g18737.t1      -          PF00560_full         -                0.2   12.5   0.4      0.65   10.8   0.1   1.9   2   0   0   2   2   1   0 -
anno1.g12700.t1      -          PF00560_full         -                0.2   12.5  27.2      0.43   11.4   0.1   7.1   3   3   4   7   7   6   0 -
anno1.g18068.t1      -          PF00560_full         -               0.23   12.3  31.0       4.2    8.2   0.1   8.3   4   2   5   9   9   8   0 -
anno1.g19177.t1      -          PF00560_full         -               0.23   12.3   0.2        36    5.2   0.0   3.1   2   2   0   2   2   2   0 -
anno1.g10585.t1      -          PF00560_full         -               0.25   12.1  23.0         3    8.7   0.3   5.3   1   1   3   4   4   4   0 -
anno1.g17360.t1      -          PF00560_full         -               0.32   11.8  15.8     0.067   14.0   3.3   3.5   1   1   2   3   3   3   0 -
anno1.g34087.t1      -          PF00560_full         -               0.37   11.6  30.6      0.56   11.1   0.1   7.8   4   3   5   9   9   7   0 -
anno1.g24330.t1      -          PF00560_full         -               0.37   11.6  13.1       6.6    7.6   0.1   4.1   1   1   1   3   3   3   0 -
anno1.g11719.t1      -          PF00560_full         -               0.41   11.5  10.3       2.6    8.9   6.1   3.2   1   1   1   2   2   2   0 -
anno1.g13446.t1      -          PF00560_full         -               0.43   11.4  25.0        14    6.6   5.3   4.3   1   1   2   3   3   3   0 -
anno1.g14299.t1      -          PF00560_full         -               0.47   11.3   6.6      0.61   10.9   0.8   2.3   1   1   1   2   2   2   0 -
