#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g2199.t1       -          PF13895_full         -                  0 2727.4   0.0   7.5e-17   62.7   0.0  72.7   8   5  60  73  73  72  72 -
anno1.g7199.t1       -          PF13895_full         -                  0 1050.1  95.2   3.2e-16   60.7   0.1  26.2   4   4  15  26  26  26  26 -
anno1.g20124.t1      -          PF13895_full         -           1.3e-245  807.0 166.8   8.2e-17   62.6   1.4  21.1   1   1  19  21  21  21  21 -
anno1.g20832.t1      -          PF13895_full         -           4.2e-154  509.3  17.2     7e-15   56.3   0.0  11.5   1   1  10  11  11  11  11 -
anno1.g7197.t1       -          PF13895_full         -             3e-153  506.6  35.6   1.4e-13   52.1   0.7  14.3   4   3  10  14  14  14  14 -
anno1.g5174.t1       -          PF13895_full         -           8.6e-139  459.5  47.3   1.9e-13   51.7   0.0  12.1   2   2  10  12  12  12  12 -
anno1.g7198.t1       -          PF13895_full         -           8.4e-106  352.2  34.2   3.8e-18   67.0   0.5   8.2   4   3   4   8   8   8   8 -
anno1.g28987.t1      -          PF13895_full         -           1.6e-105  351.2  36.8   1.7e-14   55.1   0.0   8.7   1   1   8   9   9   8   8 -
anno1.g1105.t1       -          PF13895_full         -            2.9e-96  321.1  41.2   4.6e-16   60.2   0.2  10.2   3   2   7  10  10   9   9 -
anno1.g31618.t1      -          PF13895_full         -            4.3e-89  297.8  26.9   9.3e-18   65.7   0.2   7.1   1   1   6   7   7   7   7 -
anno1.g20562.t1      -          PF13895_full         -            8.1e-83  277.4  40.8   1.1e-15   59.0   1.6   8.2   2   1   6   8   8   8   8 -
anno1.g11785.t1      -          PF13895_full         -            1.2e-79  267.1  29.3     2e-15   58.1   0.5   9.1   3   1   6   9   9   8   8 -
anno1.g18239.t1      -          PF13895_full         -            7.4e-77  258.0  16.5   1.5e-17   65.0   0.1   6.3   1   1   5   6   6   6   6 -
anno1.g5709.t1       -          PF13895_full         -            1.1e-76  257.5  35.6   2.9e-16   60.8   2.3   7.9   1   1   6   7   7   7   7 -
anno1.g11721.t1      -          PF13895_full         -            2.3e-76  256.4  12.1   1.1e-17   65.5   0.0   5.0   1   1   4   5   5   5   5 -
anno1.g20122.t1      -          PF13895_full         -            1.8e-75  253.5  18.9   3.4e-13   50.9   0.2   8.4   2   1   5   8   8   7   7 -
anno1.g17646.t1      -          PF13895_full         -            2.6e-73  246.5  19.6   4.8e-13   50.4   0.0   7.0   1   1   6   7   7   7   6 -
anno1.g25890.t1      -          PF13895_full         -              2e-69  233.8  37.8   5.8e-11   43.6   1.8   7.1   2   1   5   7   7   7   7 -
anno1.g9315.t1       -          PF13895_full         -            6.8e-61  206.0  26.5     2e-13   51.6   0.1   7.3   2   1   5   7   7   6   5 -
anno1.g32981.t1      -          PF13895_full         -            1.2e-59  202.0  49.8   2.7e-13   51.2   0.3   7.4   2   1   5   7   7   7   6 -
anno1.g39387.t1      -          PF13895_full         -            1.2e-59  201.9  30.4   9.3e-13   49.4   4.5   5.0   3   2   2   5   5   5   5 -
anno1.g3601.t1       -          PF13895_full         -            3.7e-59  200.4   6.3   3.9e-16   60.4   0.0   4.1   2   1   2   4   4   4   4 -
anno1.g33071.t1      -          PF13895_full         -            4.2e-56  190.5   8.7   9.9e-15   55.9   0.7   4.9   2   1   3   5   5   4   4 -
