#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g35352.t2            -          PF13927_seed         -                  0 1994.1   5.6   9.2e-17   62.8   0.0  45.5  45   0   0  45  45  45  45 -
g1193.t1             -          PF13927_seed         -                  0 1291.0 135.4   2.3e-12   48.6   0.2  37.5  36   1   0  36  36  36  36 -
g1192.t1             -          PF13927_seed         -                  0 1088.0  80.1   1.7e-15   58.7   0.3  27.3  26   1   0  26  26  26  26 -
g35352.t1            -          PF13927_seed         -           1.7e-216  702.8   1.6   2.1e-14   55.2   0.1  15.7  15   0   0  15  15  15  15 -
g9713.t1             -          PF13927_seed         -           2.6e-177  577.2  20.0     2e-15   58.5   0.0  13.0  12   0   0  12  12  12  12 -
g15419.t1            -          PF13927_seed         -           9.4e-162  527.4  66.1   3.9e-12   47.9   0.0  24.1  23   1   0  23  23  23  20 -
g20903.t1            -          PF13927_seed         -           2.2e-160  523.0  26.0   4.2e-15   57.4   0.1  13.4  13   0   0  13  13  11  11 -
g7079.t1             -          PF13927_seed         -           1.3e-119  392.3  29.3   5.7e-15   57.0   0.2  10.3  10   0   0  10  10  10  10 -
g7067.t1             -          PF13927_seed         -           2.3e-119  391.5  59.7   1.1e-13   52.8   1.3  12.3  11   1   1  12  12  12  11 -
g22621.t1            -          PF13927_seed         -             1e-104  344.6  20.3   1.8e-17   65.1   0.1   9.3   9   0   0   9   9   8   8 -
g19878.t1            -          PF13927_seed         -             4e-103  339.5  22.4     4e-14   54.3   0.4   8.2   8   0   0   8   8   8   8 -
g29936.t1            -          PF13927_seed         -           2.1e-102  337.2  52.4   1.5e-15   58.9   0.8   9.7   9   0   0   9   9   9   9 -
g351.t1              -          PF13927_seed         -           2.5e-100  330.5  24.3   3.1e-17   64.3   0.1   8.9   9   0   0   9   9   8   8 -
g27496.t1            -          PF13927_seed         -            1.5e-99  328.1  54.5   3.2e-13   51.4   0.4  11.5  11   2   0  11  11  10   8 -
g32102.t1            -          PF13927_seed         -              1e-92  306.2  20.9   2.4e-15   58.2   0.0   7.1   7   0   0   7   7   7   7 -
g7063.t1             -          PF13927_seed         -            2.3e-92  305.0  46.7   5.9e-16   60.2   0.9   9.4   9   0   0   9   9   8   7 -
g29937.t1            -          PF13927_seed         -            9.6e-87  287.0  48.6   5.1e-14   54.0   0.5   9.6   9   1   0   9   9   8   8 -
g19877.t1            -          PF13927_seed         -            1.3e-84  280.1  12.6   1.5e-14   55.7   0.2   7.2   7   0   0   7   7   7   6 -
g10296.t1            -          PF13927_seed         -            5.2e-84  278.2  30.5   2.5e-11   45.4   0.2  12.2  11   1   0  11  11  10  10 -
g37999.t1            -          PF13927_seed         -            6.2e-84  278.0  41.2   2.3e-13   51.9   0.3   9.0   8   0   0   8   8   8   7 -
