#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g20980.t1      -          PF13895_full         -                  0 2829.4   0.0   2.7e-19   70.3   0.1  78.7  10   5  65  79  79  78  76 -
anno1.g441.t1        -          PF13895_full         -           2.3e-278  913.2  76.5   1.5e-14   54.8   4.2  23.1   5   3  18  23  23  23  23 -
anno1.g440.t1        -          PF13895_full         -           6.6e-165  544.0  43.7   1.7e-13   51.4   0.0  16.1   1   1  13  16  16  16  16 -
anno1.g24418.t1      -          PF13895_full         -           6.4e-158  521.3  48.2   8.7e-19   68.6   4.4  12.2   1   1  11  12  12  12  11 -
anno1.g24417.t2      -          PF13895_full         -           2.8e-156  516.0  48.9   3.1e-19   70.1   1.8  10.1   3   2   6  10  10  10  10 -
anno1.g10762.t1      -          PF13895_full         -           3.5e-152  502.6  45.1   3.7e-14   53.5   0.1  14.3   2   1  11  13  13  12  12 -
anno1.g6245.t1       -          PF13895_full         -           1.9e-151  500.2  22.9   3.8e-14   53.5   0.4  12.0   2   1  10  12  12  11  11 -
anno1.g28240.t1      -          PF13895_full         -             3e-131  434.5  99.0   4.7e-20   72.7   0.2  13.2   1   1  12  13  13  13  13 -
anno1.g13841.t1      -          PF13895_full         -           6.9e-100  332.5  28.6   9.6e-15   55.5   0.3   8.9   3   2   6   9   9   8   8 -
anno1.g1509.t2       -          PF13895_full         -            3.9e-95  317.0  18.4   4.5e-14   53.3   0.1   9.6   3   1   6   9   9   9   9 -
anno1.g14595.t1      -          PF13895_full         -            2.9e-90  301.2  67.6   1.1e-14   55.2   0.4   9.8   2   1   7  10  10   9   8 -
anno1.g1646.t1       -          PF13895_full         -            2.1e-85  285.3  48.8     1e-18   68.4   3.6   8.8   2   2   6   8   8   8   8 -
anno1.g19309.t1      -          PF13895_full         -              5e-83  277.6  10.6   2.4e-13   50.9   0.3   7.1   1   1   6   7   7   7   7 -
anno1.g22435.t2      -          PF13895_full         -            9.6e-82  273.4  21.4   2.7e-17   63.7   0.8   7.4   2   2   5   7   7   7   7 -
anno1.g29128.t1      -          PF13895_full         -            5.3e-79  264.5  12.2   2.1e-19   70.6   0.7   6.2   2   1   4   6   6   6   6 -
anno1.g24918.t1      -          PF13895_full         -            3.4e-77  258.6  29.0   8.4e-19   68.7   0.8   8.3   3   2   5   8   8   7   7 -
anno1.g24919.t1      -          PF13895_full         -            4.9e-75  251.6  36.1     1e-14   55.4   1.0   6.4   1   1   5   6   6   6   6 -
anno1.g28242.t1      -          PF13895_full         -            7.6e-74  247.7  33.6   4.4e-16   59.8   0.0   7.3   2   1   6   8   8   7   6 -
anno1.g25722.t1      -          PF13895_full         -            1.1e-73  247.2  11.6   9.3e-14   52.2   0.1   9.0   1   1   6   7   7   7   7 -
anno1.g28491.t1      -          PF13895_full         -            5.3e-73  245.0  48.9   6.8e-12   46.2   0.1   8.3   2   2   6   8   8   8   8 -
anno1.g21096.t1      -          PF13895_full         -            1.5e-67  227.3  50.3   1.2e-12   48.7   2.0   7.6   1   1   6   7   7   7   7 -
anno1.g20497.t1      -          PF13895_full         -            3.8e-67  225.9  46.4   1.9e-16   61.0   2.1   7.6   3   1   5   8   8   6   6 -
anno1.g2206.t1       -          PF13895_full         -            1.6e-66  223.9  10.4   1.2e-12   48.6   0.0   9.9   4   4   5   9   9   9   6 -
anno1.g30729.t1      -          PF13895_full         -            1.7e-66  223.8  36.1     4e-19   69.7   0.6   5.2   1   1   4   5   5   5   5 -
anno1.g18060.t1      -          PF13895_full         -            3.3e-66  222.9  39.6     2e-10   41.4   0.0  14.1  10   5   5  16  16  10  10 -
anno1.g10402.t1      -          PF13895_full         -            1.3e-64  217.7  13.4   5.1e-14   53.1   0.4   6.2   2   2   4   6   6   6   6 -
anno1.g24917.t2      -          PF13895_full         -            1.4e-62  211.1  23.9   1.5e-12   48.3   1.0   7.3   2   1   5   7   7   6   6 -
anno1.g18871.t1      -          PF13895_full         -              7e-60  202.3   0.3   2.5e-14   54.1   0.1   4.3   2   1   2   4   4   4   4 -
anno1.g1563.t1       -          PF13895_full         -            5.2e-58  196.2  47.0   7.4e-15   55.8   0.7   7.1   4   1   4   8   8   5   5 -
anno1.g95.t1         -          PF13895_full         -            1.4e-56  191.5   0.3   1.9e-15   57.7   0.0   4.4   1   1   3   4   4   4   4 -
anno1.g24914.t2      -          PF13895_full         -            2.4e-56  190.8  23.6   5.8e-15   56.2   5.9   6.1   2   2   4   6   6   6   6 -
anno1.g15145.t1      -          PF13895_full         -            6.9e-54  182.8  16.6   2.9e-19   70.1   2.7   5.2   2   2   3   5   5   5   5 -
anno1.g28582.t1      -          PF13895_full         -            6.1e-52  176.5   7.1   1.7e-12   48.2   0.0   4.7   2   2   2   4   4   4   4 -
anno1.g23406.t2      -          PF13895_full         -            7.7e-51  172.9  13.8   5.2e-15   56.3   0.4   4.4   1   1   3   4   4   4   4 -
