#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g23091.t1            -          PF00047_full         -                  0 2370.2   0.0   1.4e-17   65.1   0.0  73.2  17  13  53  73  73  73  71 -
g7845.t1             -          PF00047_full         -                  0 1612.3 225.7   4.8e-13   50.2   0.6  48.1   5   3  39  48  48  48  48 -
g11977.t1            -          PF00047_full         -           1.6e-151  501.6  29.5     2e-14   54.7   0.1  12.1   1   1  11  12  12  12  12 -
g594.t1              -          PF00047_full         -           1.8e-130  432.9  16.0   9.7e-13   49.2   0.0  11.5   1   1  10  11  11  11  11 -
g27950.t2            -          PF00047_full         -           3.5e-107  357.0  38.4   1.1e-14   55.5   0.0  11.9   2   2   9  11  11  11  10 -
g30484.t1            -          PF00047_full         -            3.8e-93  311.3  36.5   2.2e-15   57.8   1.6   8.6   3   2   5   8   8   8   8 -
g23820.t1            -          PF00047_full         -            5.9e-91  304.1  30.7   2.3e-13   51.3   1.2   9.6   2   1   8  10  10   9   9 -
g27950.t1            -          PF00047_full         -              1e-86  290.3  26.0   9.9e-15   55.7   0.0   9.9   2   2   7   9   9   9   8 -
g21922.t1            -          PF00047_full         -            4.7e-83  278.4  34.4   8.8e-12   46.1   0.0  10.7   3   1   7  11  11   9   8 -
g21922.t2            -          PF00047_full         -            5.8e-83  278.1  34.9   8.6e-12   46.2   0.0  10.7   3   1   8  11  11   9   8 -
g10973.t1            -          PF00047_full         -            1.7e-81  273.3  47.2   1.8e-12   48.4   0.2  13.4   5   4   8  13  13  12  11 -
g23802.t1            -          PF00047_full         -            4.9e-81  271.8  40.4   9.2e-18   65.6   2.7   9.5   1   1   7   9   9   9   8 -
g23784.t1            -          PF00047_full         -            7.5e-81  271.2 105.9   3.4e-10   40.9   1.3  16.3   2   1  13  15  15  15  13 -
g23794.t1            -          PF00047_full         -            1.3e-77  260.7  84.5   5.5e-14   53.3   1.2  15.0   3   1  12  15  15  14   9 -
