#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g35352.t2      -          PF13927_seed         -                  0 1994.1   5.6   8.4e-17   62.8   0.0  45.5  45   0   0  45  45  45  45 -
anno1.g1193.t1       -          PF13927_seed         -                  0 1291.1 135.4   2.1e-12   48.6   0.2  37.5  36   1   0  36  36  36  36 -
anno1.g1192.t1       -          PF13927_seed         -                  0 1088.0  80.1   1.5e-15   58.7   0.3  27.3  26   1   0  26  26  26  26 -
anno1.g9713.t1       -          PF13927_seed         -           2.3e-177  577.2  20.0   1.8e-15   58.5   0.0  13.0  12   0   0  12  12  12  12 -
anno1.g15419.t1      -          PF13927_seed         -           8.4e-162  527.4  66.1   3.6e-12   47.9   0.0  24.1  23   1   0  23  23  23  20 -
anno1.g20903.t1      -          PF13927_seed         -             2e-160  523.0  26.0   3.8e-15   57.4   0.1  13.4  13   0   0  13  13  12  11 -
anno1.g7079.t1       -          PF13927_seed         -           1.5e-119  392.0  29.2   5.2e-15   57.0   0.2  10.3  10   0   0  10  10  10  10 -
anno1.g7067.t1       -          PF13927_seed         -           2.1e-119  391.5  59.7     1e-13   52.8   1.3  12.3  11   1   1  12  12  12  11 -
anno1.g22621.t1      -          PF13927_seed         -           9.1e-105  344.6  20.3   1.6e-17   65.1   0.1   9.3   9   0   0   9   9   8   8 -
anno1.g19878.t1      -          PF13927_seed         -           3.6e-103  339.5  22.4   3.6e-14   54.3   0.4   8.2   8   0   0   8   8   8   8 -
anno1.g29936.t1      -          PF13927_seed         -           1.9e-102  337.2  52.4   1.4e-15   58.9   0.8   9.7   9   0   0   9   9   9   9 -
anno1.g351.t1        -          PF13927_seed         -           2.2e-100  330.5  24.3   2.8e-17   64.3   0.1   8.9   9   0   0   9   9   8   8 -
anno1.g27496.t1      -          PF13927_seed         -            1.3e-99  328.1  54.5   2.9e-13   51.4   0.4  11.5  11   2   0  11  11  10   8 -
anno1.g32102.t1      -          PF13927_seed         -            9.1e-93  306.2  20.9   2.2e-15   58.2   0.0   7.1   7   0   0   7   7   7   7 -
anno1.g7063.t1       -          PF13927_seed         -            2.1e-92  305.0  46.7   5.4e-16   60.2   0.9   9.4   9   0   0   9   9   9   7 -
anno1.g29937.t1      -          PF13927_seed         -            8.7e-87  287.0  48.6   4.6e-14   54.0   0.5   9.6   9   1   0   9   9   8   8 -
anno1.g19877.t1      -          PF13927_seed         -            1.2e-84  280.1  12.6   1.4e-14   55.7   0.2   7.2   7   0   0   7   7   7   6 -
anno1.g10296.t1      -          PF13927_seed         -            4.7e-84  278.2  30.5   2.2e-11   45.4   0.2  12.2  11   1   0  11  11  10  10 -
anno1.g37999.t1      -          PF13927_seed         -            5.5e-84  278.0  41.2   2.1e-13   51.9   0.3   9.0   8   0   0   8   8   8   7 -
anno1.g34669.t1      -          PF13927_seed         -            2.1e-81  269.7  44.9   6.4e-18   66.3   0.7   8.0   8   2   0   8   8   6   6 -
anno1.g29940.t2      -          PF13927_seed         -            3.5e-80  265.8  46.8   6.2e-15   56.8   1.8   8.9   9   0   0   9   9   8   8 -
anno1.g33795.t1      -          PF13927_seed         -            4.5e-80  265.5   3.6   8.6e-13   49.9   0.1   9.6   8   0   0   8   8   8   8 -
anno1.g19876.t2      -          PF13927_seed         -            3.2e-79  262.8  22.9   2.1e-14   55.0   1.5   7.0   6   0   0   6   6   6   6 -
anno1.g7437.t1       -          PF13927_seed         -            1.3e-78  260.8  21.6   2.4e-15   58.1   0.1   7.4   7   0   0   7   7   7   6 -
anno1.g35107.t1      -          PF13927_seed         -            1.8e-78  260.4  11.3   8.5e-17   62.7   0.2   6.3   6   0   0   6   6   6   6 -
anno1.g38012.t1      -          PF13927_seed         -            1.3e-76  254.4   5.3     6e-12   47.2   0.0   7.0   6   1   0   6   6   6   6 -
anno1.g26801.t1      -          PF13927_seed         -              1e-74  248.3  23.8   9.4e-15   56.2   0.1   7.2   8   1   0   8   8   5   5 -
anno1.g7061.t1       -          PF13927_seed         -            3.4e-74  246.7  26.0   5.6e-13   50.5   0.1   7.7   7   1   0   7   7   7   6 -
anno1.g14334.t1      -          PF13927_seed         -            4.6e-74  246.2   9.1   4.4e-17   63.7   0.5   6.9   7   0   0   7   7   6   6 -
anno1.g38466.t1      -          PF13927_seed         -              8e-74  245.5   1.9   3.5e-18   67.2   0.0   4.5   4   0   0   4   4   4   4 -
anno1.g22037.t1      -          PF13927_seed         -            3.6e-73  243.4   0.1   6.9e-15   56.6   0.1   6.3   6   0   0   6   6   6   6 -
anno1.g5258.t1       -          PF13927_seed         -            2.5e-72  240.7  14.8   3.6e-14   54.3   0.5   7.0   6   0   0   6   6   6   6 -
anno1.g29939.t1      -          PF13927_seed         -            8.2e-72  239.0  31.9   7.2e-14   53.3   0.2   7.3   7   0   0   7   7   6   6 -
anno1.g6604.t1       -          PF13927_seed         -            1.2e-71  238.5  28.9   1.3e-16   62.2   0.4   7.8   7   0   0   7   7   6   6 -
anno1.g7089.t1       -          PF13927_seed         -            8.7e-71  235.7  19.4     7e-14   53.4   0.2   7.6   6   1   1   7   7   7   5 -
anno1.g7064.t1       -          PF13927_seed         -            1.5e-70  235.0  27.1   3.6e-11   44.7   0.1   9.7  10   0   0  10  10   8   7 -
anno1.g38386.t1      -          PF13927_seed         -            8.2e-68  226.2   9.3   9.8e-18   65.7   0.1   5.7   5   0   0   5   5   5   5 -
anno1.g7065.t1       -          PF13927_seed         -            7.6e-67  223.1  25.4   7.1e-13   50.2   0.3   9.5   9   0   0   9   9   8   7 -
anno1.g32884.t1      -          PF13927_seed         -            6.2e-66  220.2  18.0   8.5e-14   53.1   0.0   7.4   8   0   0   8   8   6   6 -
anno1.g32427.t1      -          PF13927_seed         -              2e-65  218.5   8.5   6.4e-15   56.7   0.1   5.6   5   0   0   5   5   5   5 -
anno1.g37386.t1      -          PF13927_seed         -            2.2e-61  205.6   2.7     8e-17   62.8   0.0   5.5   5   0   0   5   5   5   5 -
anno1.g30588.t1      -          PF13927_seed         -            1.4e-60  203.1  36.4   3.9e-13   51.0   0.4   8.1   7   3   0   7   7   7   6 -
anno1.g19409.t1      -          PF13927_seed         -            7.7e-60  200.7   9.4   1.2e-17   65.4   0.1   5.4   4   1   0   4   4   4   3 -
anno1.g32101.t1      -          PF13927_seed         -            5.7e-59  197.9   9.1   4.3e-16   60.5   0.0   4.2   4   0   0   4   4   4   4 -
anno1.g29722.t1      -          PF13927_seed         -            5.8e-59  197.8  11.2   2.9e-13   51.4   0.1   4.6   4   0   0   4   4   4   4 -
anno1.g42042.t1      -          PF13927_seed         -            6.8e-59  197.6  10.6     5e-14   53.9   0.0   6.8   6   0   0   6   6   5   4 -
