#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g34400.t1            -          PF12799_full         -            3.1e-78  259.7 103.6   8.9e-11   43.2   4.2  13.6   5   4   7  13  13  12  12 -
g43421.t1            -          PF12799_full         -            7.2e-72  239.2  79.5   1.3e-12   49.1   1.6   6.8   1   1   9  10  10  10  10 -
g26563.t1            -          PF12799_full         -            1.9e-69  231.5  98.7   1.1e-10   42.9   6.5  12.5   2   2  11  13  13  13  13 -
g6386.t1             -          PF12799_full         -            1.9e-62  209.0 110.2     2e-10   42.1   5.4  10.2   3   2  10  13  13  12  11 -
g8497.t1             -          PF12799_full         -            5.4e-48  162.6  53.6   1.2e-05   26.7   0.0   9.0   1   1  10  11  11  11  11 -
g17223.t1            -          PF12799_full         -            3.4e-45  153.7  72.1   7.3e-08   33.8   3.6   9.6   2   1   9  11  11   9   9 -
g8935.t1             -          PF12799_full         -            8.7e-44  149.1  62.6   2.6e-09   38.5   8.2   6.1   1   1   5   6   6   6   6 -
g29800.t1            -          PF12799_full         -            1.8e-41  141.7  46.6     1e-07   33.4   3.7   8.3   1   1   7   8   8   8   8 -
g5098.t1             -          PF12799_full         -            1.9e-41  141.6  40.8   1.4e-13   52.2   0.8   5.7   1   1   4   5   5   5   5 -
g49986.t1            -          PF12799_full         -            2.7e-39  134.7  32.5   3.7e-05   25.2   4.6   8.2   1   1   7   8   8   8   7 -
g63117.t1            -          PF12799_full         -            2.8e-39  134.7  55.8     2e-09   38.8   0.6   8.6   1   1   6   7   7   7   7 -
g49986.t3            -          PF12799_full         -            3.4e-38  131.2  29.8   4.7e-05   24.8   5.1   8.2   1   1   7   8   8   8   7 -
g6864.t1             -          PF12799_full         -            8.9e-38  129.8  56.9   7.4e-07   30.6   0.8   8.4   1   1   7   8   8   8   8 -
