#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g737.t1              -          PF13895_full         -                  0 2676.6   0.0   7.7e-16   59.2   0.0  73.7  12   9  55  73  73  73  72 -
g15993.t2            -          PF13895_full         -                  0 1089.5  96.2   5.2e-15   56.5   1.1  29.1   4   3  23  29  29  29  27 -
g15993.t1            -          PF13895_full         -           6.3e-289  947.8  99.1   4.5e-15   56.7   0.2  25.2   3   3  18  25  25  25  23 -
g7723.t1             -          PF13895_full         -           7.3e-203  667.8  57.7   2.5e-18   67.3   1.2  12.3   1   1  10  12  12  12  12 -
g10447.t1            -          PF13895_full         -           2.1e-162  536.1  56.2   1.3e-16   61.7   0.7  13.2   2   2  11  13  13  13  12 -
g15994.t1            -          PF13895_full         -           4.2e-150  496.1  41.3   3.6e-13   50.6   0.1  14.6   2   1   9  14  14  14  13 -
g9116.t1             -          PF13895_full         -             2e-146  484.2  18.7   6.5e-14   53.0   0.1  11.5   1   1  10  11  11  11  11 -
g26710.t1            -          PF13895_full         -           2.2e-145  480.7  31.2   3.7e-15   57.0   0.1  12.1   1   1  11  12  12  12  12 -
g26710.t2            -          PF13895_full         -           1.8e-144  477.7  31.3   2.1e-15   57.8   0.1  12.2   1   1  11  12  12  12  12 -
g10446.t1            -          PF13895_full         -           2.3e-116  386.3  32.6   1.8e-13   51.6   0.1  10.8   1   1   9  10  10  10  10 -
g20821.t1            -          PF13895_full         -            4.2e-98  326.9  38.7   1.3e-14   55.3   0.3  14.3   6   5   8  14  14  14  12 -
g30161.t1            -          PF13895_full         -            2.8e-95  317.7  31.5   4.8e-15   56.6   0.8   9.9   1   1   8   9   9   9   9 -
g31139.t2            -          PF13895_full         -            1.3e-93  312.3  31.9   1.9e-15   58.0   0.9   7.6   1   1   6   7   7   7   7 -
g31139.t1            -          PF13895_full         -            2.2e-93  311.5  31.9   1.8e-15   58.0   1.3   7.6   1   1   6   7   7   7   7 -
g30142.t1            -          PF13895_full         -            5.2e-89  297.3  36.7   1.6e-20   74.5   1.9   8.7   1   1   7   8   8   8   8 -
g23625.t1            -          PF13895_full         -            2.2e-88  295.2  53.3   2.5e-13   51.1   1.4   8.4   1   1   7   8   8   8   8 -
g23625.t2            -          PF13895_full         -            2.7e-88  295.0  53.3   3.4e-13   50.6   0.8   8.4   1   1   7   8   8   8   8 -
g8490.t1             -          PF13895_full         -              1e-84  283.3  47.0   1.7e-15   58.1   2.7   8.8   1   1   7   8   8   8   8 -
g3381.t1             -          PF13895_full         -            4.8e-83  277.9  19.3   1.3e-16   61.8   3.5   7.1   1   1   6   7   7   7   7 -
g31517.t1            -          PF13895_full         -            3.6e-81  271.8  15.4   3.1e-15   57.2   0.1   8.3   2   2   6   8   8   8   7 -
g12420.t1            -          PF13895_full         -            8.2e-80  267.4  51.4   6.7e-17   62.7   3.5   6.0   1   1   5   6   6   6   6 -
g12789.t2            -          PF13895_full         -              3e-75  252.5  42.8   3.6e-13   50.5   1.5   7.5   1   1   6   7   7   7   7 -
g7730.t2             -          PF13895_full         -            8.9e-72  241.2   5.6   1.5e-12   48.5   0.3   8.4   3   3   5   8   8   8   8 -
g3379.t1             -          PF13895_full         -            3.9e-71  239.2   4.5   4.7e-14   53.4   0.2   6.1   1   1   5   6   6   6   6 -
g7730.t1             -          PF13895_full         -            4.4e-71  239.0   4.4   1.5e-12   48.5   0.3   8.6   4   4   4   8   8   8   8 -
g23619.t1            -          PF13895_full         -            8.6e-71  238.0  30.8   4.1e-20   73.1   2.2   6.7   1   1   6   7   7   7   6 -
g20822.t1            -          PF13895_full         -            3.9e-70  235.9  27.0   1.9e-11   45.0   0.1  10.9   3   3   7  10  10  10   8 -
g9052.t1             -          PF13895_full         -            6.2e-69  232.0  30.2   1.5e-14   55.0   2.0   7.6   3   1   4   7   7   6   6 -
g12789.t1            -          PF13895_full         -            1.1e-68  231.2  34.2   1.2e-13   52.1   1.0   6.5   1   1   5   6   6   6   6 -
g8168.t1             -          PF13895_full         -            2.8e-68  229.8  18.9   2.8e-11   44.4   0.0  11.7   4   3   6  10  10  10   9 -
g31133.t1            -          PF13895_full         -            1.1e-67  227.9  23.5   5.8e-14   53.1   0.0   6.5   1   1   5   6   6   6   6 -
g23623.t1            -          PF13895_full         -            2.4e-67  226.8  38.4   3.8e-13   50.5   0.2   6.5   1   1   5   6   6   6   6 -
g31140.t1            -          PF13895_full         -            2.3e-65  220.4  14.4   4.1e-16   60.1   2.1   5.2   1   1   4   5   5   5   4 -
g21826.t1            -          PF13895_full         -            4.7e-65  219.4   1.4   1.5e-15   58.3   0.0   4.6   1   1   3   4   4   4   4 -
g30136.t1            -          PF13895_full         -            1.9e-56  191.4  39.1   3.4e-14   53.9   2.1   5.3   1   1   4   5   5   5   5 -
g7177.t1             -          PF13895_full         -            6.1e-55  186.5   0.0     7e-11   43.1   0.0   6.3   1   1   4   6   6   6   6 -
g8324.t1             -          PF13895_full         -            8.2e-55  186.0   4.6   5.6e-13   49.9   0.0   6.3   2   2   4   6   6   6   5 -
g22410.t1            -          PF13895_full         -            4.3e-54  183.7  10.5   1.7e-16   61.3   1.3   4.3   1   1   3   4   4   4   4 -
g6540.t1             -          PF13895_full         -            6.5e-54  183.1   7.2   5.5e-13   50.0   0.0   6.4   2   1   4   6   6   5   5 -
g8166.t1             -          PF13895_full         -            6.9e-54  183.0   4.1   1.4e-10   42.2   1.2   6.8   2   2   5   7   7   6   6 -
g23623.t2            -          PF13895_full         -            8.4e-54  182.7  40.0   2.2e-13   51.2   0.2   6.5   1   1   5   6   6   6   5 -
g5658.t2             -          PF13895_full         -            1.1e-53  182.3   0.0   5.8e-16   59.6   0.3   5.7   1   1   3   5   5   5   5 -
g22107.t1            -          PF13895_full         -            3.3e-53  180.8  24.6   2.2e-12   48.0   3.2   7.3   3   1   4   7   7   6   5 -
g31137.t1            -          PF13895_full         -            8.1e-53  179.5  15.4   1.8e-15   58.0   0.7   5.5   1   1   4   5   5   5   5 -
g7727.t1             -          PF13895_full         -            1.8e-51  175.1   6.7   3.4e-13   50.6   0.1   6.2   2   2   4   6   6   6   5 -
g8169.t1             -          PF13895_full         -            3.4e-51  174.3  16.8   9.1e-11   42.7   0.0   8.4   2   2   5   7   7   7   7 -
g7724.t1             -          PF13895_full         -            3.6e-51  174.2   2.3   1.2e-12   48.8   0.0   6.4   2   2   4   6   6   6   5 -
g22344.t2            -          PF13895_full         -            4.5e-51  173.9  42.6   6.8e-16   59.4   0.2   6.6   4   1   3   7   7   4   4 -
g25544.t1            -          PF13895_full         -            7.8e-51  173.1   4.6   2.2e-17   64.3   0.0   4.2   2   1   2   4   4   4   4 -
g20033.t1            -          PF13895_full         -            9.8e-51  172.8  19.8   9.3e-13   49.2   0.1   6.4   3   1   3   6   6   5   5 -
g3423.t1             -          PF13895_full         -            1.3e-50  172.4   4.6   1.1e-15   58.8   0.0   4.5   1   1   3   4   4   4   4 -
g22344.t1            -          PF13895_full         -            2.8e-50  171.3  45.1   6.8e-16   59.4   0.2   6.7   5   1   3   8   8   4   4 -
g549.t3              -          PF13895_full         -            3.9e-50  170.8   2.7     3e-14   54.1   0.0   5.2   2   1   3   5   5   4   4 -
g549.t2              -          PF13895_full         -            4.2e-50  170.7   3.4   1.9e-14   54.7   0.0   5.2   2   1   3   5   5   4   4 -
g549.t1              -          PF13895_full         -            4.8e-50  170.5   3.4   1.9e-14   54.7   0.0   5.2   2   1   3   5   5   4   4 -
g7319.t2             -          PF13895_full         -            3.3e-49  167.8   8.4     4e-13   50.4   0.8   4.0   1   1   3   4   4   4   4 -
g7319.t1             -          PF13895_full         -            4.5e-49  167.4   8.4   4.5e-13   50.2   0.9   4.0   1   1   3   4   4   4   4 -
g7033.t1             -          PF13895_full         -            2.2e-48  165.1   6.2   2.6e-14   54.2   0.2   4.8   1   1   3   4   4   4   4 -
g3420.t1             -          PF13895_full         -            2.2e-47  161.9   0.5     1e-10   42.6   0.0   4.4   1   1   3   4   4   4   4 -
g8167.t1             -          PF13895_full         -            5.6e-47  160.5  14.7   4.1e-08   34.1   0.1   8.4   2   2   5   7   7   7   7 -
g19890.t1            -          PF13895_full         -            4.9e-44  151.0   2.8   3.5e-13   50.6   0.3   6.0   1   1   3   4   4   4   4 -
g8322.t2             -          PF13895_full         -            8.5e-44  150.2   2.1   1.6e-13   51.7   0.0   5.2   2   2   3   5   5   5   4 -
g31135.t1            -          PF13895_full         -            1.9e-43  149.0  17.2     8e-18   65.7   1.0   3.9   2   1   3   5   5   4   3 -
g4739.t1             -          PF13895_full         -            2.1e-43  148.9   7.0   6.8e-14   52.9   0.3   4.4   2   1   2   4   4   4   4 -
g8322.t1             -          PF13895_full         -            2.5e-43  148.7   3.6   1.2e-13   52.1   0.1   5.2   2   2   3   5   5   5   4 -
g20181.t1            -          PF13895_full         -            3.7e-43  148.1   5.3   1.1e-08   36.0   0.0   5.1   1   1   4   5   5   5   5 -
g9902.t1             -          PF13895_full         -            1.6e-42  146.0  21.5   3.3e-10   40.9   4.2   5.5   1   1   4   5   5   5   4 -
g31028.t1            -          PF13895_full         -            2.1e-42  145.7   6.8   2.1e-15   57.8   0.1   3.4   1   1   2   3   3   3   3 -
g22036.t1            -          PF13895_full         -            5.5e-42  144.3   0.7   7.8e-17   62.5   0.9   3.3   1   1   2   3   3   3   3 -
g24451.t2            -          PF13895_full         -            6.7e-42  144.0   1.4   4.1e-14   53.6   1.3   3.8   1   1   2   3   3   3   3 -
g25466.t3            -          PF13895_full         -            5.3e-41  141.1  29.3   2.4e-10   41.3   0.4   5.4   1   1   4   5   5   5   5 -
g24451.t1            -          PF13895_full         -            7.5e-41  140.6   5.5   2.9e-14   54.1   1.3   3.8   2   1   2   4   4   3   3 -
g25466.t2            -          PF13895_full         -            1.1e-40  140.1  29.7   2.1e-10   41.6   0.3   5.4   1   1   4   5   5   5   5 -
g25466.t1            -          PF13895_full         -            1.4e-40  139.8  29.6   2.2e-10   41.5   0.3   5.5   1   1   4   5   5   5   5 -
g20184.t1            -          PF13895_full         -            1.7e-40  139.4   7.8   6.7e-09   36.6   0.0   5.1   1   1   4   5   5   5   5 -
g25466.t4            -          PF13895_full         -            4.8e-40  138.0  27.7   2.8e-10   41.1   0.5   5.4   1   1   4   5   5   5   5 -
g5658.t1             -          PF13895_full         -            7.8e-40  137.3   0.0     5e-16   59.8   0.3   4.8   1   1   2   4   4   4   4 -
g9908.t1             -          PF13895_full         -            1.6e-39  136.3  11.8   2.2e-15   57.7   0.1   5.2   1   1   4   5   5   5   4 -
g11139.t1            -          PF13895_full         -            1.6e-39  136.3   9.0   1.5e-07   32.3   0.6   6.1   1   1   4   6   6   6   5 -
g31025.t1            -          PF13895_full         -            1.7e-39  136.2   6.9   1.9e-15   58.0   0.1   3.4   1   1   2   3   3   3   3 -
g13388.t1            -          PF13895_full         -            2.5e-39  135.7  15.1   1.4e-15   58.4   0.7   3.7   2   1   2   4   4   3   3 -
g18488.t1            -          PF13895_full         -            2.6e-39  135.6   6.7   3.3e-14   53.9   0.1   3.2   1   1   2   3   3   3   3 -
g30147.t1            -          PF13895_full         -            8.8e-39  133.9  14.0   3.4e-12   47.4   0.6   4.5   1   1   3   4   4   4   4 -
g9898.t1             -          PF13895_full         -            1.6e-38  133.1  11.4     4e-15   56.9   0.0   5.3   1   1   4   5   5   5   4 -
g23626.t1            -          PF13895_full         -            2.6e-37  129.1  20.1   2.3e-10   41.4   1.5   5.7   2   1   4   6   6   5   4 -
g23624.t1            -          PF13895_full         -            6.7e-37  127.7  28.2   1.3e-10   42.2   1.3   5.0   2   1   3   5   5   4   4 -
g9905.t1             -          PF13895_full         -            6.9e-37  127.7   5.0   4.9e-12   46.8   0.0   4.1   1   1   3   4   4   4   4 -
g29742.t1            -          PF13895_full         -            1.3e-36  126.8   0.0   3.6e-20   73.3   0.0   2.4   1   1   1   2   2   2   2 -
g6129.t1             -          PF13895_full         -            3.1e-36  125.6   7.4   6.6e-16   59.4   0.9   3.6   1   1   2   3   3   3   3 -
g20821.t2            -          PF13895_full         -              9e-36  124.1   4.6   7.3e-14   52.8   0.0   4.2   3   1   1   4   4   4   4 -
g30300.t1            -          PF13895_full         -            1.4e-35  123.5   4.9   5.7e-15   56.4   1.9   4.2   1   1   3   4   4   3   3 -
g24587.t1            -          PF13895_full         -            1.7e-35  123.2  26.7   1.9e-13   51.4   0.2   5.6   2   1   3   6   6   4   4 -
g15643.t1            -          PF13895_full         -            3.2e-35  122.3   7.8   2.1e-18   67.6   0.2   3.3   2   1   1   3   3   3   3 -
g7728.t1             -          PF13895_full         -            4.9e-35  121.7   5.1   1.5e-12   48.5   0.1   4.3   3   1   1   4   4   4   4 -
g15645.t1            -          PF13895_full         -            6.7e-35  121.2  15.2   8.2e-21   75.4   0.5   3.6   2   1   2   4   4   3   3 -
g27451.t2            -          PF13895_full         -            1.2e-34  120.5  12.1   9.7e-18   65.4   0.4   3.6   2   1   1   4   4   3   3 -
g7564.t1             -          PF13895_full         -            1.4e-34  120.2   1.9   9.8e-15   55.6   0.0   3.9   2   1   1   3   3   3   3 -
g8175.t1             -          PF13895_full         -            1.6e-34  120.0   0.0   2.3e-11   44.7   0.0   6.3   2   2   4   6   6   6   5 -
g7755.t1             -          PF13895_full         -            2.4e-34  119.4   7.0   2.2e-09   38.2   0.2   4.9   2   1   3   5   5   4   4 -
g15646.t1            -          PF13895_full         -            2.5e-34  119.4  14.8   4.6e-21   76.2   1.4   3.6   2   1   2   4   4   3   3 -
g6079.t1             -          PF13895_full         -            4.2e-34  118.7   0.4   6.4e-16   59.5   0.2   2.2   2   0   0   2   2   2   2 -
g12296.t1            -          PF13895_full         -            7.4e-34  117.9   7.1   1.7e-12   48.3   0.0   4.3   1   1   3   4   4   4   3 -
g385.t1              -          PF13895_full         -            1.1e-33  117.3   3.8   2.5e-11   44.5   0.0   3.8   2   1   2   4   4   3   3 -
g9900.t1             -          PF13895_full         -            1.3e-33  117.1  15.9   7.8e-12   46.2   0.0   4.2   1   1   3   4   4   4   4 -
g9900.t2             -          PF13895_full         -            1.3e-33  117.0  15.9   7.9e-12   46.2   0.0   4.2   1   1   3   4   4   4   4 -
g23974.t1            -          PF13895_full         -            1.4e-33  116.9   0.2   1.3e-11   45.5   0.0   3.3   1   1   2   3   3   3   3 -
g30136.t2            -          PF13895_full         -            1.6e-33  116.8  19.9     2e-12   48.1   1.9   3.4   1   1   2   3   3   3   3 -
g20649.t2            -          PF13895_full         -              2e-33  116.4   0.0   2.4e-11   44.6   0.0   4.1   2   1   2   4   4   4   4 -
g20210.t1            -          PF13895_full         -            3.6e-33  115.6   0.7   4.3e-12   47.0   0.1   3.2   1   1   2   3   3   3   3 -
g8201.t1             -          PF13895_full         -            5.4e-33  115.0   0.9   1.4e-13   51.9   0.0   3.3   1   1   2   3   3   3   3 -
g15563.t1            -          PF13895_full         -            9.1e-33  114.3   3.1   5.2e-14   53.3   0.4   3.5   1   1   1   3   3   3   3 -
g7547.t2             -          PF13895_full         -            1.6e-32  113.5  22.9   3.8e-09   37.5   2.7   5.9   2   1   4   6   6   6   3 -
g15642.t1            -          PF13895_full         -            2.5e-32  112.9  10.3   3.7e-18   66.8   1.1   3.3   2   1   1   3   3   3   3 -
g23973.t1            -          PF13895_full         -            2.9e-32  112.6   5.0   1.3e-15   58.5   2.6   3.9   3   1   1   4   4   3   3 -
g23632.t1            -          PF13895_full         -            3.6e-32  112.4  23.9   2.8e-12   47.7   2.0   4.7   2   1   3   5   5   4   3 -
g8812.t2             -          PF13895_full         -            6.2e-32  111.6   5.2   4.7e-14   53.4   0.0   3.6   1   1   2   3   3   3   2 -
g8812.t1             -          PF13895_full         -            8.7e-32  111.1   5.3   4.8e-14   53.4   0.0   3.6   1   1   2   3   3   3   2 -
g6143.t1             -          PF13895_full         -            1.1e-31  110.8   2.3   1.7e-12   48.4   0.1   4.0   2   2   1   3   3   3   3 -
g371.t2              -          PF13895_full         -            1.6e-31  110.3   0.5   2.8e-12   47.6   0.0   3.3   1   1   2   3   3   3   3 -
g371.t1              -          PF13895_full         -            1.8e-31  110.1   0.5   2.9e-12   47.6   0.0   3.3   1   1   2   3   3   3   3 -
g23972.t3            -          PF13895_full         -            1.9e-31  110.0   5.1   3.1e-14   54.0   2.2   3.8   2   1   2   4   4   3   3 -
g369.t1              -          PF13895_full         -            2.8e-31  109.5   0.6   3.7e-11   44.0   0.0   3.4   1   1   2   3   3   3   3 -
g14455.t1            -          PF13895_full         -            5.3e-31  108.6  11.9   1.6e-13   51.7   3.5   3.4   1   1   2   3   3   3   3 -
g23382.t1            -          PF13895_full         -              6e-31  108.4   0.1   9.5e-11   42.7   0.0   3.4   1   1   2   3   3   3   3 -
g9899.t1             -          PF13895_full         -            6.3e-31  108.3  16.0   8.8e-11   42.8   0.0   4.2   1   1   2   4   4   4   4 -
g31699.t1            -          PF13895_full         -              9e-31  107.8   2.0   7.3e-19   69.1   0.3   2.9   1   1   1   2   2   2   2 -
g8170.t1             -          PF13895_full         -            9.9e-31  107.7   0.1   3.2e-06   27.9   0.0   5.1   3   2   2   5   5   5   5 -
g6721.t1             -          PF13895_full         -            4.3e-30  105.6  24.4   3.5e-12   47.3   0.6   5.8   3   2   2   5   5   5   4 -
g7147.t3             -          PF13895_full         -            5.4e-30  105.3   2.8   1.3e-12   48.8   0.1   3.6   2   1   1   3   3   3   3 -
g23972.t2            -          PF13895_full         -            8.3e-30  104.7  11.0   3.7e-14   53.8   2.2   4.4   3   1   2   5   5   3   3 -
g29741.t1            -          PF13895_full         -            9.8e-30  104.4   0.9   1.4e-16   61.7   0.2   2.2   1   1   1   2   2   2   2 -
g7725.t1             -          PF13895_full         -              1e-29  104.4   9.8   1.7e-12   48.3   0.0   5.2   2   2   3   5   5   5   3 -
g7725.t2             -          PF13895_full         -              1e-29  104.4   9.5   7.3e-13   49.5   0.1   5.2   2   2   2   4   4   4   3 -
g23967.t1            -          PF13895_full         -            1.2e-29  104.1   7.0     2e-13   51.4   1.5   4.2   2   1   2   4   4   3   3 -
g7147.t2             -          PF13895_full         -            1.3e-29  104.1   3.4   1.3e-12   48.7   0.1   3.5   1   1   2   3   3   3   3 -
g4157.t1             -          PF13895_full         -            1.3e-29  104.0   9.2   1.6e-10   41.9   1.3   4.8   2   1   2   4   4   4   3 -
g15645.t2            -          PF13895_full         -              2e-29  103.4  11.2   2.2e-21   77.3   0.6   2.7   2   1   1   3   3   2   2 -
g31031.t1            -          PF13895_full         -            2.2e-29  103.3   2.7   6.4e-17   62.8   0.2   3.3   1   1   2   3   3   3   3 -
g28462.t1            -          PF13895_full         -            3.1e-29  102.8  10.5   5.1e-12   46.8   0.2   3.4   1   1   2   3   3   3   3 -
g27451.t1            -          PF13895_full         -            3.1e-29  102.8   5.6   1.2e-18   68.3   0.1   2.7   2   1   1   3   3   2   2 -
g1547.t1             -          PF13895_full         -            4.3e-29  102.4   0.0   2.2e-13   51.2   0.0   3.0   1   1   1   2   2   2   2 -
g22424.t1            -          PF13895_full         -            6.2e-29  101.8   0.4   1.9e-15   57.9   0.1   3.0   1   1   1   2   2   2   2 -
g373.t1              -          PF13895_full         -            6.2e-29  101.8   1.7   1.2e-11   45.6   0.2   3.3   1   1   2   3   3   3   3 -
g30139.t1            -          PF13895_full         -            8.9e-29  101.3  25.7   4.2e-10   40.6   5.2   3.5   1   1   2   3   3   3   3 -
g15643.t2            -          PF13895_full         -            1.1e-28  101.0   1.8   9.7e-19   68.7   0.1   2.4   2   0   0   2   2   2   2 -
g22439.t1            -          PF13895_full         -            1.3e-28  100.8   4.5   2.1e-09   38.3   0.1   5.0   4   1   1   5   5   4   3 -
g12776.t1            -          PF13895_full         -            1.3e-28  100.8   9.2   4.5e-15   56.7   0.1   3.3   2   1   1   3   3   3   2 -
g367.t2              -          PF13895_full         -            3.3e-28   99.5   2.0   6.3e-11   43.2   0.2   3.3   1   1   2   3   3   3   3 -
g18544.t1            -          PF13895_full         -            8.1e-28   98.2   7.3   1.5e-12   48.6   0.9   4.1   2   1   0   4   4   4   2 -
g15646.t2            -          PF13895_full         -              1e-27   97.9   9.7   3.8e-21   76.5   1.4   2.6   2   1   1   3   3   2   2 -
