#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g39399.t2            -          PF13306_full         -            7.3e-58  198.2   5.2   4.2e-16   60.6   0.7   4.1   1   1   3   4   4   4   4 -
g42582.t1            -          PF13306_full         -            4.8e-54  185.6  34.1   1.5e-13   52.2   3.5   8.4   2   1   5   8   8   8   8 -
g39399.t1            -          PF13306_full         -              5e-45  155.9   2.3   1.2e-14   55.8   2.4   3.4   1   1   2   3   3   3   3 -
g18887.t1            -          PF13306_full         -            2.3e-44  153.7 107.4   0.00013   22.8   3.7  14.9   2   2  13  16  16  16  16 -
g11219.t1            -          PF13306_full         -            6.3e-37  129.2  34.0   2.8e-17   64.5   7.4   3.8   2   1   2   4   4   4   3 -
g11219.t2            -          PF13306_full         -            2.4e-36  127.3  22.2   2.4e-17   64.7   7.5   3.2   1   1   2   3   3   3   3 -
g23047.t1            -          PF13306_full         -            7.1e-29  102.7  37.4   1.5e-13   52.2   2.0   4.8   3   2   1   4   4   3   3 -
g35771.t1            -          PF13306_full         -            8.4e-29  102.5  60.0   1.5e-06   29.2   1.3   9.3   1   1   9  11  11  11  11 -
g32871.t3            -          PF13306_full         -              2e-26   94.6  19.7   1.9e-22   81.5   5.8   2.8   2   1   1   3   3   2   2 -
g43955.t1            -          PF13306_full         -            3.2e-26   94.0   1.7     6e-12   46.9   0.0   2.3   1   1   1   2   2   2   2 -
g32871.t2            -          PF13306_full         -            3.4e-26   93.9  16.6   1.9e-22   81.5   5.5   2.8   2   1   1   3   3   2   2 -
g32871.t1            -          PF13306_full         -            4.4e-26   93.5  21.3     4e-22   80.5   7.5   2.8   2   1   1   3   3   2   2 -
g40802.t1            -          PF13306_full         -            6.1e-24   86.4   3.2   9.1e-14   52.9   0.1   2.3   1   1   1   2   2   2   2 -
g5266.t1             -          PF13306_full         -            1.3e-22   82.0  20.8   7.2e-20   73.0  13.6   3.2   2   1   1   3   3   2   2 -
g33583.t1            -          PF13306_full         -            1.6e-22   81.8   0.2   2.4e-22   81.2   0.2   1.1   1   0   0   1   1   1   1 -
g9226.t1             -          PF13306_full         -            3.4e-22   80.7   4.9   3.4e-22   80.7   4.9   2.5   2   1   0   2   2   1   1 -
g8749.t1             -          PF13306_full         -            3.1e-21   77.5   1.6   5.2e-14   53.7   1.4   2.2   1   1   1   2   2   2   2 -
g11699.t1            -          PF13306_full         -            4.1e-21   77.1  27.3   8.2e-12   46.5   5.7   3.3   2   1   1   3   3   3   2 -
g48500.t1            -          PF13306_full         -              2e-20   74.8   3.1   2.2e-20   74.7   3.1   1.1   1   0   0   1   1   1   1 -
g8767.t1             -          PF13306_full         -            1.6e-19   71.9   4.3   7.9e-12   46.5   0.8   2.2   1   1   1   2   2   2   2 -
g18891.t1            -          PF13306_full         -            1.2e-17   65.7  40.0   3.2e-08   34.6   3.3   5.8   1   1   3   5   5   5   5 -
g35768.t1            -          PF13306_full         -            1.7e-17   65.2  18.8   3.1e-07   31.4   1.0   4.1   1   1   3   4   4   4   4 -
g30318.t1            -          PF13306_full         -            2.1e-15   58.3   3.8   3.2e-15   57.7   3.8   1.2   1   0   0   1   1   1   1 -
g2336.t1             -          PF13306_full         -            1.9e-14   55.1   0.6   2.2e-14   55.0   0.6   1.0   1   0   0   1   1   1   1 -
g5260.t1             -          PF13306_full         -            3.1e-14   54.4  14.5   2.5e-11   44.9  14.5   2.3   1   1   0   1   1   1   1 -
g48382.t1            -          PF13306_full         -            6.4e-14   53.4  39.5    0.0099   16.6   2.1   8.2   1   1   8   9   9   9   9 -
g30701.t1            -          PF13306_full         -            3.1e-12   47.9   1.2   3.4e-12   47.7   1.2   1.0   1   0   0   1   1   1   1 -
g19557.t2            -          PF13306_full         -              1e-11   46.2  10.1   1.9e-11   45.3  10.1   1.4   1   0   0   1   1   1   1 -
g31626.t1            -          PF13306_full         -              1e-11   46.1   0.1   1.8e-11   45.4   0.1   1.3   1   0   0   1   1   1   1 -
g19557.t1            -          PF13306_full         -              3e-11   44.6   9.9   6.3e-11   43.6   9.9   1.4   1   0   0   1   1   1   1 -
g17183.t1            -          PF13306_full         -            5.3e-11   43.8   8.3   9.3e-11   43.0   8.3   1.3   1   0   0   1   1   1   1 -
g25005.t1            -          PF13306_full         -            5.8e-11   43.7  36.0     0.053   14.2   1.2   5.9   1   1   4   6   6   6   6 -
g9119.t1             -          PF13306_full         -            1.9e-10   41.9  38.4     0.015   16.0   1.5   6.2   1   1   6   8   8   8   7 -
g5601.t1             -          PF13306_full         -              3e-10   41.3  43.9   0.00038   21.2  13.8   3.9   1   1   3   4   4   4   3 -
g14029.t1            -          PF13306_full         -            3.4e-10   41.2   1.0   5.4e-10   40.5   1.0   1.3   1   0   0   1   1   1   1 -
g43356.t1            -          PF13306_full         -            3.7e-10   41.0  16.7    0.0015   19.3   0.3   4.3   1   1   3   5   5   5   4 -
g5602.t1             -          PF13306_full         -            4.9e-10   40.6  43.3   0.00035   21.3  13.2   3.9   1   1   1   3   3   3   2 -
g19463.t1            -          PF13306_full         -            6.9e-10   40.1   5.9   6.9e-10   40.1   5.9   2.2   2   0   0   2   2   2   1 -
g3249.t1             -          PF13306_full         -            9.4e-10   39.7   4.6   5.8e-09   37.1   4.6   2.1   1   1   0   1   1   1   1 -
g39013.t1            -          PF13306_full         -              2e-09   38.6   8.4   2.9e-06   28.2   1.4   2.4   1   1   1   2   2   2   2 -
g2167.t1             -          PF13306_full         -            4.3e-09   37.5   0.1   6.5e-09   36.9   0.1   1.2   1   0   0   1   1   1   1 -
g9116.t1             -          PF13306_full         -            4.9e-09   37.3  31.6     0.032   14.9   4.1   5.4   1   1   4   5   5   5   5 -
g35770.t1            -          PF13306_full         -            6.1e-09   37.0  24.0    0.0089   16.7   0.6   4.8   1   1   4   5   5   5   5 -
g42689.t1            -          PF13306_full         -            7.5e-08   33.4   1.8     9e-08   33.2   1.8   1.1   1   0   0   1   1   1   1 -
g26968.t1            -          PF13306_full         -            8.8e-08   33.2  10.6   0.00011   23.0   3.2   3.7   1   1   1   3   3   3   2 -
g9115.t1             -          PF13306_full         -            2.4e-07   31.8  13.7    0.0063   17.2   1.8   3.0   1   1   2   3   3   3   3 -
g15056.t1            -          PF13306_full         -            2.5e-07   31.7   1.1   5.1e-07   30.7   1.1   1.4   1   0   0   1   1   1   1 -
g43165.t1            -          PF13306_full         -              3e-07   31.5  63.9     0.053   14.1   9.8   5.5   1   1   3   4   4   4   4 -
g35773.t1            -          PF13306_full         -            4.7e-07   30.8   2.5    0.0091   16.7   0.3   2.2   1   1   0   2   2   2   2 -
g730.t1              -          PF13306_full         -              5e-07   30.7   5.9    0.0017   19.1   0.2   3.5   1   1   1   3   3   3   1 -
g12103.t2            -          PF13306_full         -            8.7e-07   29.9  57.0       1.2    9.7  49.0   4.3   1   1   1   2   2   2   2 -
g14909.t1            -          PF13306_full         -            9.9e-07   29.7   6.5   1.2e-06   29.4   6.1   1.3   1   1   0   1   1   1   1 -
g12103.t1            -          PF13306_full         -            1.1e-06   29.6  65.4   0.00027   21.7  17.5   5.4   1   1   2   4   4   4   3 -
g4816.t1             -          PF13306_full         -            1.5e-06   29.2  10.7    0.0013   19.4  10.7   2.1   1   1   1   2   2   2   2 -
g7490.t1             -          PF13306_full         -              3e-06   28.1  10.1    0.0029   18.3   1.4   2.9   1   1   2   3   3   3   3 -
g4179.t1             -          PF13306_full         -            6.9e-06   27.0  13.5     0.047   14.3   0.2   3.5   4   0   0   4   4   3   3 -
g9529.t1             -          PF13306_full         -            2.4e-05   25.2  20.8     0.061   13.9   1.0   3.3   1   1   1   3   3   3   3 -
g5598.t1             -          PF13306_full         -            8.1e-05   23.4  37.0       0.1   13.2   4.9   3.5   1   1   2   3   3   3   3 -
g9121.t1             -          PF13306_full         -            0.00011   23.0   8.4     0.013   16.2   2.0   2.1   1   1   0   2   2   2   2 -
g33891.t1            -          PF13306_full         -            0.00015   22.5   5.8   0.00015   22.5   5.8   2.2   1   1   2   3   3   3   1 -
g44315.t1            -          PF13306_full         -            0.00028   21.7  44.6     0.084   13.5   4.4   4.1   1   1   0   3   3   3   3 -
g35060.t1            -          PF13306_full         -            0.00037   21.2 247.8     0.019   15.6  23.9  14.4   1   1   5   7   7   4   3 -
g9120.t1             -          PF13306_full         -            0.00041   21.1   7.6    0.0044   17.7   3.1   2.3   1   1   1   2   2   2   2 -
g35769.t1            -          PF13306_full         -            0.00053   20.7   0.4    0.0006   20.6   0.4   1.0   1   0   0   1   1   1   1 -
g18906.t1            -          PF13306_full         -             0.0006   20.5  50.4     0.012   16.3  46.7   3.2   1   1   1   2   2   2   1 -
