#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g20980.t1      -          PF00047_full         -                  0 2587.1   0.0   1.6e-14   54.9   0.0  78.5  17  13  55  78  78  78  75 -
anno1.g441.t1        -          PF00047_full         -           8.8e-244  802.0  87.2   4.9e-16   59.8   6.2  23.1   5   4  16  23  23  23  23 -
anno1.g10762.t1      -          PF00047_full         -           1.3e-149  495.1  31.8   3.8e-15   56.9   0.1  13.5   1   1  11  12  12  12  12 -
anno1.g440.t1        -          PF00047_full         -           7.7e-147  486.1  59.1   2.1e-13   51.2   0.1  16.1   1   1  13  16  16  16  16 -
anno1.g6245.t1       -          PF00047_full         -           5.1e-136  450.8  19.0   1.6e-15   58.1   0.0  12.4   2   1  10  12  12  11  11 -
anno1.g28240.t1      -          PF00047_full         -             3e-107  357.1  86.8   1.2e-13   52.0   0.3  13.1   1   1  12  13  13  13  13 -
anno1.g13841.t1      -          PF00047_full         -           2.9e-102  340.8  26.8   5.8e-15   56.3   0.1   9.4   6   3   4  10  10   8   8 -
anno1.g24417.t2      -          PF00047_full         -            1.4e-97  325.6  49.2   3.6e-12   47.2   0.4  11.6   2   2   9  11  11  11  10 -
anno1.g24418.t1      -          PF00047_full         -              2e-93  312.0  46.4   4.6e-12   46.8   0.0  12.1   1   1  10  11  11  11  11 -
anno1.g14595.t1      -          PF00047_full         -            7.7e-90  300.3  51.2   5.8e-12   46.5   2.4   9.6   2   2   7   9   9   9   9 -
anno1.g1509.t2       -          PF00047_full         -            6.3e-89  297.3  24.9   2.9e-16   60.5   0.2   9.6   3   1   5   9   9   9   8 -
anno1.g1646.t1       -          PF00047_full         -            4.5e-88  294.6  36.3   1.3e-15   58.4   0.4   8.5   2   2   6   8   8   8   8 -
anno1.g19309.t1      -          PF00047_full         -            4.8e-85  284.7   8.4   5.7e-13   49.8   0.4   7.2   1   1   6   7   7   7   7 -
anno1.g18060.t1      -          PF00047_full         -            1.7e-83  279.6  26.8   8.8e-12   45.9   0.0  12.8   7   3   6  13  13  10  10 -
anno1.g25722.t1      -          PF00047_full         -            6.8e-79  264.6   7.4   3.3e-11   44.1   0.1   7.5   1   1   6   7   7   7   7 -
anno1.g29128.t1      -          PF00047_full         -            1.7e-78  263.4  13.6   2.1e-14   54.5   0.1   6.1   1   1   5   6   6   6   6 -
anno1.g2206.t1       -          PF00047_full         -            8.6e-73  244.7  12.9   1.8e-12   48.1   0.0  10.5   3   3   8  11  11  10   8 -
anno1.g10402.t1      -          PF00047_full         -            2.3e-69  233.6  14.1   9.2e-15   55.6   0.2   6.2   3   2   3   6   6   6   6 -
anno1.g24919.t1      -          PF00047_full         -            1.3e-63  214.8  37.7   3.8e-14   53.6   1.1   6.6   2   1   5   7   7   6   6 -
anno1.g1563.t1       -          PF00047_full         -              2e-63  214.3  19.5   1.6e-13   51.6   2.8   6.2   1   1   4   5   5   5   5 -
anno1.g22435.t2      -          PF00047_full         -            5.1e-63  212.9  17.5   8.6e-12   46.0   0.0   8.2   2   2   6   8   8   8   7 -
anno1.g28242.t1      -          PF00047_full         -            4.6e-60  203.3  25.9   2.2e-14   54.4   0.1   7.2   1   1   6   7   7   7   6 -
anno1.g18871.t1      -          PF00047_full         -            6.4e-56  189.8   0.0   9.4e-14   52.4   0.0   4.3   1   1   3   4   4   4   4 -
anno1.g20497.t1      -          PF00047_full         -            1.4e-55  188.6  40.4   1.3e-15   58.4   0.5   7.0   2   1   4   7   7   6   6 -
