#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g6281.t1             -          PF14580_full         -           2.1e-149  497.2 105.3   6.8e-31  108.5   5.2   9.9   2   2   8  10  10  10  10 -
g6427.t1             -          PF14580_full         -            1.3e-74  251.9  52.0   1.7e-34  120.3   6.7   4.1   1   1   3   4   4   4   4 -
g25398.t2            -          PF14580_full         -            1.7e-68  231.8  35.4   1.1e-33  117.7   4.2   4.5   2   2   3   5   5   5   4 -
g25398.t1            -          PF14580_full         -            1.8e-68  231.8  35.4   1.1e-33  117.7   4.2   4.5   2   2   3   5   5   5   4 -
g18149.t1            -          PF14580_full         -            2.1e-59  202.0 106.6   8.9e-14   52.4   5.3   7.9   3   3   4   7   7   7   7 -
g23661.t1            -          PF14580_full         -            7.9e-58  196.9   4.3   1.1e-57  196.4   4.3   1.2   1   0   0   1   1   1   1 -
g3025.t1             -          PF14580_full         -            4.3e-55  187.9  77.0   1.9e-15   57.9  15.5   6.5   2   2   4   6   6   5   5 -
g4751.t1             -          PF14580_full         -              2e-54  185.7  24.9   1.1e-40  140.6   6.1   3.1   1   1   2   3   3   3   3 -
g22067.t1            -          PF14580_full         -            6.4e-54  184.0  40.1   4.8e-21   76.2   4.6   4.1   1   1   3   4   4   4   4 -
g5936.t3             -          PF14580_full         -            1.1e-50  173.5  26.8     7e-47  161.0  13.0   2.6   2   1   1   3   3   2   2 -
g5936.t1             -          PF14580_full         -            5.5e-50  171.1  24.1   1.2e-46  160.1  13.2   3.0   3   1   1   4   4   2   2 -
g73.t1               -          PF14580_full         -              3e-49  168.7  24.5   6.7e-42  144.6   6.6   2.9   2   1   1   3   3   2   2 -
g8239.t1             -          PF14580_full         -              4e-47  161.7  47.6   8.7e-13   49.2   3.5   5.1   1   1   5   6   6   6   5 -
g12143.t2            -          PF14580_full         -            3.8e-46  158.5  66.0     1e-15   58.7   6.2   6.8   2   2   4   6   6   6   6 -
g4447.t1             -          PF14580_full         -            1.1e-45  157.0  25.0   1.1e-45  157.0  25.0   2.8   2   1   0   2   2   1   1 -
g6131.t1             -          PF14580_full         -            4.1e-43  148.6  18.8     3e-21   76.9   0.7   3.1   2   1   1   3   3   3   3 -
g10132.t2            -          PF14580_full         -            9.5e-43  147.4  40.1   7.6e-15   55.9   7.2   6.0   1   1   4   5   5   5   5 -
g18452.t1            -          PF14580_full         -            1.1e-42  147.1  80.0   1.1e-13   52.1  17.0   9.7   5   3   4   9   9   9   8 -
g12143.t1            -          PF14580_full         -            5.5e-42  144.9  61.6   8.3e-16   59.0   6.1   6.8   2   2   5   7   7   7   7 -
g23325.t1            -          PF14580_full         -            4.2e-41  142.0  35.3   6.6e-38  131.5  14.4   5.7   2   2   2   5   5   2   2 -
g10132.t1            -          PF14580_full         -            2.5e-40  139.5  33.0     8e-15   55.8   7.0   5.9   1   1   4   5   5   5   5 -
g5545.t1             -          PF14580_full         -            5.4e-40  138.4  14.2   4.7e-23   82.8   1.9   3.2   2   1   1   3   3   3   3 -
g5434.t1             -          PF14580_full         -            2.9e-39  136.0   2.9   2.9e-39  136.0   2.9   2.2   1   1   0   2   2   2   1 -
g6782.t1             -          PF14580_full         -            2.8e-37  129.4  25.6   2.8e-37  129.4  25.6   3.0   1   1   1   2   2   1   1 -
g22349.t1            -          PF14580_full         -            6.6e-37  128.2  25.0   5.9e-11   43.1   0.6   5.0   1   1   3   4   4   4   4 -
g19650.t1            -          PF14580_full         -            7.8e-36  124.7  76.1   1.4e-12   48.5  16.1   6.5   1   1   6   7   7   6   6 -
g20136.t1            -          PF14580_full         -            1.5e-35  123.8  61.6   7.4e-15   55.9   0.3   7.6   3   2   4   7   7   5   5 -
g3035.t1             -          PF14580_full         -            2.1e-35  123.3  63.9     5e-12   46.6   8.4   7.3   3   1   5   8   8   6   6 -
g17756.t1            -          PF14580_full         -            3.1e-35  122.8   0.7   3.5e-35  122.6   0.7   1.1   1   0   0   1   1   1   1 -
g19768.t1            -          PF14580_full         -            1.4e-34  120.6  42.0   3.1e-17   63.7   7.3   9.8   2   2   6   8   8   3   3 -
g12292.t1            -          PF14580_full         -              3e-34  119.5   0.3   3.7e-34  119.2   0.3   1.0   1   0   0   1   1   1   1 -
g11185.t1            -          PF14580_full         -            5.7e-33  115.3  53.3   9.7e-11   42.4  17.8   5.6   1   1   5   6   6   6   6 -
g2195.t1             -          PF14580_full         -            6.4e-33  115.2  17.1     6e-26   92.3   3.5   3.2   1   1   2   3   3   3   2 -
g12247.t1            -          PF14580_full         -            9.2e-33  114.7  19.3   8.6e-20   72.1   1.5   2.1   1   1   1   2   2   2   2 -
