#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g737.t1              -          PF13927_seed         -                  0 3139.5  11.2   5.2e-18   66.4   0.1  73.5  73   0   0  73  73  73  73 -
g15993.t2            -          PF13927_seed         -                  0 1096.9  62.8   1.1e-13   52.6   0.1  29.9  29   0   0  29  29  29  27 -
g15993.t1            -          PF13927_seed         -           8.8e-286  924.4  71.7   8.6e-14   52.9   0.1  26.1  25   1   0  25  25  25  23 -
g26710.t1            -          PF13927_seed         -           4.8e-173  563.2  21.0   2.1e-16   61.2   0.1  12.3  12   0   0  12  12  12  12 -
g7723.t1             -          PF13927_seed         -           9.2e-173  562.3  52.7   3.6e-14   54.1   0.6  13.2  12   1   1  13  13  12  12 -
g26710.t2            -          PF13927_seed         -           3.8e-172  560.3  21.0   2.6e-16   61.0   0.1  12.4  12   0   0  12  12  12  12 -
g9116.t1             -          PF13927_seed         -             3e-159  519.0  16.7   3.4e-15   57.4   0.0  11.7  11   0   0  11  11  11  11 -
g10447.t1            -          PF13927_seed         -           2.1e-156  509.8  39.3   2.9e-14   54.4   0.1  14.5  13   2   0  13  13  13  12 -
g15994.t1            -          PF13927_seed         -           1.3e-154  504.2  15.0   7.7e-13   49.8   0.0  14.6  14   0   0  14  14  14  13 -
g20821.t1            -          PF13927_seed         -           2.6e-125  410.2  37.9   2.9e-13   51.2   0.2  17.0  17   0   0  17  17  14  14 -
g10446.t1            -          PF13927_seed         -           2.6e-120  394.2   4.4     5e-13   50.4   0.0  10.5  10   0   0  10  10  10  10 -
g30161.t1            -          PF13927_seed         -           5.7e-115  377.1  15.7     5e-15   56.8   0.2   9.9   9   0   0   9   9   9   9 -
g8490.t1             -          PF13927_seed         -           1.9e-101  333.7  29.0   2.4e-16   61.1   0.2  10.0  11   0   0  11  11   8   8 -
g12420.t1            -          PF13927_seed         -            3.3e-94  310.6  35.6   1.3e-17   65.1   0.8   6.1   6   0   0   6   6   6   6 -
g30142.t1            -          PF13927_seed         -              1e-92  305.8  35.8   1.9e-13   51.8   0.1  10.1  10   0   0  10  10   9   8 -
g3381.t1             -          PF13927_seed         -            4.3e-92  303.8  22.7   1.8e-17   64.6   0.7   7.3   7   0   0   7   7   7   7 -
g3379.t1             -          PF13927_seed         -            3.2e-85  281.7   2.1   5.6e-15   56.7   0.0   6.2   6   0   0   6   6   6   6 -
g7730.t1             -          PF13927_seed         -            6.6e-81  267.9   5.8   8.8e-11   43.2   0.2   9.7   9   0   0   9   9   9   8 -
g31517.t1            -          PF13927_seed         -            1.2e-80  267.1   8.6     2e-13   51.7   0.1   8.7   8   0   0   8   8   8   7 -
g23625.t2            -          PF13927_seed         -            1.9e-80  266.5  32.4   1.8e-13   51.8   0.1   8.8   8   0   0   8   8   8   8 -
g23625.t1            -          PF13927_seed         -            1.9e-80  266.5  32.4   1.8e-13   51.8   0.1   8.8   8   0   0   8   8   8   8 -
g31139.t2            -          PF13927_seed         -            1.2e-79  263.9  23.6   1.9e-13   51.8   0.1   9.2   9   0   0   9   9   8   7 -
g7730.t2             -          PF13927_seed         -            2.1e-79  263.1   5.0   8.2e-11   43.3   0.2   8.7   8   0   0   8   8   8   8 -
g31139.t1            -          PF13927_seed         -            8.9e-79  261.1  25.0   2.1e-13   51.7   0.1   9.2   9   0   0   9   9   7   7 -
g20822.t1            -          PF13927_seed         -            1.6e-77  257.1  30.1   5.6e-12   47.1   0.4  11.7  10   1   0  10  10  10   8 -
g31133.t1            -          PF13927_seed         -            2.4e-76  253.3  22.9   4.5e-13   50.6   0.0   7.5   8   0   0   8   8   6   6 -
g8168.t1             -          PF13927_seed         -            6.5e-74  245.5  30.5   2.4e-12   48.3   0.0  11.7  11   3   0  11  11  10   9 -
g21826.t1            -          PF13927_seed         -            2.8e-73  243.5   0.3   1.5e-17   65.0   0.2   4.6   4   0   0   4   4   4   4 -
g9052.t1             -          PF13927_seed         -            2.9e-70  233.8  24.1   1.1e-14   55.7   0.7   8.2   9   0   0   9   9   6   6 -
g23619.t1            -          PF13927_seed         -            6.5e-69  229.5  23.6   3.3e-13   51.0   0.2   7.3   7   0   0   7   7   7   6 -
g7177.t1             -          PF13927_seed         -            6.6e-68  226.3   1.3   1.2e-13   52.4   0.0   6.7   6   0   0   6   6   6   6 -
g6540.t1             -          PF13927_seed         -            1.4e-67  225.2  10.1   8.4e-13   49.7   0.0   7.3   7   0   0   7   7   6   5 -
g22107.t1            -          PF13927_seed         -            6.9e-66  219.8  19.8   8.7e-14   52.9   0.0   7.4   8   0   0   8   8   6   5 -
g12789.t2            -          PF13927_seed         -            7.2e-65  216.5  26.2   6.1e-14   53.4   0.2   8.5   8   0   0   8   8   7   7 -
g31140.t1            -          PF13927_seed         -            9.6e-65  216.1  14.7   7.6e-15   56.2   0.1   6.1   5   1   0   5   5   5   5 -
g22344.t2            -          PF13927_seed         -            1.5e-64  215.5   3.1   3.1e-15   57.5   0.4   5.2   4   0   0   4   4   4   4 -
g22344.t1            -          PF13927_seed         -            1.8e-64  215.3   3.1   3.3e-15   57.4   0.4   5.2   4   0   0   4   4   4   4 -
g23623.t1            -          PF13927_seed         -            3.4e-61  204.8  22.8   1.7e-13   51.9   0.0   6.8   6   0   0   6   6   6   6 -
g12789.t1            -          PF13927_seed         -            1.3e-60  202.9  21.2   5.6e-14   53.5   0.2   7.5   7   0   0   7   7   6   6 -
g7319.t1             -          PF13927_seed         -            1.7e-59  199.3   1.3   5.3e-16   60.0   0.3   4.1   4   0   0   4   4   4   4 -
g8169.t1             -          PF13927_seed         -            1.7e-59  199.3  20.9   4.9e-13   50.5   0.0   8.0   7   3   0   7   7   7   6 -
g7319.t2             -          PF13927_seed         -            2.7e-59  198.7   2.3   4.7e-16   60.1   0.3   4.1   4   0   0   4   4   4   4 -
g7033.t1             -          PF13927_seed         -            6.9e-59  197.4   1.5   8.7e-15   56.1   0.0   5.2   5   0   0   5   5   4   4 -
g25544.t1            -          PF13927_seed         -            1.2e-58  196.6   0.3   3.5e-16   60.5   0.0   4.5   4   0   0   4   4   4   4 -
g7727.t1             -          PF13927_seed         -            2.5e-58  195.6   4.0   1.2e-10   42.8   0.1   6.7   6   0   0   6   6   6   5 -
g8167.t1             -          PF13927_seed         -            2.9e-56  189.0  18.1   2.6e-11   44.9   0.1   8.0   7   2   0   7   7   7   7 -
g8166.t1             -          PF13927_seed         -            4.3e-56  188.4  10.0   8.6e-12   46.5   0.1   7.5   7   0   0   7   7   7   6 -
g8324.t1             -          PF13927_seed         -            4.9e-56  188.2   1.3   4.2e-11   44.3   0.0   6.7   6   0   0   6   6   6   5 -
g7724.t1             -          PF13927_seed         -            1.1e-55  187.2   0.3   1.8e-10   42.2   0.0   6.7   6   0   0   6   6   6   5 -
g9908.t1             -          PF13927_seed         -            2.4e-55  186.1  13.6   7.2e-17   62.7   0.2   6.2   6   0   0   6   6   5   5 -
g19890.t1            -          PF13927_seed         -            3.2e-54  182.4   2.2   1.9e-14   55.0   0.1   5.8   4   2   0   4   4   4   4 -
g22410.t1            -          PF13927_seed         -            1.3e-53  180.4  11.0   4.1e-16   60.3   0.5   5.4   6   0   0   6   6   4   4 -
g31137.t1            -          PF13927_seed         -            1.4e-53  180.4  17.6   1.2e-14   55.6   0.4   5.8   6   0   0   6   6   5   4 -
g5658.t2             -          PF13927_seed         -            1.7e-53  180.1   0.0   7.7e-13   49.8   0.0   6.2   5   0   0   5   5   5   5 -
g3423.t1             -          PF13927_seed         -            9.3e-53  177.7   5.5   4.1e-14   53.9   0.1   5.1   5   0   0   5   5   4   4 -
g9898.t1             -          PF13927_seed         -            5.1e-51  172.2   6.5   2.5e-14   54.6   0.0   5.9   6   0   0   6   6   5   5 -
g9905.t1             -          PF13927_seed         -            1.1e-50  171.1   7.4   2.2e-16   61.2   0.1   4.1   4   0   0   4   4   4   4 -
g20181.t1            -          PF13927_seed         -            2.2e-50  170.2   2.6   2.4e-08   35.4   0.0   5.3   5   0   0   5   5   5   5 -
g20184.t1            -          PF13927_seed         -            2.9e-49  166.5   3.6   6.2e-09   37.3   0.2   5.3   5   0   0   5   5   5   5 -
g31028.t1            -          PF13927_seed         -            8.9e-49  165.0   5.2   2.2e-15   58.0   0.1   3.9   4   0   0   4   4   3   3 -
g18488.t1            -          PF13927_seed         -            3.7e-48  163.0   3.2   4.6e-17   63.4   0.0   3.5   3   0   0   3   3   3   3 -
g31025.t1            -          PF13927_seed         -            7.2e-48  162.1   3.8   1.5e-15   58.5   0.1   3.6   3   0   0   3   3   3   3 -
g24451.t1            -          PF13927_seed         -            8.6e-48  161.8   0.2   2.7e-14   54.5   0.0   3.7   3   0   0   3   3   3   3 -
g30136.t1            -          PF13927_seed         -            1.2e-47  161.3  22.4   1.7e-14   55.1   0.6   5.6   5   0   0   5   5   5   5 -
g24451.t2            -          PF13927_seed         -            1.4e-47  161.2   0.2   3.1e-14   54.3   0.0   3.7   3   0   0   3   3   3   3 -
g12296.t1            -          PF13927_seed         -            1.4e-47  161.2   7.9   2.9e-15   57.6   0.1   5.4   5   0   0   5   5   4   4 -
g20033.t1            -          PF13927_seed         -            1.7e-47  160.9  21.7   3.3e-14   54.2   0.2   7.4   7   1   0   7   7   6   5 -
g13388.t1            -          PF13927_seed         -            5.3e-47  159.3  10.5   9.4e-17   62.4   0.1   4.3   4   0   0   4   4   3   3 -
g549.t1              -          PF13927_seed         -            6.2e-47  159.1   9.9   2.1e-12   48.4   0.0   6.2   6   0   0   6   6   5   4 -
g3420.t1             -          PF13927_seed         -            6.2e-47  159.1   0.1   1.4e-11   45.7   0.2   4.6   4   0   0   4   4   4   4 -
g549.t3              -          PF13927_seed         -            6.6e-47  159.0   9.9     2e-12   48.5   0.0   6.0   6   0   0   6   6   5   4 -
g549.t2              -          PF13927_seed         -            6.8e-47  159.0   9.9   2.1e-12   48.5   0.0   6.0   6   0   0   6   6   5   4 -
g23623.t2            -          PF13927_seed         -            1.5e-46  157.8  24.5   1.4e-12   49.0   0.5   6.8   6   0   0   6   6   6   5 -
g8322.t2             -          PF13927_seed         -            5.2e-46  156.1   1.9   1.9e-11   45.4   0.0   5.2   5   0   0   5   5   5   4 -
g8322.t1             -          PF13927_seed         -            5.9e-46  155.9   1.9     2e-11   45.3   0.0   5.3   5   0   0   5   5   5   4 -
g22036.t1            -          PF13927_seed         -            1.1e-45  155.1   1.5     2e-16   61.3   0.1   3.7   3   0   0   3   3   3   3 -
g31135.t1            -          PF13927_seed         -            1.2e-45  155.0  10.7   6.6e-15   56.4   0.0   4.7   5   0   0   5   5   4   3 -
g9902.t1             -          PF13927_seed         -            2.2e-45  154.1   8.2   2.6e-10   41.7   0.0   5.8   5   0   0   5   5   5   5 -
g4739.t1             -          PF13927_seed         -            1.2e-44  151.7   3.9   3.9e-12   47.6   0.1   4.6   4   1   0   4   4   4   4 -
g22960.t1            -          PF13927_seed         -            2.6e-43  147.5   0.5   5.3e-11   43.9   0.1   6.3   5   0   0   5   5   5   5 -
g23626.t1            -          PF13927_seed         -            2.7e-43  147.4  10.9   6.9e-12   46.8   0.2   5.7   5   1   0   5   5   5   4 -
g15563.t1            -          PF13927_seed         -            4.3e-43  146.8   1.5   3.4e-15   57.4   0.2   4.1   4   0   0   4   4   3   3 -
g373.t1              -          PF13927_seed         -            5.1e-43  146.5   1.0   4.3e-16   60.2   0.4   3.4   3   0   0   3   3   3   3 -
g385.t1              -          PF13927_seed         -            5.7e-43  146.4   3.7   1.2e-14   55.7   0.0   3.8   4   0   0   4   4   3   3 -
g367.t2              -          PF13927_seed         -            1.3e-42  145.2   0.7   6.9e-16   59.6   0.3   3.4   3   0   0   3   3   3   3 -
g23972.t3            -          PF13927_seed         -            1.9e-42  144.7   0.6   2.4e-15   57.9   0.7   3.6   3   0   0   3   3   3   3 -
g23972.t2            -          PF13927_seed         -            2.6e-42  144.3   0.6   2.9e-15   57.6   0.7   3.9   3   0   0   3   3   3   3 -
g371.t2              -          PF13927_seed         -            5.7e-42  143.2   0.0   3.5e-14   54.1   0.0   3.5   3   0   0   3   3   3   3 -
g7728.t1             -          PF13927_seed         -            6.3e-42  143.0   0.9   1.6e-10   42.4   0.2   4.6   4   0   0   4   4   4   4 -
g371.t1              -          PF13927_seed         -            6.4e-42  143.0   0.0   3.6e-14   54.1   0.0   3.5   3   0   0   3   3   3   3 -
g367.t1              -          PF13927_seed         -            6.6e-42  143.0   1.0   1.3e-15   58.7   0.3   3.8   4   0   0   4   4   3   3 -
g369.t1              -          PF13927_seed         -            2.5e-41  141.1   0.5   9.2e-14   52.8   0.0   4.2   4   0   0   4   4   3   3 -
g23382.t1            -          PF13927_seed         -            2.9e-41  140.9   0.2     4e-14   53.9   0.0   3.4   3   0   0   3   3   3   3 -
g30147.t1            -          PF13927_seed         -              9e-41  139.3   4.8   9.5e-11   43.1   0.0   4.6   4   0   0   4   4   4   4 -
g5658.t1             -          PF13927_seed         -            1.7e-40  138.4   0.0   7.1e-13   49.9   0.0   5.3   4   0   0   4   4   4   4 -
g23973.t1            -          PF13927_seed         -              2e-40  138.2   0.1   2.3e-15   57.9   0.5   3.6   3   0   0   3   3   3   3 -
g8812.t2             -          PF13927_seed         -            2.6e-40  137.9   0.5     3e-14   54.3   0.0   3.9   4   0   0   4   4   3   3 -
g23781.t2            -          PF13927_seed         -            3.9e-40  137.3   6.4   6.8e-17   62.8   0.2   3.1   3   0   0   3   3   3   3 -
g27451.t2            -          PF13927_seed         -            5.5e-40  136.8   8.4   1.7e-15   58.3   0.1   4.0   4   1   0   4   4   3   3 -
g8812.t1             -          PF13927_seed         -            5.9e-40  136.7   1.6   3.3e-14   54.2   0.0   4.0   5   0   0   5   5   3   3 -
g20821.t2            -          PF13927_seed         -            6.5e-40  136.6   1.5   3.6e-12   47.7   0.1   5.2   5   0   0   5   5   5   4 -
g22439.t1            -          PF13927_seed         -            6.7e-40  136.5   0.0   2.9e-11   44.8   0.1   5.9   5   0   0   5   5   5   3 -
g6129.t1             -          PF13927_seed         -              2e-39  135.0   1.1     7e-15   56.4   0.0   4.2   4   1   0   4   4   3   3 -
g23967.t1            -          PF13927_seed         -            2.6e-39  134.7   0.8   8.6e-15   56.1   0.6   3.6   3   0   0   3   3   3   3 -
g23974.t1            -          PF13927_seed         -            3.9e-39  134.1   0.4   1.1e-12   49.3   0.0   3.6   3   0   0   3   3   3   3 -
g3441.t1             -          PF13927_seed         -              9e-39  132.9  23.7   7.4e-05   24.2   0.0  13.0  12   2   0  12  12  11   4 -
g23971.t1            -          PF13927_seed         -            9.4e-39  132.9   0.1   1.9e-12   48.6   0.0   3.8   3   0   0   3   3   3   3 -
g20649.t2            -          PF13927_seed         -            1.1e-38  132.7   0.1   1.5e-12   48.9   0.0   4.2   3   1   0   3   3   3   3 -
g15643.t1            -          PF13927_seed         -              3e-38  131.3   2.6   1.4e-17   65.1   0.1   3.7   3   0   0   3   3   3   3 -
g30300.t1            -          PF13927_seed         -            3.1e-38  131.2   0.0   8.6e-12   46.5   0.0   5.0   4   0   0   4   4   4   3 -
