#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g14331.t1            -          PF12799_full         -            5.8e-75  248.5 104.7   2.1e-08   34.9   6.5  13.8   4   4  10  14  14  13  12 -
g36262.t1            -          PF12799_full         -            9.6e-69  228.6  89.9   9.8e-10   39.2   7.3  11.8   2   2  11  13  13  13  13 -
g17511.t1            -          PF12799_full         -            5.4e-62  206.9  54.7   8.9e-10   39.3   0.2   9.7   1   1  10  11  11  11  11 -
g6659.t1             -          PF12799_full         -            4.5e-60  200.7  73.6   6.9e-10   39.7   1.9  11.2   2   2  11  13  13  13  13 -
g3938.t1             -          PF12799_full         -            5.2e-53  178.1  43.0   1.7e-13   51.3   2.0   6.5   1   1   7   8   8   8   8 -
g31931.t1            -          PF12799_full         -            6.4e-51  171.4  64.4     1e-09   39.2   1.0   8.7   1   1   6   8   8   8   8 -
g6666.t1             -          PF12799_full         -            2.9e-47  159.6  39.8   5.8e-07   30.3   0.4   9.4   1   1   8   9   9   9   8 -
g151.t1              -          PF12799_full         -              3e-44  150.0  87.2   3.6e-05   24.5   1.6  15.7   3   2  10  15  15  13  10 -
g8830.t1             -          PF12799_full         -            3.7e-41  140.0  57.3   6.8e-10   39.7   0.8   8.8   1   1   8   9   9   9   8 -
g4478.t1             -          PF12799_full         -            8.3e-41  138.9  31.5   2.2e-11   44.5   0.1   6.5   1   1   6   7   7   7   7 -
g151.t2              -          PF12799_full         -              2e-40  137.7  86.6   3.8e-05   24.5   1.7  15.7   3   2   9  15  15  13  10 -
g5216.t1             -          PF12799_full         -            2.7e-38  130.8  17.0   1.2e-08   35.7   0.0   7.0   1   1   6   7   7   7   7 -
g42106.t1            -          PF12799_full         -            6.5e-38  129.6  31.4   2.8e-08   34.5   0.2   8.0   1   1   7   8   8   8   6 -
g15442.t1            -          PF12799_full         -            2.8e-33  114.8  53.0   7.2e-07   30.0   2.7   7.6   1   1   6   7   7   7   7 -
g6232.t1             -          PF12799_full         -              1e-32  113.0  42.0   2.9e-07   31.3   3.3   8.3   1   1   7   8   8   8   7 -
g42021.t1            -          PF12799_full         -            2.1e-32  112.0  42.7   6.4e-08   33.4   1.5   5.2   1   1   5   6   6   6   6 -
g6232.t2             -          PF12799_full         -            5.4e-32  110.6  37.3   1.6e-06   28.9   5.0   7.4   1   1   6   7   7   7   7 -
g23015.t1            -          PF12799_full         -            2.9e-30  105.1  35.1     5e-08   33.7   0.0   5.3   1   1   4   5   5   5   4 -
