#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g20566.t1            -          PF13927_full         -                  0 2749.5 401.0   3.4e-20   74.9   0.5  56.1   7   5  48  56  56  56  56 -
g53200.t1            -          PF13927_full         -                  0 2065.8   0.0   1.8e-21   79.1   0.2  40.8   6   4  35  41  41  40  39 -
g53203.t1            -          PF13927_full         -           1.4e-274  905.8   0.0   4.4e-18   68.0   0.2  19.3   3   3  15  19  19  19  19 -
g13035.t1            -          PF13927_full         -           4.5e-243  802.8  95.8   2.8e-26   94.7   1.4  11.0   1   1  10  11  11  11  11 -
g46623.t2            -          PF13927_full         -           2.6e-215  712.1  43.6   3.8e-23   84.5   0.3  12.3   1   1  11  12  12  12  12 -
g46623.t1            -          PF13927_full         -             3e-215  711.9  43.6   3.9e-23   84.5   0.3  12.3   1   1  11  12  12  12  12 -
g77688.t1            -          PF13927_full         -           2.6e-205  679.5  31.5     4e-23   84.5   0.4  11.2   1   1  10  11  11  11  11 -
g63763.t1            -          PF13927_full         -           2.4e-203  673.0  47.1   2.8e-23   85.0   0.2  12.0   2   1  10  12  12  11  11 -
g30722.t1            -          PF13927_full         -           1.2e-162  540.1  58.6   1.3e-17   66.5   0.6  12.3   5   5   6  12  12  12  12 -
g58475.t1            -          PF13927_full         -           3.2e-141  470.2   0.0   4.6e-16   61.4   0.2   9.0   1   1   8   9   9   9   9 -
g30723.t1            -          PF13927_full         -           1.7e-138  461.3  43.7   8.2e-18   67.1   0.7  10.2   5   4   5  10  10  10  10 -
g47589.t1            -          PF13927_full         -           3.2e-137  457.1  50.3   1.2e-25   92.7   4.1   6.0   1   1   5   6   6   6   6 -
g68852.t1            -          PF13927_full         -           1.1e-128  429.3  51.0   9.1e-21   76.8   1.1   8.6   3   2   6   9   9   8   8 -
g63760.t1            -          PF13927_full         -           1.2e-126  422.6  19.7   5.3e-22   80.8   0.2   6.1   1   1   5   6   6   6   6 -
g47316.t1            -          PF13927_full         -           5.6e-115  384.4  78.7     2e-17   65.9   4.0   9.6   1   1   8   9   9   9   9 -
g15818.t1            -          PF13927_full         -           2.2e-108  362.9  43.2   1.1e-18   70.0   1.5  13.7   7   4   8  15  15  12  11 -
g42233.t1            -          PF13927_full         -           5.7e-108  361.6   7.8   2.1e-23   85.4   0.0   7.3   3   3   4   7   7   7   7 -
g22759.t1            -          PF13927_full         -           3.8e-106  355.6  17.9   5.3e-25   90.6   0.8   6.0   1   1   5   6   6   6   6 -
g22759.t2            -          PF13927_full         -           3.8e-106  355.6  17.9   4.7e-25   90.7   0.7   6.0   1   1   5   6   6   6   6 -
g42445.t1            -          PF13927_full         -           3.6e-105  352.4  34.0   3.5e-17   65.1   0.0   8.6   1   1   7   8   8   8   8 -
g12813.t1            -          PF13927_full         -           5.3e-105  351.9  72.8   5.6e-20   74.2   2.8   9.1   3   1   7  10  10   8   8 -
g43296.t1            -          PF13927_full         -           9.7e-105  351.0  28.2   1.8e-18   69.2   0.2   6.3   1   1   5   6   6   6   6 -
g62362.t1            -          PF13927_full         -              1e-98  331.4  18.8     2e-20   75.6   0.2   5.0   1   1   4   5   5   5   5 -
g21770.t1            -          PF13927_full         -            5.4e-97  325.7  34.1   6.9e-25   90.2   1.1   4.0   1   1   3   4   4   4   4 -
g79538.t1            -          PF13927_full         -            5.7e-97  325.6  31.0   1.5e-30  108.7   2.4   5.0   1   1   4   5   5   5   4 -
g21771.t1            -          PF13927_full         -            7.8e-97  325.2  35.3   5.2e-25   90.6   1.4   4.0   1   1   3   4   4   4   4 -
g47864.t1            -          PF13927_full         -            1.3e-96  324.5  14.1   6.9e-24   86.9   0.2   6.2   1   1   5   6   6   6   6 -
g10723.t1            -          PF13927_full         -            1.2e-94  318.0  30.2   6.7e-24   87.0   2.1   6.6   2   1   3   6   6   6   6 -
g51762.t1            -          PF13927_full         -            1.3e-93  314.7   8.8   2.8e-24   88.2   0.1   4.1   1   1   3   4   4   4   4 -
g8984.t1             -          PF13927_full         -            5.5e-93  312.6   6.1     3e-21   78.4   0.0   5.0   1   1   4   5   5   5   5 -
g70262.t1            -          PF13927_full         -            1.1e-92  311.7  41.6   8.6e-20   73.6   0.1   7.6   2   1   5   7   7   5   5 -
g31292.t1            -          PF13927_full         -            1.6e-91  307.8  31.1   5.6e-17   64.4   1.8   6.4   1   1   5   6   6   6   6 -
g38314.t1            -          PF13927_full         -            1.3e-90  304.9  10.7   1.6e-23   85.8   0.1   4.3   1   1   3   4   4   4   4 -
g81442.t1            -          PF13927_full         -            1.7e-90  304.5  13.8   4.6e-20   74.5   1.0   6.0   1   1   5   6   6   6   6 -
g81442.t2            -          PF13927_full         -            4.3e-90  303.2  14.0   4.8e-20   74.4   0.9   6.1   1   1   5   6   6   6   6 -
g22755.t1            -          PF13927_full         -              6e-90  302.7  15.8   4.7e-25   90.8   0.7   5.1   1   1   4   5   5   5   5 -
g77231.t1            -          PF13927_full         -            7.4e-90  302.4  39.6   3.1e-17   65.2   3.9   7.3   1   1   6   7   7   7   7 -
g77230.t2            -          PF13927_full         -            9.8e-89  298.7  46.8   9.8e-17   63.6   0.5   9.6   4   1   6  10  10   7   7 -
g77230.t1            -          PF13927_full         -            1.8e-88  297.9  46.8     1e-16   63.5   0.5   9.6   4   1   6  10  10   7   7 -
g43296.t2            -          PF13927_full         -            1.9e-87  294.5  22.0   1.3e-18   69.7   0.2   5.2   1   1   3   5   5   5   5 -
g13927.t1            -          PF13927_full         -            2.3e-85  287.7  18.3   8.4e-21   76.9   0.4   7.3   2   1   6   8   8   6   6 -
g19604.t1            -          PF13927_full         -            8.8e-85  285.8  44.6   3.2e-22   81.5   1.0   7.7   4   1   4   8   8   6   6 -
g16736.t1            -          PF13927_full         -            4.5e-83  280.3  43.3   4.4e-15   58.2   0.2  10.6   3   1   5   9   9   8   8 -
g10722.t1            -          PF13927_full         -            1.8e-82  278.3  19.1   2.3e-24   88.5   1.2   5.0   2   1   3   5   5   5   5 -
g56918.t1            -          PF13927_full         -            2.7e-82  277.7  29.9   3.5e-23   84.7   0.5   6.8   2   1   4   7   7   6   6 -
g43715.t2            -          PF13927_full         -            8.3e-80  269.6  13.2   5.6e-20   74.2   0.0   5.4   2   1   3   5   5   5   5 -
g43715.t1            -          PF13927_full         -            1.3e-79  269.0  13.4   5.1e-20   74.3   0.1   5.4   2   1   3   5   5   5   5 -
g12610.t1            -          PF13927_full         -            3.5e-78  264.3  22.6   1.1e-20   76.4   0.7   6.3   3   1   3   6   6   5   5 -
g45366.t1            -          PF13927_full         -            1.2e-77  262.5  35.8   1.5e-12   50.0   2.9   9.8   4   4   5   9   9   9   8 -
g7133.t1             -          PF13927_full         -            1.3e-77  262.4  10.3   1.4e-18   69.6   0.1   5.2   2   1   3   5   5   5   5 -
g77201.t1            -          PF13927_full         -            2.6e-76  258.1   9.9   2.8e-22   81.7   0.3   6.2   2   1   3   6   6   6   5 -
g46624.t1            -          PF13927_full         -            4.2e-76  257.5  15.6   2.6e-22   81.8   1.5   4.5   1   1   4   5   5   4   4 -
g77201.t2            -          PF13927_full         -            4.2e-76  257.5  14.4   2.7e-22   81.8   0.3   6.2   2   2   3   6   6   6   5 -
g54951.t1            -          PF13927_full         -            5.5e-76  257.1  33.9   1.1e-21   79.7   0.2   7.3   2   2   5   7   7   6   6 -
g53110.t1            -          PF13927_full         -            5.9e-76  257.0  17.5   5.6e-21   77.5   0.1   5.2   1   1   4   5   5   4   4 -
g31293.t1            -          PF13927_full         -            2.6e-75  254.9   8.0     2e-20   75.7   0.1   6.0   3   3   3   6   6   5   5 -
g47585.t2            -          PF13927_full         -            3.7e-75  254.4  25.5     4e-25   91.0   2.0   3.0   1   1   2   3   3   3   3 -
g47586.t1            -          PF13927_full         -            3.7e-75  254.4  25.5     4e-25   91.0   2.0   3.0   1   1   2   3   3   3   3 -
g47585.t1            -          PF13927_full         -            1.5e-74  252.4  25.4   3.1e-25   91.3   1.8   3.0   1   1   2   3   3   3   3 -
g59525.t1            -          PF13927_full         -            2.2e-72  245.3  48.3     1e-18   70.1   0.7  10.3   2   2   7   9   9   8   4 -
g27447.t1            -          PF13927_full         -            3.1e-71  241.6  26.2   3.4e-19   71.6   2.2   4.6   2   1   3   5   5   4   4 -
g63759.t1            -          PF13927_full         -            3.2e-71  241.5  15.1   3.8e-24   87.8   0.1   4.1   1   1   3   4   4   4   4 -
g8987.t1             -          PF13927_full         -            5.9e-71  240.7   5.1   5.5e-21   77.5   0.0   4.0   1   1   3   4   4   4   4 -
g82681.t1            -          PF13927_full         -            1.9e-69  235.7   4.8   1.7e-22   82.4   0.0   5.1   1   1   4   5   5   5   4 -
g54674.t1            -          PF13927_full         -            2.1e-69  235.6   2.8   1.3e-24   89.4   0.0   3.1   1   1   2   3   3   3   3 -
g78834.t1            -          PF13927_full         -            2.1e-69  235.6   2.8   1.3e-24   89.4   0.0   3.1   1   1   2   3   3   3   3 -
g72669.t1            -          PF13927_full         -            3.8e-69  234.8  51.0   3.2e-16   61.9   1.1   7.5   1   1   6   7   7   7   7 -
g72669.t2            -          PF13927_full         -            1.7e-68  232.6  52.0   3.2e-15   58.7   2.5   7.5   1   1   6   7   7   7   7 -
g23825.t1            -          PF13927_full         -              3e-68  231.8  25.8   4.9e-19   71.1   0.7   5.3   3   1   2   5   5   5   5 -
g50221.t1            -          PF13927_full         -            7.4e-67  227.3   6.8   1.3e-21   79.5   0.6   3.3   1   1   2   3   3   3   3 -
g17019.t1            -          PF13927_full         -            1.3e-64  220.0   6.9   8.4e-19   70.3   0.0   4.2   1   1   2   4   4   4   4 -
g47326.t1            -          PF13927_full         -            3.4e-64  218.6   8.0   4.5e-20   74.5   0.0   3.6   2   1   2   4   4   3   3 -
g47325.t1            -          PF13927_full         -            5.2e-64  218.0   8.0   5.1e-20   74.3   0.0   3.6   2   1   2   4   4   3   3 -
g22682.t1            -          PF13927_full         -            8.3e-64  217.3  21.9   8.8e-22   80.1   0.2   5.4   2   1   3   5   5   4   4 -
g79160.t1            -          PF13927_full         -            1.3e-63  216.7   7.9   9.1e-23   83.3   0.3   3.0   1   1   2   3   3   3   3 -
g11570.t1            -          PF13927_full         -            1.5e-63  216.4   2.6   3.4e-19   71.6   0.0   4.1   1   1   3   4   4   4   4 -
