#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g43578.t1            -          PF13927_seed         -                  0 3558.3  49.8   1.1e-15   59.3   0.1  80.8  81   0   0  81  81  80  80 -
g10847.t1            -          PF13927_seed         -                  0 2215.0 224.8   2.5e-13   51.7   0.3  58.7  57   1   0  57  57  57  57 -
g41491.t1            -          PF13927_seed         -                  0 1057.2  96.0   2.2e-16   61.5   0.2  27.7  27   0   0  27  27  27  27 -
g11643.t1            -          PF13927_seed         -           8.3e-232  751.8  26.1   6.6e-16   60.0   0.1  16.0  16   0   0  16  16  15  15 -
g15105.t1            -          PF13927_seed         -           7.9e-168  546.8  33.3   1.3e-17   65.4   0.1  11.3  11   0   0  11  11  11  11 -
g10848.t1            -          PF13927_seed         -           3.9e-128  419.6  20.0   4.9e-13   50.8   0.1  12.1  11   1   1  12  12  11  11 -
g33603.t1            -          PF13927_seed         -           8.9e-120  392.8  18.6   1.7e-15   58.7   0.1   9.7   9   0   0   9   9   9   9 -
g18325.t1            -          PF13927_seed         -           9.3e-107  351.1  31.8     7e-14   53.5   0.1  14.7  14   0   0  14  14  14  12 -
g35417.t1            -          PF13927_seed         -           5.9e-106  348.5  20.9   3.4e-15   57.7   0.1  11.2  10   0   0  10  10  10   9 -
g35417.t2            -          PF13927_seed         -           5.9e-106  348.5  20.9   3.4e-15   57.7   0.1  11.2  10   0   0  10  10  10   9 -
g33777.t1            -          PF13927_seed         -             7e-102  335.5  47.4   4.4e-15   57.3   0.2   9.6   9   0   0   9   9   9   8 -
g33886.t1            -          PF13927_seed         -           3.7e-101  333.2  59.3   7.4e-12   47.0   1.1  12.7  12   0   0  12  12  12  12 -
g39653.t2            -          PF13927_seed         -            4.3e-95  313.7  23.4   4.7e-15   57.2   0.1   8.3   8   0   0   8   8   8   7 -
g21656.t1            -          PF13927_seed         -              1e-93  309.3  19.9   6.4e-15   56.8   0.0   7.3   7   0   0   7   7   7   7 -
g39580.t1            -          PF13927_seed         -            9.6e-93  306.2  14.3   2.5e-14   54.9   0.1   8.9   8   0   0   8   8   8   8 -
g33885.t1            -          PF13927_seed         -            1.8e-86  286.1  53.0   7.4e-13   50.2   2.2   9.5   9   0   0   9   9   9   8 -
g34134.t1            -          PF13927_seed         -            3.8e-86  285.1  53.6   1.7e-12   49.0   0.5  10.8  10   0   0  10  10  10   8 -
g21655.t1            -          PF13927_seed         -              2e-85  282.8   0.8     3e-14   54.7   0.0   6.2   6   0   0   6   6   6   6 -
g34351.t1            -          PF13927_seed         -            1.5e-84  280.0  34.5   5.5e-14   53.8   0.5  11.7  11   2   0  11  11   9   6 -
g33796.t1            -          PF13927_seed         -            6.3e-83  274.7  38.9   5.6e-15   57.0   0.3   8.0   8   0   0   8   8   7   7 -
g33981.t1            -          PF13927_seed         -            7.4e-81  268.1  45.9   2.7e-12   48.4   0.6  12.2  10   2   1  11  11  11   7 -
g18326.t2            -          PF13927_seed         -              2e-79  263.5  48.8   2.7e-13   51.6   0.6  12.4  11   2   0  11  11  11   9 -
g39550.t1            -          PF13927_seed         -            2.5e-79  263.2  21.2   5.5e-16   60.2   0.2   6.1   6   0   0   6   6   6   6 -
g39624.t1            -          PF13927_seed         -            5.7e-79  262.1  27.7     1e-14   56.2   0.8   6.7   7   0   0   7   7   6   6 -
