#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g13726.t2      -          PF13519_full         -                  0 1725.3  46.1   3.7e-12   47.8   0.0  61.5  61   1   0  62  62  61  58 -
anno1.g24414.t1      -          PF13519_full         -           1.1e-222  737.3 105.3   5.5e-16   60.4   0.0  26.3  26   0   0  26  26  26  26 -
anno1.g28914.t1      -          PF13519_full         -           4.8e-201  666.4  46.6   1.3e-14   55.9   0.0  18.3  18   0   0  18  18  18  18 -
anno1.g6319.t1       -          PF13519_full         -           1.4e-189  628.9  55.8   3.8e-12   47.8   0.1  26.9  27   0   0  27  27  26  22 -
anno1.g24412.t1      -          PF13519_full         -           1.6e-125  419.1  30.9   1.7e-13   52.2   0.1  11.3  11   0   0  11  11  11  11 -
anno1.g24417.t1      -          PF13519_full         -           7.6e-113  377.6  35.5   6.3e-15   56.9   0.6  10.1  10   0   0  10  10  10  10 -
anno1.g24411.t1      -          PF13519_full         -            1.7e-94  317.4  38.6   9.8e-10   39.9   0.0  11.2  11   0   0  11  11  11  11 -
anno1.g38316.t1      -          PF13519_full         -            6.4e-86  289.4  29.7   1.1e-16   62.6   0.1  11.5  12   0   0  12  12  11   9 -
anno1.g24422.t1      -          PF13519_full         -            3.9e-82  277.0   1.7     2e-17   65.1   0.0   6.1   6   0   0   6   6   6   6 -
anno1.g24419.t1      -          PF13519_full         -            3.1e-66  224.9   0.0   2.8e-16   61.3   0.0   5.1   5   0   0   5   5   5   5 -
anno1.g31529.t1      -          PF13519_full         -              3e-52  179.1   0.5   1.5e-11   45.8   0.0   4.2   4   0   0   4   4   4   4 -
anno1.g38322.t1      -          PF13519_full         -            2.3e-46  159.9   0.0     2e-14   55.3   0.0   4.7   5   0   0   5   5   4   4 -
anno1.g38319.t1      -          PF13519_full         -            1.2e-43  150.9   1.8   6.5e-07   30.7   0.0   7.2   7   0   0   7   7   7   6 -
anno1.g41910.t1      -          PF13519_full         -            5.2e-36  125.9   0.0   2.9e-11   44.9   0.0   3.2   3   0   0   3   3   3   3 -
anno1.g40401.t2      -          PF13519_full         -            1.5e-32  114.6   0.2   3.9e-09   38.0   0.0   3.2   3   0   0   3   3   3   3 -
anno1.g28915.t1      -          PF13519_full         -              1e-29  105.3   2.2   5.3e-14   53.9   0.3   2.2   1   1   1   2   2   2   2 -
anno1.g17206.t2      -          PF13519_full         -            1.4e-29  104.9   0.3   8.3e-06   27.0   0.0   4.3   4   0   0   4   4   4   4 -
anno1.g923.t1        -          PF13519_full         -            2.2e-28  100.9   0.0   7.7e-28   99.2   0.0   1.9   1   0   0   1   1   1   1 -
